,wins_difference,draws_difference,loses_difference,points_per_game_difference,ranking_difference,goal_diff_per_game_difference
0,-0.005347593582887666,-0.06060606060606061,0.0659536541889483,-0.07000000000000006,-32.0,-0.18000000000000016
1,0.38026315789473686,-0.1131578947368421,-0.26710526315789473,1.0299999999999998,-42.0,1.15
2,-0.27391304347826084,0.07577639751552798,0.1981366459627329,-0.7499999999999998,11.0,-1.2
3,0.0018382352941176405,-0.011029411764705899,0.00919117647058823,0.0,-10.0,0.20999999999999996
4,-0.15071919949968732,0.31081926203877425,-0.16010006253908693,-0.1399999999999999,10.0,-0.16000000000000003
5,-0.008918617614269764,-0.13377926421404684,0.1426978818283166,-0.15999999999999992,-1.0,-0.29000000000000004
6,0.007532281205165026,-0.021162123385939757,0.01362984218077476,0.0,-10.0,0.10000000000000009
7,-0.11016949152542371,0.1924939467312349,-0.08232445520581111,-0.1299999999999999,14.0,-0.31999999999999995
8,0.014842300556586197,0.027829313543599243,-0.04267161410018552,0.06999999999999984,-32.0,0.30000000000000004
9,0.038461538461538436,-0.04538461538461536,0.006923076923076921,0.07000000000000006,-16.0,0.36
10,0.09956709956709958,0.10822510822510822,-0.2077922077922078,0.3999999999999999,-23.0,0.35
11,0.15810276679841895,-0.07246376811594202,-0.08563899868247696,0.41000000000000014,-18.0,0.74
12,0.12041467304625197,-0.035885167464114825,-0.08452950558213718,0.31999999999999984,-4.0,0.030000000000000027
13,-0.01025641025641022,-0.10036630036630037,0.11062271062271062,-0.1299999999999999,-5.0,-0.52
14,-0.1129374337221633,-0.1346765641569459,0.2476139978791092,-0.48,6.0,-0.52
15,0.06783536585365851,-0.004573170731707321,-0.06326219512195122,0.19999999999999996,-2.0,-0.10000000000000009
16,0.2651960784313725,-0.016666666666666663,-0.24852941176470586,0.78,-6.0,1.3
17,-0.0735294117647059,0.01470588235294118,0.05882352941176469,-0.19999999999999996,2.0,0.20999999999999996
18,0.038461538461538436,-0.1510989010989011,0.11263736263736263,-0.040000000000000036,-9.0,0.08999999999999997
19,0.11016949152542371,-0.08677966101694917,-0.023389830508474596,0.24,-21.0,0.59
20,-0.06719367588932801,-0.09881422924901184,0.1660079051383399,-0.2999999999999998,25.0,-0.76
21,0.04343275771847205,-0.06279434850863425,0.019361590790162225,0.07000000000000006,6.0,0.16999999999999993
22,0.0020703933747412417,0.12008281573498963,-0.12215320910973085,0.11999999999999988,-3.0,-0.42000000000000004
23,-0.06060606060606061,0.06060606060606061,0.0,-0.13000000000000012,-2.0,0.02999999999999997
24,-0.2636566332218506,0.17614269788182835,0.08751393534002228,-0.6199999999999999,16.0,-0.68
25,0.16097560975609754,-0.21045296167247388,0.04947735191637631,0.2699999999999998,-5.0,0.68
26,0.11506707946336431,-0.09649122807017543,-0.018575851393188875,0.24999999999999978,-36.0,-0.15000000000000013
27,-0.2598484848484849,0.07727272727272727,0.18257575757575756,-0.71,38.0,-1.1199999999999999
28,0.06599713055954087,0.0064562410329985775,-0.07245337159253945,0.19999999999999996,8.0,-0.31000000000000005
29,0.0,0.10571428571428573,-0.1057142857142857,0.1100000000000001,-7.0,0.27
30,0.07536764705882354,-0.02573529411764708,-0.04963235294117646,0.19999999999999996,-12.0,0.0
31,0.07170795306388528,-0.041395045632333816,-0.030312907431551517,0.16999999999999993,-5.0,0.22999999999999998
32,-0.058275058275058245,0.034965034965035,0.023310023310023298,-0.1399999999999999,26.0,-0.47
33,-0.05235137533274181,-0.0709849157054126,0.12333629103815438,-0.22999999999999998,-7.0,-0.45999999999999996
34,-0.09749670619235834,0.01185770750988141,0.08563899868247696,-0.28,20.0,-0.77
35,0.1601731601731602,0.047619047619047616,-0.2077922077922078,0.53,-21.0,0.32
36,0.12700228832951943,0.06292906178489702,-0.18993135011441648,0.4399999999999997,-26.0,0.49
37,-0.11515151515151512,0.04415584415584414,0.070995670995671,-0.2999999999999998,-7.0,-0.3500000000000001
38,0.030612244897959218,0.03061224489795919,-0.06122448979591835,0.13000000000000012,24.0,0.25
39,0.06593406593406592,-0.25274725274725274,0.18681318681318682,-0.050000000000000044,-1.0,0.15000000000000002
40,0.016042780748663055,-0.05080213903743319,0.034759358288770054,0.0,-12.0,0.44999999999999996
41,0.17391304347826086,0.015652173913043466,-0.18956521739130433,0.54,-20.0,0.87
