wins_difference,draws_difference,loses_difference,points_per_game_difference,result,goal_diff_pg_difference
0.16666666666666666,0.125,-0.29166666666666663,0.62,1,1.96
0.0,0.2222222222222222,-0.22222222222222227,0.21999999999999997,1,-0.71
0.4444444444444444,0.05555555555555555,0.5,,1,
0.3787878787878788,0.09090909090909091,-0.4696969696969697,1.23,1,3.73
0.3933333333333334,0.15500000000000003,-0.5483333333333333,1.3399999999999999,1,4.0
0.375,0.25,-0.625,1.38,1,4.88
0.4444444444444444,0.05555555555555555,-0.5,1.39,1,5.319999999999999
-0.1111111111111111,0.2222222222222222,-0.1111111111111111,-0.10999999999999988,1,-1.1099999999999999
0.35185185185185186,0.2222222222222222,-0.5740740740740742,1.28,1,4.07
0.20833333333333334,0.125,-0.33333333333333337,0.7599999999999999,1,2.92
0.56,0.28,-0.84,1.96,1,5.96
0.0,0.0,-1.0,,1,
0.1111111111111111,0.0,-0.11111111111111116,0.32999999999999985,1,0.3999999999999999
-0.026936026936026924,0.1313131313131313,-0.1043771043771044,0.050000000000000044,1,0.3400000000000001
0.18500000000000005,0.030000000000000027,-0.215,0.5800000000000001,1,1.08
0.22666666666666674,-0.05333333333333329,-0.1733333333333333,0.6299999999999999,1,3.63
0.07407407407407407,0.16666666666666666,-0.24074074074074076,0.3900000000000001,1,1.1800000000000002
-0.041481481481481564,-0.05777777777777782,0.09925925925925924,-0.17999999999999994,1,-0.8899999999999999
