wins_difference,draws_difference,loses_difference,points_per_game_difference,result,goal_diff_pg_difference,ranking_difference
-0.13793103448275862,0.1379310344827586,0.0,-0.2799999999999998,2,-0.14,0.0
0.004501125281320295,0.1275318829707427,-0.13203300825206304,0.14000000000000012,0,-0.37,0.0
0.6756756756756757,0.21621621621621623,0.10810810810810811,,1,,0.0
-0.11813186813186816,-0.08791208791208793,0.20604395604395606,-0.43999999999999995,0,-0.86,0.0
0.011904761904761862,-0.18809523809523812,0.1761904761904762,-0.15999999999999992,1,-0.2,0.0
-0.11768851303735028,-0.07399577167019028,0.19168428470754054,-0.42999999999999994,1,-1.19,0.0
0.13277310924369756,-0.11092436974789915,-0.021848739495798297,0.29000000000000004,2,-0.010000000000000009,0.0
0.002024291497975783,0.10728744939271254,-0.10931174089068826,0.10999999999999988,1,-0.2599999999999999,0.0
-0.13013013013013008,-0.07307307307307304,0.20320320320320323,-0.45999999999999996,0,-0.48000000000000004,0.0
-0.15509259259259256,0.09027777777777779,0.06481481481481483,-0.3799999999999999,2,-0.28,0.0
-0.1518847006651885,0.08093126385809313,0.07095343680709537,-0.3800000000000001,0,-0.17000000000000004,0.0
0.41558441558441556,-0.24025974025974023,-0.17532467532467533,0.9999999999999998,0,1.96,0.0
0.16997518610421836,0.021091811414392092,-0.19106699751861045,0.53,0,0.38999999999999996,0.0
-0.014778325123152691,0.15073891625615762,-0.13596059113300493,0.1100000000000001,1,0.26,0.0
0.28173628173628174,0.034398034398034405,-0.31613431613431614,0.8800000000000001,1,1.58,0.0
0.047342192691029905,-0.19435215946843853,0.14700996677740866,-0.050000000000000044,0,-0.09999999999999998,0.0
0.1350574712643678,-0.1752873563218391,0.04022988505747127,0.22999999999999998,1,0.2,0.0
-0.5116279069767442,-0.2558139534883721,-0.23255813953488372,,1,,0.0
0.2095588235294118,-0.1948529411764706,-0.01470588235294118,0.43999999999999995,1,0.15000000000000002,0.0
0.16985645933014354,-0.0430622009569378,-0.12679425837320576,0.47,1,0.28,0.0
-0.42137592137592134,0.25184275184275184,0.16953316953316955,-1.0099999999999998,1,-1.31,0.0
-0.07830687830687832,0.006349206349206354,0.07195767195767194,-0.22999999999999998,2,-0.12,0.0
0.015947467166979257,-0.06941838649155721,0.05347091932457787,-0.020000000000000018,1,0.3699999999999999,0.0
0.1243386243386243,0.08465608465608465,-0.208994708994709,0.44999999999999996,0,1.1300000000000001,0.0
0.16547406082289806,-0.1064400715563506,-0.059033989266547404,0.3899999999999999,1,0.76,0.0
0.12315270935960593,0.012807881773399032,-0.13596059113300493,0.3899999999999999,0,0.4,0.0
-0.3939393939393939,-0.18181818181818182,-0.42424242424242425,,0,,0.0
0.0518433179723502,-0.06682027649769584,0.014976958525345613,0.09000000000000008,0,-0.47,0.0
-0.002873563218390829,-0.0373563218390805,0.04022988505747127,-0.04999999999999982,1,0.06,0.0
0.16404776869893145,-0.039597737272155875,-0.1244500314267756,0.4500000000000002,1,0.3899999999999999,0.0
0.07678571428571423,-0.08392857142857144,0.0071428571428571175,0.1499999999999999,1,0.16000000000000003,0.0
0.16783216783216776,-0.15034965034965034,-0.0174825174825175,0.3600000000000001,0,0.5399999999999999,0.0
-0.29124579124579125,0.3249158249158249,-0.03367003367003368,-0.5499999999999998,2,-0.83,0.0
0.05446623093681924,-0.1045751633986928,0.050108932461873645,0.06000000000000005,1,-0.13,0.0
0.01797175866495504,0.037869062901155326,-0.055840821566110393,0.08999999999999986,1,0.10999999999999999,0.0
0.00579150579150578,-0.011583011583011615,0.00579150579150578,0.010000000000000009,1,-0.65,0.0
0.015669515669515688,0.14529914529914528,-0.16096866096866097,0.18999999999999995,2,-0.3699999999999999,0.0
-0.04009623095429027,-0.07858861267040898,0.1186848436246993,-0.19999999999999996,1,0.05999999999999994,0.0
0.10233592880978865,-0.08898776418242488,-0.01334816462736374,0.21999999999999997,1,-0.17000000000000004,0.0
0.06811145510835914,-0.06656346749226005,-0.0015479876160990613,0.14000000000000012,0,-0.24,0.0
0.2354497354497354,-0.06349206349206349,-0.17195767195767198,0.6399999999999999,0,1.24,0.0
0.5517241379310345,0.2413793103448276,0.20689655172413793,,2,,0.0
-0.2618825722273998,0.16309412861136996,0.09878844361602981,-0.6200000000000001,2,-0.94,0.0
0.2957074721780604,-0.1796502384737679,-0.11605723370429255,0.71,1,0.46,0.0
0.21978021978021972,-0.20879120879120877,-0.010989010989011005,0.44999999999999996,1,1.6099999999999999,0.0
0.5116279069767442,0.16279069767441862,0.32558139534883723,,0,,0.0
-0.15954664341761116,0.07410636442894508,0.08544027898866607,-0.40000000000000013,1,-1.1099999999999999,0.0
-0.22759601706970128,0.11308677098150785,0.11450924608819349,-0.5699999999999998,0,-0.7,0.0
-0.004501125281320295,-0.1275318829707427,0.13203300825206304,-0.14000000000000012,2,0.37,0.0
0.07013574660633493,0.04072398190045248,-0.11085972850678733,0.25,0,-0.4999999999999999,0.0
-0.06529516994633267,0.08586762075134169,-0.020572450805008913,-0.1100000000000001,1,-0.42999999999999994,0.0
-0.1309297912713473,0.1726755218216319,-0.04174573055028463,-0.21999999999999997,1,-0.30000000000000004,0.0
