wins_difference,draws_difference,loses_difference,points_per_game_difference,result,goal_diff_pg_difference,ranking_difference
0.18333333333333335,0.04999999999999999,-0.23333333333333336,0.6000000000000001,0,0.9600000000000001,0.0
0.011904761904761918,0.011904761904761918,-0.023809523809523836,0.050000000000000044,1,0.81,0.0
0.08220720720720726,-0.10247747747747749,0.020270270270270285,0.14000000000000012,1,0.44,0.0
-0.9090909090909091,-0.09090909090909091,0.0,,1,,0.0
-0.342911877394636,-0.015325670498084282,0.35823754789272033,-1.05,0,-2.12,0.0
-0.016129032258064502,-0.05913978494623656,0.07526881720430106,-0.10000000000000009,1,-0.47,0.0
0.10727969348659006,0.05363984674329503,-0.16091954022988503,0.3699999999999999,1,0.6600000000000001,0.0
0.29924242424242425,-0.06060606060606061,-0.23863636363636365,0.8399999999999999,1,1.41,0.0
0.020689655172413834,-0.006896551724137917,-0.013793103448275834,0.05999999999999983,1,-0.06,0.0
0.20634920634920634,-0.015873015873015872,-0.19047619047619052,0.6100000000000001,1,1.25,0.0
-0.02441150828247607,0.03661726242371402,-0.012205754141238034,-0.040000000000000036,1,-0.15000000000000002,0.0
0.6174242424242424,-0.2424242424242424,-0.375,1.6099999999999999,0,3.73,0.0
0.041666666666666685,-0.12500000000000003,0.08333333333333331,0.0,1,-0.18,0.0
-0.3017241379310345,-0.025862068965517238,0.3275862068965517,-0.9299999999999999,0,-1.1,0.0
-0.5909090909090909,-0.2727272727272727,-0.13636363636363635,,1,,0.0
-0.13888888888888884,0.02777777777777779,0.1111111111111111,-0.3900000000000001,1,-1.22,0.0
-0.3222222222222222,-0.0222222222222222,0.34444444444444444,-0.9900000000000002,0,-2.18,0.0
0.3136288998357964,0.037766830870279156,-0.35139573070607555,0.98,1,1.9100000000000001,0.0
-0.04054054054054057,-0.022522522522522542,0.06306306306306303,-0.14000000000000012,1,-0.62,0.0
0.3181818181818181,-0.1818181818181818,-0.13636363636363635,0.77,1,2.3200000000000003,0.0
0.20402298850574718,0.04310344827586207,-0.2471264367816092,0.6599999999999999,1,0.9000000000000001,0.0
0.05779569892473119,-0.06586021505376347,0.008064516129032251,0.10000000000000009,1,0.29,0.0
-0.19444444444444442,0.02777777777777779,0.16666666666666669,-0.56,1,-0.44,0.0
-0.2916666666666667,-0.3333333333333333,-0.375,,1,,0.0
0.031609195402298895,-0.025862068965517238,-0.00574712643678163,0.07000000000000006,1,0.010000000000000009,0.0
-0.15000000000000002,0.04999999999999999,0.09999999999999998,-0.3999999999999999,1,-0.15,0.0
-0.5161290322580645,-0.22580645161290322,-0.25806451612903225,,1,,0.0
-0.40909090909090906,0.07575757575757575,0.3333333333333333,-1.15,1,-3.62,0.0
0.25,0.25,0.5,,1,,0.0
0.08333333333333337,0.08333333333333334,-0.16666666666666666,0.33000000000000007,1,1.0,0.0
0.5,0.16666666666666666,0.3333333333333333,,1,,0.0
0.33333333333333337,0.0,-0.33333333333333337,1.0,1,1.11,0.0
