,index,date,home_team,away_team,home_score,away_score
0,4740,1958-08-30,Czechoslovakia,Russia,1.0,2.0
1,4750,1958-09-14,Austria,Yugoslavia,3.0,4.0
2,4755,1958-09-14,Poland,Hungary,1.0,3.0
3,4756,1958-09-20,Czechoslovakia,Switzerland,2.0,1.0
4,4759,1958-09-28,Russia,Hungary,3.0,1.0
5,4761,1958-10-04,Northern Ireland,England,3.0,3.0
6,4764,1958-10-05,German DR,Bulgaria,1.0,1.0
7,4767,1958-10-05,Yugoslavia,Hungary,4.0,4.0
8,4772,1958-10-12,Czechoslovakia,Bulgaria,0.0,1.0
9,4774,1958-10-15,Spain,Northern Ireland,6.0,2.0
10,4778,1958-10-22,England,Russia,5.0,0.0
11,4783,1958-10-26,Romania,Hungary,1.0,2.0
12,4786,1958-11-02,Netherlands,Switzerland,2.0,0.0
13,4789,1958-11-09,France,Italy,2.0,2.0
14,4792,1958-11-23,Hungary,Belgium,3.0,1.0
15,4793,1958-11-26,England,Wales,2.0,2.0
16,4795,1958-12-07,Turkey,Bulgaria,0.0,0.0
17,4796,1958-12-13,Italy,Czechoslovakia,1.0,1.0
18,4797,1958-12-18,Turkey,Czechoslovakia,1.0,0.0
19,4798,1958-12-21,Germany,Bulgaria,3.0,0.0
20,4806,1959-02-28,Italy,Spain,1.0,1.0
21,4809,1959-03-01,Mexico,Costa Rica,3.0,1.0
22,4813,1959-03-07,Argentina,Chile,6.0,1.0
23,4814,1959-03-08,Bolivia,Uruguay,0.0,7.0
24,4815,1959-03-08,Costa Rica,Mexico,1.0,2.0
25,4818,1959-03-10,Brazil,Peru,2.0,2.0
26,4820,1959-03-11,Argentina,Bolivia,2.0,0.0
27,4821,1959-03-11,Chile,Paraguay,1.0,2.0
28,4823,1959-03-14,Peru,Uruguay,5.0,3.0
29,4825,1959-03-15,Brazil,Chile,3.0,0.0
30,4826,1959-03-18,Argentina,Peru,3.0,1.0
31,4827,1959-03-18,Paraguay,Uruguay,1.0,3.0
32,4828,1959-03-21,Bolivia,Brazil,2.0,4.0
33,4829,1959-03-21,Chile,Peru,1.0,1.0
34,4830,1959-03-22,Argentina,Paraguay,3.0,1.0
35,4831,1959-03-26,Bolivia,Chile,2.0,5.0
36,4832,1959-03-26,Brazil,Uruguay,3.0,1.0
37,4834,1959-03-29,Brazil,Paraguay,4.0,1.0
38,4836,1959-03-30,Argentina,Uruguay,4.0,1.0
39,4838,1959-04-02,Chile,Uruguay,1.0,0.0
40,4840,1959-04-04,Argentina,Brazil,1.0,1.0
41,4841,1959-04-05,Republic of Ireland,Czechoslovakia,2.0,0.0
42,4843,1959-04-11,England,Scotland,1.0,0.0
43,4845,1959-04-19,Hungary,Yugoslavia,4.0,0.0
44,4848,1959-04-26,Switzerland,Yugoslavia,1.0,5.0
45,4851,1959-05-01,German DR,Hungary,0.0,1.0
46,4852,1959-05-01,Uruguay,Paraguay,1.0,3.0
47,4853,1959-05-06,England,Italy,2.0,2.0
48,4856,1959-05-10,Czechoslovakia,Republic of Ireland,4.0,0.0
49,4859,1959-05-13,Brazil,England,2.0,0.0
50,4860,1959-05-13,Bulgaria,Netherlands,3.0,2.0
51,4862,1959-05-16,Switzerland,Portugal,4.0,3.0
52,4863,1959-05-17,Peru,England,4.0,1.0
53,4870,1959-05-24,Mexico,England,2.0,1.0
54,4873,1959-05-28,United States,England,1.0,8.0
55,4877,1959-05-31,Yugoslavia,Bulgaria,2.0,0.0
56,4887,1959-06-28,Hungary,Sweden,3.0,2.0
57,4888,1959-06-28,Poland,Spain,2.0,4.0
58,4893,1959-08-12,German DR,Czechoslovakia,2.0,1.0
59,4906,1959-09-06,Russia,Czechoslovakia,3.0,1.0
60,4913,1959-09-17,Brazil,Chile,7.0,0.0
61,4914,1959-09-20,Brazil,Chile,1.0,0.0
62,4917,1959-09-23,Denmark,Czechoslovakia,2.0,2.0
63,4919,1959-09-27,Hungary,Russia,0.0,1.0
64,4926,1959-10-04,Switzerland,Germany,0.0,4.0
65,4931,1959-10-11,Bulgaria,France,1.0,0.0
66,4932,1959-10-11,Yugoslavia,Hungary,2.0,4.0
67,4933,1959-10-14,Spain,Poland,3.0,0.0
68,4934,1959-10-17,Wales,England,1.0,1.0
69,4935,1959-10-18,Czechoslovakia,Denmark,5.0,1.0
70,4939,1959-10-25,Bulgaria,Yugoslavia,1.0,1.0
71,4940,1959-10-25,Hungary,Switzerland,8.0,0.0
72,4943,1959-10-28,England,Sweden,2.0,3.0
73,4944,1959-11-01,Czechoslovakia,Italy,2.0,1.0
74,4948,1959-11-08,Hungary,Germany,4.0,3.0
75,4950,1959-11-18,Chile,Argentina,4.0,2.0
76,4951,1959-11-18,England,Northern Ireland,2.0,1.0
77,4953,1959-11-22,Spain,Austria,6.0,3.0
78,4956,1959-11-29,Italy,Hungary,1.0,1.0
79,4958,1959-12-05,Brazil,Paraguay,3.0,2.0
80,4960,1959-12-06,Bulgaria,Denmark,2.0,1.0
81,4961,1959-12-06,Ecuador,Uruguay,0.0,4.0
82,4964,1959-12-09,Argentina,Paraguay,4.0,2.0
83,4966,1959-12-12,Brazil,Uruguay,0.0,3.0
84,4967,1959-12-12,Ecuador,Argentina,1.0,1.0
85,4978,1959-12-16,Argentina,Uruguay,0.0,5.0
86,4979,1959-12-17,France,Spain,4.0,3.0
87,4982,1959-12-19,Ecuador,Brazil,1.0,3.0
88,4984,1959-12-20,Germany,Yugoslavia,1.0,1.0
89,4985,1959-12-22,Argentina,Brazil,4.0,1.0
90,4986,1959-12-22,Paraguay,Uruguay,1.0,1.0
91,4988,1959-12-27,Ecuador,Brazil,1.0,2.0
