,index,date,home_team,away_team,home_score,away_score,resultado
0,1909,1934-08-10,Estonia,Hungary,2.0,2.0,0
1,1913,1934-08-26,Yugoslavia,Poland,4.0,1.0,1
2,1914,1934-09-02,Czechoslovakia,Yugoslavia,3.0,1.0,1
3,1915,1934-09-02,Norway,Finland,4.0,2.0,1
4,1917,1934-09-09,Poland,Germany,2.0,5.0,2
5,1918,1934-09-23,Austria,Czechoslovakia,2.0,2.0,0
6,1919,1934-09-23,Finland,Sweden,5.0,4.0,1
7,1920,1934-09-23,Norway,Denmark,3.0,1.0,1
8,1921,1934-09-23,Sweden,Latvia,3.0,1.0,1
9,1923,1934-10-07,Denmark,Germany,2.0,5.0,2
10,1924,1934-10-07,Hungary,Austria,3.0,1.0,1
11,1925,1934-10-14,Latvia,Poland,2.0,6.0,2
12,1926,1934-10-14,Poland,Romania,3.0,3.0,0
13,1927,1934-10-14,Switzerland,Czechoslovakia,2.0,2.0,0
14,1929,1934-11-04,Switzerland,Netherlands,2.0,4.0,2
15,1930,1934-11-11,Austria,Switzerland,3.0,0.0,1
16,1931,1934-11-14,England,Italy,3.0,2.0,1
17,1933,1934-12-09,Italy,Hungary,4.0,2.0,1
18,1934,1934-12-15,Republic of Ireland,Hungary,2.0,4.0,2
19,1935,1934-12-16,France,Yugoslavia,3.0,2.0,1
20,1938,1934-12-27,Greece,Romania,2.0,2.0,0
21,1939,1934-12-30,Bulgaria,Romania,2.0,3.0,2
22,1941,1935-01-01,Romania,Yugoslavia,0.0,4.0,2
23,1946,1935-01-24,Spain,France,2.0,0.0,1
24,1949,1935-01-27,Germany,Switzerland,4.0,0.0,1
25,1951,1935-02-17,Italy,France,2.0,1.0,1
26,1952,1935-02-17,Netherlands,Germany,2.0,3.0,2
27,1954,1935-03-17,Czechoslovakia,Switzerland,3.0,1.0,1
28,1955,1935-03-17,France,Germany,1.0,3.0,2
29,1957,1935-03-24,Austria,Italy,0.0,2.0,2
30,1959,1935-03-24,El Salvador,Cuba,4.0,1.0,1
31,1961,1935-03-25,Cuba,Honduras,3.0,0.0,1
32,1964,1935-03-27,Cuba,Guatemala,2.0,1.0,1
33,1967,1935-03-30,Mexico,Cuba,6.0,1.0,1
34,1969,1935-03-31,Netherlands,Belgium,4.0,2.0,1
35,1971,1935-03-31,Costa Rica,Cuba,2.0,1.0,1
36,1978,1935-04-14,Belgium,France,1.0,1.0,0
37,1979,1935-04-14,Czechoslovakia,Austria,0.0,0.0,0
38,1980,1935-04-14,Switzerland,Hungary,6.0,2.0,1
39,1981,1935-04-28,Belgium,Germany,1.0,6.0,2
40,1983,1935-05-05,Switzerland,Republic of Ireland,1.0,0.0,1
41,1984,1935-05-08,Germany,Republic of Ireland,3.0,1.0,1
42,1987,1935-05-12,Austria,Poland,5.0,2.0,1
43,1988,1935-05-12,Belgium,Netherlands,0.0,2.0,2
44,1989,1935-05-12,Germany,Spain,1.0,2.0,2
45,1990,1935-05-12,Hungary,Austria,6.0,3.0,1
46,1991,1935-05-18,Netherlands,England,0.0,1.0,2
47,1992,1935-05-19,France,Hungary,2.0,0.0,1
48,1997,1935-05-26,Germany,Czechoslovakia,2.0,1.0,1
49,1998,1935-05-30,Belgium,Switzerland,2.0,2.0,0
50,2002,1935-06-12,Sweden,Finland,2.0,2.0,0
51,2004,1935-06-16,Sweden,Denmark,3.0,1.0,1
52,2005,1935-06-17,Romania,Yugoslavia,0.0,2.0,2
53,2006,1935-06-19,Bulgaria,Romania,4.0,0.0,1
54,2009,1935-06-23,Denmark,Norway,1.0,0.0,1
55,2011,1935-06-24,Greece,Romania,2.0,2.0,0
56,2012,1935-06-27,Norway,Germany,1.0,1.0,0
57,2013,1935-06-30,Sweden,Germany,3.0,1.0,1
58,2014,1935-07-05,Latvia,Sweden,0.0,3.0,2
59,2015,1935-07-09,Estonia,Sweden,1.0,2.0,2
60,2020,1935-08-18,Germany,Finland,6.0,0.0,1
61,2021,1935-08-18,Luxembourg,Germany,0.0,1.0,2
62,2022,1935-08-18,Poland,Yugoslavia,2.0,3.0,2
63,2026,1935-08-25,Germany,Romania,4.0,2.0,1
64,2027,1935-09-01,Sweden,Romania,7.0,1.0,1
65,2028,1935-09-06,Yugoslavia,Czechoslovakia,0.0,0.0,0
66,2029,1935-09-08,Finland,Norway,1.0,5.0,2
67,2031,1935-09-15,Germany,Estonia,5.0,0.0,1
68,2032,1935-09-15,Germany,Poland,1.0,0.0,1
69,2033,1935-09-15,Poland,Latvia,3.0,3.0,0
70,2036,1935-09-22,Hungary,Czechoslovakia,1.0,0.0,1
71,2037,1935-09-22,Norway,Sweden,0.0,2.0,2
72,2039,1935-10-06,Austria,Hungary,4.0,4.0,0
73,2041,1935-10-06,Poland,Austria,1.0,0.0,1
74,2042,1935-10-13,Germany,Latvia,3.0,0.0,1
75,2044,1935-10-20,Germany,Bulgaria,4.0,2.0,1
76,2045,1935-10-27,Czechoslovakia,Italy,2.0,1.0,1
77,2046,1935-10-27,Switzerland,France,2.0,1.0,1
78,2047,1935-11-03,Netherlands,Denmark,3.0,0.0,1
79,2048,1935-11-03,Romania,Poland,4.0,1.0,1
80,2049,1935-11-03,Switzerland,Norway,2.0,0.0,1
81,2050,1935-11-10,France,Sweden,2.0,0.0,1
82,2051,1935-11-10,Hungary,Switzerland,6.0,1.0,1
83,2053,1935-11-17,Belgium,Sweden,5.0,1.0,1
84,2054,1935-11-24,Italy,Hungary,2.0,2.0,0
85,2055,1935-12-04,England,Germany,3.0,0.0,1
86,2056,1935-12-08,Republic of Ireland,Netherlands,3.0,5.0,2
87,2062,1936-01-12,France,Netherlands,1.0,6.0,2
88,2067,1936-02-09,France,Czechoslovakia,0.0,3.0,2
89,2068,1936-02-16,Belgium,Poland,0.0,2.0,2
90,2070,1936-02-23,Spain,Germany,1.0,2.0,2
91,2071,1936-02-27,Portugal,Germany,1.0,3.0,2
92,2072,1936-03-08,France,Belgium,3.0,0.0,1
93,2074,1936-03-15,Hungary,Germany,3.0,2.0,1
94,2075,1936-03-17,Republic of Ireland,Switzerland,1.0,0.0,1
95,2076,1936-03-22,Austria,Czechoslovakia,1.0,1.0,0
96,2077,1936-03-29,Netherlands,Belgium,8.0,0.0,1
97,2079,1936-04-05,Austria,Hungary,3.0,5.0,2
98,2080,1936-04-05,Switzerland,Italy,1.0,2.0,2
99,2082,1936-05-03,Belgium,Netherlands,1.0,1.0,0
100,2083,1936-05-03,Hungary,Republic of Ireland,3.0,3.0,0
101,2084,1936-05-03,Switzerland,Spain,0.0,2.0,2
102,2087,1936-05-09,Belgium,England,3.0,2.0,1
103,2089,1936-05-10,Romania,Yugoslavia,3.0,2.0,1
104,2090,1936-05-17,Italy,Austria,2.0,2.0,0
105,2091,1936-05-17,Romania,Greece,5.0,2.0,1
106,2093,1936-05-24,Romania,Bulgaria,4.0,1.0,1
107,2094,1936-05-24,Switzerland,Belgium,1.0,1.0,0
108,2096,1936-05-31,Hungary,Italy,1.0,2.0,2
109,2097,1936-06-14,Denmark,Sweden,4.0,3.0,1
