,index,date,home_team,away_team,home_score,away_score,resultado
0,22979,1998-08-18,Poland,Israel,2.0,0.0,1
1,22981,1998-08-19,Austria,France,2.0,2.0,0
2,22984,1998-08-19,Czech Republic,Denmark,1.0,0.0,1
3,22985,1998-08-19,Hungary,Slovenia,2.0,1.0,1
4,22989,1998-08-19,Portugal,Mozambique,2.0,1.0,1
5,22991,1998-08-19,Sweden,Russia,1.0,0.0,1
6,23009,1998-08-31,Burkina Faso,Senegal,1.0,1.0,0
7,23013,1998-09-02,Malta,Germany,1.0,2.0,2
8,23014,1998-09-02,Morocco,Senegal,2.0,0.0,1
9,23024,1998-09-05,Belarus,Denmark,0.0,0.0,0
10,23027,1998-09-05,Cyprus,Spain,3.0,2.0,1
11,23031,1998-09-05,Germany,Romania,1.0,1.0,0
12,23032,1998-09-05,Iceland,France,1.0,1.0,0
13,23034,1998-09-05,Republic of Ireland,Croatia,2.0,0.0,1
14,23038,1998-09-05,Sweden,England,2.0,1.0,1
15,23040,1998-09-05,Turkey,Northern Ireland,3.0,0.0,1
16,23041,1998-09-05,Ukraine,Russia,3.0,2.0,1
17,23043,1998-09-05,Wales,Italy,0.0,2.0,2
18,23044,1998-09-06,Bulgaria,Poland,0.0,3.0,2
19,23046,1998-09-06,Greece,Slovenia,2.0,2.0,0
20,23047,1998-09-06,Hungary,Portugal,1.0,3.0,2
21,23063,1998-09-11,Saudi Arabia,Tanzania,8.0,0.0,1
22,23070,1998-09-14,Saudi Arabia,Sudan,2.0,1.0,1
23,23075,1998-09-17,Saudi Arabia,Senegal,3.0,2.0,1
24,23081,1998-09-23,Brazil,Serbia,1.0,1.0,0
25,23083,1998-09-23,Spain,Russia,1.0,0.0,1
26,23091,1998-09-27,Saudi Arabia,Lebanon,4.0,1.0,1
27,23098,1998-09-29,Saudi Arabia,Kuwait,2.0,1.0,1
28,23102,1998-10-01,Qatar,Saudi Arabia,1.0,3.0,2
29,23108,1998-10-03,South Africa,Angola,1.0,0.0,1
30,23115,1998-10-04,Tunisia,Liberia,2.0,1.0,1
31,23122,1998-10-10,Denmark,Wales,1.0,2.0,2
32,23123,1998-10-10,England,Bulgaria,0.0,0.0,0
33,23124,1998-10-10,Italy,Switzerland,2.0,0.0,1
34,23128,1998-10-10,Malta,Croatia,1.0,4.0,2
35,23131,1998-10-10,Poland,Luxembourg,3.0,0.0,1
36,23132,1998-10-10,Portugal,Romania,0.0,1.0,2
37,23133,1998-10-10,Russia,France,2.0,3.0,2
38,23136,1998-10-10,Slovenia,Norway,1.0,2.0,2
39,23137,1998-10-10,Turkey,Germany,1.0,0.0,1
40,23140,1998-10-14,Brazil,Ecuador,5.0,1.0,1
41,23141,1998-10-14,Bulgaria,Sweden,0.0,1.0,2
42,23142,1998-10-14,Croatia,North Macedonia,3.0,2.0,1
43,23144,1998-10-14,France,Andorra,2.0,0.0,1
44,23147,1998-10-14,Iceland,Russia,1.0,0.0,1
45,23148,1998-10-14,Republic of Ireland,Malta,5.0,0.0,1
46,23149,1998-10-14,Israel,Spain,1.0,2.0,2
47,23152,1998-10-14,Luxembourg,England,0.0,3.0,2
48,23153,1998-10-14,Moldova,Germany,1.0,3.0,2
49,23157,1998-10-14,Slovakia,Portugal,0.0,3.0,2
50,23158,1998-10-14,Slovenia,Latvia,1.0,0.0,1
