,index,date,home_team,away_team,home_score,away_score,resultado
0,9826,1974-08-08,Sweden,Norway,2.0,1.0,1
1,9838,1974-09-01,Finland,Poland,1.0,2.0,2
2,9845,1974-09-03,Iran,Pakistan,7.0,0.0,1
3,9847,1974-09-04,Austria,Wales,2.0,1.0,1
4,9850,1974-09-04,Poland,German DR,1.0,3.0,2
5,9851,1974-09-04,Sweden,Netherlands,1.0,5.0,2
6,9856,1974-09-05,Mexico,United States,3.0,1.0,1
7,9860,1974-09-05,Iran,Myanmar,2.0,1.0,1
8,9865,1974-09-07,Poland,France,0.0,2.0,2
9,9869,1974-09-07,Iran,Bahrain,6.0,0.0,1
10,9871,1974-09-08,United States,Mexico,0.0,1.0,2
11,9872,1974-09-09,Iran,Malaysia,1.0,0.0,1
12,9878,1974-09-11,Iran,South Korea,2.0,0.0,1
13,9883,1974-09-13,Iran,Iraq,1.0,0.0,1
14,9888,1974-09-15,Iran,Israel,1.0,0.0,1
15,9891,1974-09-25,Denmark,Spain,1.0,2.0,2
16,9892,1974-09-25,Finland,Netherlands,1.0,3.0,2
17,9895,1974-09-28,Austria,Hungary,1.0,0.0,1
18,9898,1974-09-28,Yugoslavia,Italy,1.0,0.0,1
19,9902,1974-10-01,Morocco,Tunisia,3.0,1.0,1
20,9904,1974-10-03,Algeria,Tunisia,0.0,1.0,2
21,9911,1974-10-09,Netherlands,Switzerland,1.0,0.0,1
22,9912,1974-10-09,Poland,Finland,3.0,0.0,1
23,9913,1974-10-09,Sudan,Tunisia,1.0,3.0,2
24,9915,1974-10-12,Argentina,Spain,1.0,1.0,0
25,9916,1974-10-12,Belgium,France,2.0,1.0,1
26,9919,1974-10-13,Czechoslovakia,Sweden,4.0,0.0,1
27,9921,1974-10-13,Luxembourg,Hungary,2.0,4.0,2
28,9924,1974-10-30,Scotland,German DR,3.0,0.0,1
29,9925,1974-10-30,Sweden,Northern Ireland,0.0,2.0,2
30,9926,1974-10-30,Wales,Hungary,2.0,0.0,1
31,9930,1974-10-31,Poland,Canada,2.0,0.0,1
32,9941,1974-11-06,Chile,Argentina,0.0,2.0,2
33,9945,1974-11-10,Bulgaria,Hungary,0.0,0.0,0
34,9947,1974-11-10,Tunisia,Libya,1.0,0.0,1
35,9948,1974-11-13,Czechoslovakia,Poland,2.0,2.0,0
36,9950,1974-11-13,Turkey,Austria,0.0,1.0,2
37,9952,1974-11-16,France,German DR,2.0,2.0,0
38,9953,1974-11-20,Argentina,Chile,1.0,1.0,0
39,9956,1974-11-20,Netherlands,Italy,3.0,1.0,1
40,9957,1974-11-20,Scotland,Spain,1.0,2.0,2
41,9961,1974-11-22,Libya,Tunisia,1.0,0.0,1
42,9969,1974-12-04,Hungary,Switzerland,1.0,0.0,1
43,9993,1974-12-20,Iran,Czechoslovakia,0.0,1.0,2
44,10002,1974-12-29,Italy,Bulgaria,0.0,0.0,0
45,10003,1974-12-29,Kuwait,Tunisia,2.0,0.0,1
46,10007,1975-01-01,Iraq,Tunisia,0.0,0.0,0
47,10023,1975-02-05,Spain,Scotland,1.0,1.0,0
48,10026,1975-02-19,Italy,Norway,4.0,1.0,1
49,10035,1975-03-02,Morocco,Tunisia,0.0,0.0,0
50,10036,1975-03-09,Brazil,Portugal,2.0,1.0,1
51,10040,1975-03-16,Luxembourg,Austria,1.0,2.0,2
52,10052,1975-03-23,Tunisia,Algeria,1.0,1.0,0
53,10061,1975-03-26,France,Hungary,2.0,0.0,1
54,10063,1975-03-26,Poland,United States,7.0,0.0,1
55,10071,1975-04-02,Austria,Hungary,0.0,0.0,0
56,10073,1975-04-02,Italy,United States,10.0,0.0,1
57,10081,1975-04-06,Algeria,Tunisia,1.0,2.0,2
58,10095,1975-04-16,Hungary,Wales,1.0,2.0,2
59,10097,1975-04-16,Sweden,Scotland,1.0,1.0,0
60,10098,1975-04-17,Spain,Romania,1.0,1.0,0
61,10099,1975-04-19,Italy,Poland,0.0,0.0,0
62,10103,1975-04-26,France,Portugal,0.0,2.0,2
63,10109,1975-04-30,Belgium,Netherlands,1.0,0.0,1
64,10118,1975-05-13,Scotland,Portugal,1.0,0.0,1
65,10122,1975-05-17,Germany,Netherlands,1.0,1.0,0
66,10124,1975-05-17,Wales,Scotland,2.0,2.0,0
67,10126,1975-05-19,Sweden,Algeria,4.0,0.0,1
