,index,date,home_team,away_team,home_score,away_score
0,1137,1926-10-03,Yugoslavia,Romania,2.0,3.0
1,1140,1926-10-12,Chile,Bolivia,7.0,1.0
2,1141,1926-10-16,Argentina,Bolivia,5.0,0.0
3,1142,1926-10-17,Chile,Uruguay,1.0,3.0
4,1143,1926-10-20,Argentina,Paraguay,8.0,0.0
5,1145,1926-10-23,Bolivia,Paraguay,1.0,6.0
6,1146,1926-10-24,Argentina,Uruguay,0.0,2.0
7,1147,1926-10-28,Bolivia,Uruguay,0.0,6.0
8,1150,1926-10-31,Chile,Argentina,1.0,1.0
9,1152,1926-11-01,Paraguay,Uruguay,1.0,6.0
10,1153,1926-11-03,Chile,Paraguay,5.0,1.0
11,1154,1926-11-06,United States,Canada,6.0,2.0
12,1161,1927-01-02,Belgium,Czechoslovakia,2.0,3.0
13,1166,1927-03-13,Belgium,Netherlands,2.0,0.0
14,1167,1927-03-16,Portugal,France,4.0,0.0
15,1170,1927-04-03,Belgium,Sweden,2.0,1.0
16,1174,1927-04-10,Hungary,Yugoslavia,3.0,0.0
17,1178,1927-04-24,France,Italy,3.0,3.0
18,1180,1927-05-01,Netherlands,Belgium,3.0,2.0
19,1181,1927-05-10,Romania,Yugoslavia,0.0,3.0
20,1182,1927-05-11,Belgium,England,1.0,9.0
21,1183,1927-05-15,Bulgaria,Yugoslavia,0.0,2.0
22,1185,1927-05-22,Austria,Belgium,4.0,1.0
23,1186,1927-05-22,France,Spain,1.0,4.0
24,1187,1927-05-26,Czechoslovakia,Belgium,4.0,0.0
25,1188,1927-05-26,France,England,0.0,6.0
26,1194,1927-06-12,Hungary,France,13.0,1.0
27,1198,1927-06-19,Romania,Poland,3.0,3.0
28,1205,1927-07-14,Uruguay,Argentina,0.0,1.0
29,1213,1927-08-30,Argentina,Uruguay,0.0,1.0
30,1215,1927-09-04,Sweden,Belgium,7.0,0.0
31,1226,1927-10-28,Czechoslovakia,Yugoslavia,5.0,3.0
32,1228,1927-10-30,Argentina,Bolivia,7.0,1.0
33,1230,1927-11-01,Peru,Uruguay,0.0,4.0
34,1231,1927-11-06,Bolivia,Uruguay,0.0,9.0
35,1237,1927-11-13,Peru,Bolivia,3.0,2.0
36,1238,1927-11-20,Argentina,Uruguay,3.0,2.0
37,1240,1927-11-27,Peru,Argentina,1.0,5.0
38,1242,1927-12-10,Chile,Uruguay,2.0,3.0
39,1244,1928-01-08,Belgium,Austria,1.0,2.0
40,1247,1928-02-12,Belgium,Republic of Ireland,2.0,4.0
41,1248,1928-02-21,France,Northern Ireland,4.0,0.0
42,1250,1928-03-11,Netherlands,Belgium,1.0,1.0
43,1251,1928-03-11,Switzerland,France,4.0,3.0
44,1256,1928-04-01,Belgium,Netherlands,1.0,0.0
45,1257,1928-04-01,Portugal,Argentina,0.0,0.0
46,1258,1928-04-08,Yugoslavia,Turkey,2.0,1.0
47,1259,1928-04-15,France,Belgium,2.0,3.0
48,1261,1928-04-15,Romania,Turkey,4.0,2.0
49,1268,1928-04-29,France,Portugal,1.0,1.0
50,1270,1928-05-06,Austria,Yugoslavia,3.0,0.0
51,1273,1928-05-06,Yugoslavia,Romania,3.0,1.0
52,1274,1928-05-13,France,Czechoslovakia,0.0,2.0
53,1275,1928-05-17,France,England,1.0,5.0
54,1276,1928-05-19,Belgium,England,1.0,3.0
55,1277,1928-05-27,Portugal,Chile,4.0,2.0
