,index,date,home_team,away_team,home_score,away_score,resultado
0,3993,1954-08-15,Finland,Sweden,1.0,10.0,2
1,3995,1954-08-24,Sweden,Iceland,3.0,2.0,1
2,3999,1954-09-08,Russia,Sweden,7.0,0.0,1
3,4003,1954-09-19,Hungary,Romania,5.0,1.0,1
4,4004,1954-09-19,Norway,Sweden,1.0,1.0,0
5,4005,1954-09-22,Wales,Yugoslavia,1.0,3.0,2
6,4008,1954-09-26,Russia,Hungary,1.0,1.0,0
7,4009,1954-09-26,Saarland,Yugoslavia,1.0,5.0,2
8,4010,1954-10-02,Northern Ireland,England,0.0,2.0,2
9,4011,1954-10-03,Austria,Yugoslavia,2.0,2.0,0
10,4015,1954-10-10,Hungary,Switzerland,3.0,0.0,1
11,4017,1954-10-10,Sweden,Denmark,5.0,2.0,1
12,4018,1954-10-16,Germany,France,1.0,3.0,2
13,4019,1954-10-16,Wales,Scotland,0.0,1.0,2
14,4020,1954-10-17,Yugoslavia,Turkey,5.0,1.0,1
15,4023,1954-10-24,Hungary,Czechoslovakia,4.0,1.0,1
16,4026,1954-10-31,Sweden,Austria,2.0,1.0,1
17,4028,1954-11-03,Scotland,Northern Ireland,2.0,2.0,0
18,4031,1954-11-10,England,Wales,3.0,2.0,1
19,4032,1954-11-11,France,Belgium,2.0,2.0,0
20,4033,1954-11-14,Hungary,Austria,4.0,1.0,1
21,4034,1954-11-28,Portugal,Argentina,1.0,3.0,2
22,4035,1954-12-01,England,Germany,3.0,1.0,1
23,4036,1954-12-05,Italy,Argentina,2.0,0.0,1
24,4037,1954-12-08,Scotland,Hungary,2.0,4.0,2
25,4050,1955-03-02,Argentina,Paraguay,5.0,3.0,1
26,4052,1955-03-09,Argentina,Ecuador,4.0,0.0,1
27,4053,1955-03-09,Paraguay,Uruguay,1.0,3.0,2
28,4057,1955-03-16,Argentina,Peru,2.0,2.0,0
29,4058,1955-03-16,Ecuador,Paraguay,0.0,2.0,2
30,4059,1955-03-17,Spain,France,1.0,2.0,2
31,4060,1955-03-20,Chile,Paraguay,5.0,0.0,1
32,4062,1955-03-23,Paraguay,Peru,1.0,1.0,0
33,4063,1955-03-27,Argentina,Uruguay,6.0,1.0,1
34,4064,1955-03-27,Czechoslovakia,Austria,3.0,2.0,1
35,4065,1955-03-30,Chile,Argentina,0.0,1.0,2
36,4069,1955-04-02,England,Scotland,7.0,2.0,1
37,4070,1955-04-03,France,Sweden,2.0,0.0,1
38,4072,1955-04-20,Northern Ireland,Wales,2.0,3.0,2
39,4073,1955-04-24,Austria,Hungary,2.0,2.0,0
40,4075,1955-05-01,Switzerland,Austria,2.0,3.0,2
41,4076,1955-05-04,Scotland,Portugal,3.0,0.0,1
42,4079,1955-05-08,Norway,Hungary,0.0,5.0,2
43,4080,1955-05-11,Sweden,Hungary,3.0,7.0,2
44,4081,1955-05-15,Denmark,Hungary,0.0,6.0,2
45,4082,1955-05-15,France,England,1.0,0.0,1
46,4083,1955-05-15,Yugoslavia,Scotland,2.0,2.0,0
47,4084,1955-05-18,Spain,England,1.0,1.0,0
48,4085,1955-05-19,Austria,Scotland,1.0,4.0,2
49,4086,1955-05-19,Finland,Hungary,1.0,9.0,2
50,4089,1955-05-22,Portugal,England,3.0,1.0,1
51,4093,1955-05-29,Hungary,Scotland,3.0,1.0,1
52,4094,1955-05-29,Italy,Yugoslavia,0.0,4.0,2
53,4097,1955-06-05,Belgium,Czechoslovakia,1.0,3.0,2
54,4099,1955-06-15,Sweden,Romania,4.0,1.0,1
55,4105,1955-06-26,Sweden,Russia,0.0,6.0,2
56,4106,1955-06-26,Yugoslavia,Switzerland,0.0,0.0,0
57,4135,1955-08-28,Sweden,Finland,3.0,0.0,1
58,4142,1955-09-17,Switzerland,Hungary,4.0,5.0,2
59,4143,1955-09-18,Brazil,Chile,1.0,1.0,0
60,4145,1955-09-20,Brazil,Chile,2.0,1.0,1
61,4147,1955-09-25,Czechoslovakia,Belgium,5.0,2.0,1
62,4148,1955-09-25,Hungary,Russia,1.0,1.0,0
63,4149,1955-09-25,Sweden,Norway,1.0,1.0,0
64,4150,1955-09-25,Yugoslavia,Germany,3.0,1.0,1
65,4153,1955-10-02,Czechoslovakia,Hungary,1.0,3.0,2
66,4154,1955-10-02,Denmark,England,1.0,5.0,2
67,4155,1955-10-08,Northern Ireland,Scotland,2.0,1.0,1
68,4158,1955-10-09,Switzerland,France,1.0,2.0,2
69,4162,1955-10-16,Denmark,Sweden,3.0,3.0,0
70,4163,1955-10-16,Hungary,Austria,6.0,1.0,1
71,4165,1955-10-19,Republic of Ireland,Yugoslavia,1.0,4.0,2
72,4166,1955-10-22,Wales,England,2.0,1.0,1
73,4167,1955-10-23,Russia,France,2.0,2.0,0
74,4168,1955-10-30,Austria,Yugoslavia,2.0,1.0,1
75,4170,1955-11-02,England,Northern Ireland,3.0,0.0,1
76,4172,1955-11-09,Scotland,Wales,2.0,0.0,1
77,4173,1955-11-11,France,Yugoslavia,1.0,1.0,0
78,4174,1955-11-13,Brazil,Paraguay,3.0,0.0,1
79,4175,1955-11-13,Bulgaria,Czechoslovakia,3.0,0.0,1
80,4176,1955-11-13,Hungary,Sweden,4.0,2.0,1
81,4179,1955-11-17,Brazil,Paraguay,3.0,3.0,0
82,4181,1955-11-20,Portugal,Sweden,2.0,6.0,2
83,4182,1955-11-23,Wales,Austria,1.0,2.0,2
84,4183,1955-11-27,Hungary,Italy,2.0,0.0,1
85,4185,1955-11-30,England,Spain,4.0,1.0,1
86,4195,1955-12-25,Belgium,France,2.0,1.0,1
87,4200,1956-01-21,Uruguay,Paraguay,4.0,2.0,1
88,4201,1956-01-22,Argentina,Peru,2.0,1.0,1
