,index,date,home_team,away_team,home_score,away_score,resultado
0,3422,1950-08-27,Bulgaria,Czechoslovakia,1.0,2.0,2
1,3428,1950-09-03,Sweden,Yugoslavia,1.0,2.0,2
2,3430,1950-09-07,Finland,Yugoslavia,3.0,2.0,1
3,3431,1950-09-10,Denmark,Yugoslavia,1.0,4.0,2
4,3434,1950-09-24,Hungary,Albania,12.0,0.0,1
5,3436,1950-10-07,Northern Ireland,England,1.0,4.0,2
6,3437,1950-10-08,Austria,Yugoslavia,7.0,2.0,1
7,3444,1950-10-15,Switzerland,Netherlands,7.0,5.0,1
8,3446,1950-10-21,Wales,Scotland,1.0,3.0,2
9,3447,1950-10-22,Poland,Czechoslovakia,1.0,4.0,2
10,3449,1950-10-28,Israel,Turkey,5.0,1.0,1
11,3450,1950-10-29,Hungary,Austria,4.0,3.0,1
12,3452,1950-11-01,France,Belgium,3.0,3.0,0
13,3453,1950-11-01,Scotland,Northern Ireland,6.0,1.0,1
14,3454,1950-11-05,Austria,Denmark,5.0,1.0,1
15,3455,1950-11-05,Yugoslavia,Norway,4.0,0.0,1
16,3456,1950-11-12,Belgium,Netherlands,7.0,2.0,1
17,3457,1950-11-12,Bulgaria,Hungary,1.0,1.0,0
18,3458,1950-11-12,Switzerland,Sweden,4.0,2.0,1
19,3459,1950-11-15,England,Wales,4.0,2.0,1
20,3461,1950-11-22,England,Yugoslavia,2.0,2.0,0
21,3462,1950-11-22,Germany,Switzerland,1.0,0.0,1
22,3469,1950-12-03,Turkey,Israel,3.0,2.0,1
23,3471,1950-12-10,France,Netherlands,5.0,2.0,1
24,3472,1950-12-13,Scotland,Austria,0.0,1.0,2
25,3473,1951-02-06,France,Yugoslavia,2.0,1.0,1
26,3474,1951-02-18,Spain,Switzerland,6.0,3.0,1
27,3493,1951-04-08,Portugal,Italy,1.0,4.0,2
28,3495,1951-04-14,England,Scotland,2.0,3.0,2
29,3496,1951-04-15,Netherlands,Belgium,5.0,4.0,1
30,3497,1951-04-15,Switzerland,Germany,2.0,3.0,2
31,3499,1951-05-06,Italy,Yugoslavia,0.0,0.0,0
32,3500,1951-05-09,England,Argentina,2.0,1.0,1
33,3501,1951-05-12,Northern Ireland,France,2.0,2.0,0
34,3502,1951-05-12,Scotland,Denmark,3.0,1.0,1
35,3505,1951-05-16,Scotland,France,1.0,0.0,1
36,3506,1951-05-16,Wales,Switzerland,3.0,2.0,1
37,3508,1951-05-19,England,Portugal,5.0,2.0,1
38,3509,1951-05-20,Belgium,Scotland,0.0,5.0,2
39,3510,1951-05-20,Czechoslovakia,Romania,2.0,2.0,0
40,3513,1951-05-27,Austria,Scotland,4.0,0.0,1
41,3514,1951-05-27,Hungary,Poland,6.0,0.0,1
42,3517,1951-06-03,Italy,France,4.0,1.0,1
43,3519,1951-06-10,Belgium,Spain,3.0,3.0,0
44,3520,1951-06-10,Sweden,Turkey,3.0,1.0,1
45,3521,1951-06-17,Denmark,Austria,3.0,3.0,0
46,3522,1951-06-17,Germany,Turkey,1.0,2.0,2
47,3523,1951-06-17,Portugal,Belgium,1.0,1.0,0
48,3525,1951-06-24,Yugoslavia,Switzerland,7.0,3.0,1
49,3532,1951-08-23,Norway,Yugoslavia,2.0,4.0,2
50,3536,1951-09-02,Yugoslavia,Sweden,2.0,1.0,1
51,3541,1951-09-23,Austria,Germany,0.0,2.0,2
52,3549,1951-10-03,England,France,2.0,2.0,0
53,3551,1951-10-06,Northern Ireland,Scotland,0.0,3.0,2
