,index,date,home_team,away_team,home_score,away_score,resultado
0,13367,1982-08-06,South Korea,Senegal,0.0,2.0,2
1,13370,1982-08-08,South Korea,Indonesia,4.0,0.0,1
2,13374,1982-08-10,Malaysia,South Korea,1.0,2.0,2
3,13375,1982-08-11,Denmark,Finland,3.0,2.0,1
4,13380,1982-08-12,South Korea,United Arab Emirates,3.0,2.0,1
5,13387,1982-08-31,France,Poland,0.0,4.0,2
6,13390,1982-09-01,Romania,Denmark,1.0,0.0,1
7,13392,1982-09-07,Switzerland,Bulgaria,3.0,2.0,1
8,13393,1982-09-08,Finland,Poland,2.0,3.0,2
9,13400,1982-09-22,Bulgaria,German DR,2.0,2.0,0
10,13401,1982-09-22,Denmark,England,2.0,2.0,0
11,13402,1982-09-22,Finland,Portugal,0.0,2.0,2
12,13403,1982-09-22,Germany,Belgium,0.0,0.0,0
13,13404,1982-09-22,Hungary,Turkey,5.0,0.0,1
14,13411,1982-10-03,Saudi Arabia,Morocco,2.0,1.0,1
15,13414,1982-10-06,Belgium,Switzerland,3.0,0.0,1
16,13416,1982-10-06,France,Hungary,1.0,0.0,1
17,13420,1982-10-10,Portugal,Poland,2.0,1.0,1
18,13423,1982-10-13,Austria,Northern Ireland,2.0,0.0,1
19,13424,1982-10-13,England,Germany,1.0,2.0,2
20,13428,1982-10-13,Scotland,German DR,2.0,0.0,1
21,13431,1982-10-14,Bulgaria,Malta,7.0,0.0,1
22,13433,1982-10-27,Bulgaria,Norway,2.0,2.0,0
23,13435,1982-10-27,Denmark,Czechoslovakia,1.0,3.0,2
24,13436,1982-10-27,Italy,Switzerland,0.0,1.0,2
25,13438,1982-10-27,Spain,Iceland,1.0,0.0,1
26,13442,1982-11-10,Luxembourg,Denmark,1.0,2.0,2
27,13443,1982-11-10,Netherlands,France,1.0,2.0,2
28,13447,1982-11-13,Italy,Czechoslovakia,2.0,2.0,0
29,13458,1982-11-17,Bulgaria,Yugoslavia,0.0,1.0,2
30,13460,1982-11-17,Greece,England,0.0,3.0,2
31,13461,1982-11-17,Republic of Ireland,Spain,3.0,3.0,0
32,13462,1982-11-17,Northern Ireland,Germany,1.0,0.0,1
