,index,date,home_team,away_team,home_score,away_score
0,37958,2014-08-06,Peru,Panama,3.0,0.0
1,37967,2014-08-20,Panama,Cuba,4.0,0.0
2,37975,2014-08-30,Egypt,Kenya,1.0,0.0
3,37980,2014-09-03,Costa Rica,Nicaragua,3.0,0.0
4,37982,2014-09-03,Denmark,Turkey,1.0,2.0
5,37983,2014-09-03,England,Norway,1.0,0.0
6,37984,2014-09-03,Germany,Argentina,2.0,4.0
7,37990,2014-09-03,Morocco,Qatar,0.0,0.0
8,37993,2014-09-03,Russia,Azerbaijan,4.0,0.0
9,37996,2014-09-04,Belgium,Australia,2.0,0.0
10,37999,2014-09-04,Croatia,Cyprus,2.0,0.0
11,38000,2014-09-04,France,Spain,1.0,0.0
12,38001,2014-09-04,Iraq,Peru,0.0,2.0
13,38004,2014-09-04,Sweden,Estonia,2.0,0.0
14,38008,2014-09-05,Japan,Uruguay,0.0,2.0
15,38009,2014-09-05,Brazil,Colombia,1.0,0.0
16,38011,2014-09-05,South Korea,Venezuela,3.0,1.0
17,38013,2014-09-05,Senegal,Egypt,2.0,0.0
18,38025,2014-09-06,Mexico,Chile,0.0,0.0
19,38027,2014-09-06,Nigeria,Congo,2.0,3.0
20,38031,2014-09-06,Tunisia,Botswana,2.0,1.0
21,38036,2014-09-07,Costa Rica,Panama,2.0,2.0
22,38037,2014-09-07,Denmark,Armenia,2.0,1.0
23,38042,2014-09-07,Germany,Scotland,2.0,1.0
24,38043,2014-09-07,Gibraltar,Poland,0.0,7.0
25,38048,2014-09-07,Morocco,Libya,3.0,0.0
26,38050,2014-09-07,Portugal,Albania,0.0,1.0
27,38052,2014-09-07,Serbia,France,1.0,1.0
28,38053,2014-09-08,Australia,Saudi Arabia,3.0,2.0
29,38054,2014-09-08,Austria,Sweden,1.0,1.0
30,38056,2014-09-08,South Korea,Uruguay,0.0,1.0
31,38059,2014-09-08,Russia,Liechtenstein,4.0,0.0
32,38061,2014-09-08,Spain,North Macedonia,5.0,1.0
33,38062,2014-09-08,Switzerland,England,0.0,2.0
34,38069,2014-09-09,Croatia,Malta,2.0,0.0
35,38072,2014-09-09,Iceland,Turkey,3.0,0.0
36,38074,2014-09-09,Japan,Venezuela,2.0,2.0
37,38077,2014-09-09,Mexico,Bolivia,1.0,0.0
38,38079,2014-09-09,Qatar,Peru,0.0,2.0
39,38083,2014-09-10,Botswana,Senegal,0.0,2.0
40,38088,2014-09-10,Egypt,Tunisia,0.0,1.0
41,38092,2014-09-10,South Africa,Nigeria,0.0,0.0
42,38107,2014-10-09,England,San Marino,5.0,0.0
43,38112,2014-10-09,Morocco,Central African Republic,4.0,0.0
44,38114,2014-10-09,Slovakia,Spain,2.0,1.0
45,38115,2014-10-09,Slovenia,Switzerland,1.0,0.0
46,38116,2014-10-09,Sweden,Russia,1.0,1.0
47,38117,2014-10-10,Belgium,Andorra,6.0,0.0
48,38118,2014-10-10,Botswana,Egypt,0.0,2.0
49,38119,2014-10-10,Bulgaria,Croatia,0.0,1.0
50,38125,2014-10-10,Japan,Jamaica,1.0,0.0
51,38127,2014-10-10,South Korea,Paraguay,2.0,0.0
52,38128,2014-10-10,Latvia,Iceland,0.0,3.0
53,38132,2014-10-10,Oman,Costa Rica,3.0,4.0
54,38133,2014-10-10,Saudi Arabia,Uruguay,1.0,1.0
55,38134,2014-10-10,Senegal,Tunisia,0.0,0.0
56,38138,2014-10-10,United Arab Emirates,Australia,0.0,0.0
57,38142,2014-10-10,Chile,Peru,3.0,0.0
58,38143,2014-10-11,Albania,Denmark,1.0,1.0
59,38144,2014-10-11,Argentina,Brazil,0.0,2.0
60,38145,2014-10-11,Armenia,Serbia,1.0,1.0
61,38151,2014-10-11,France,Portugal,2.0,1.0
62,38159,2014-10-11,Poland,Germany,2.0,0.0
63,38162,2014-10-11,Sudan,Nigeria,1.0,0.0
64,38168,2014-10-12,Estonia,England,0.0,1.0
65,38173,2014-10-12,Luxembourg,Spain,0.0,4.0
66,38174,2014-10-12,Mexico,Panama,1.0,0.0
67,38177,2014-10-12,Russia,Moldova,1.0,1.0
68,38179,2014-10-12,Sweden,Liechtenstein,2.0,0.0
69,38184,2014-10-13,Bosnia and Herzegovina,Belgium,1.0,1.0
70,38185,2014-10-13,Croatia,Azerbaijan,6.0,0.0
71,38186,2014-10-13,Iceland,Netherlands,2.0,0.0
72,38191,2014-10-13,Morocco,Kenya,3.0,0.0
73,38193,2014-10-13,Oman,Uruguay,0.0,3.0
74,38195,2014-10-14,Armenia,France,0.0,3.0
75,38199,2014-10-14,Denmark,Portugal,0.0,1.0
76,38202,2014-10-14,Germany,Republic of Ireland,1.0,1.0
77,38205,2014-10-14,Hong Kong,Argentina,0.0,7.0
78,38206,2014-10-14,Japan,Brazil,0.0,4.0
79,38207,2014-10-14,South Korea,Costa Rica,1.0,3.0
80,38210,2014-10-14,Poland,Scotland,2.0,2.0
81,38211,2014-10-14,Qatar,Australia,1.0,0.0
82,38212,2014-10-14,San Marino,Switzerland,0.0,4.0
83,38213,2014-10-14,Saudi Arabia,Lebanon,1.0,1.0
84,38214,2014-10-14,Serbia,Albania,0.0,3.0
85,38217,2014-10-14,Peru,Guatemala,1.0,0.0
86,38223,2014-10-15,Egypt,Botswana,2.0,0.0
87,38227,2014-10-15,Nigeria,Sudan,3.0,1.0
88,38231,2014-10-15,Tunisia,Senegal,1.0,0.0
89,38247,2014-11-06,Saudi Arabia,Palestine,2.0,0.0
90,38257,2014-11-12,Argentina,Croatia,2.0,1.0
91,38258,2014-11-12,Belgium,Iceland,3.0,1.0
92,38260,2014-11-12,Netherlands,Mexico,2.0,3.0
93,38262,2014-11-12,Turkey,Brazil,0.0,4.0
94,38265,2014-11-13,Morocco,Benin,6.0,1.0
95,38266,2014-11-13,Saudi Arabia,Qatar,1.0,1.0
96,38269,2014-11-13,Uruguay,Costa Rica,3.0,3.0
97,38271,2014-11-14,Botswana,Tunisia,0.0,0.0
98,38273,2014-11-14,France,Albania,1.0,1.0
99,38274,2014-11-14,Georgia,Poland,0.0,4.0
100,38275,2014-11-14,Germany,Gibraltar,4.0,0.0
101,38280,2014-11-14,Japan,Honduras,6.0,0.0
102,38281,2014-11-14,Jordan,South Korea,0.0,1.0
103,38283,2014-11-14,Paraguay,Peru,2.0,1.0
104,38285,2014-11-14,Portugal,Armenia,1.0,0.0
105,38288,2014-11-14,Serbia,Denmark,1.0,3.0
106,38290,2014-11-14,United States,Colombia,1.0,2.0
107,38293,2014-11-15,Austria,Russia,1.0,0.0
108,38296,2014-11-15,Congo,Nigeria,0.0,2.0
109,38297,2014-11-15,Egypt,Senegal,0.0,1.0
110,38298,2014-11-15,England,Slovenia,3.0,1.0
111,38306,2014-11-15,Montenegro,Sweden,1.0,1.0
112,38310,2014-11-15,Spain,Belarus,3.0,0.0
113,38311,2014-11-15,Switzerland,Lithuania,4.0,0.0
114,38316,2014-11-16,Belgium,Wales,0.0,0.0
115,38319,2014-11-16,Czech Republic,Iceland,2.0,1.0
116,38322,2014-11-16,Italy,Croatia,1.0,1.0
117,38323,2014-11-16,Morocco,Zimbabwe,2.0,1.0
118,38325,2014-11-16,Saudi Arabia,Bahrain,3.0,0.0
119,38333,2014-11-18,Austria,Brazil,1.0,2.0
120,38334,2014-11-18,Belarus,Mexico,3.0,2.0
121,38336,2014-11-18,Chile,Uruguay,1.0,2.0
122,38340,2014-11-18,France,Sweden,1.0,0.0
123,38341,2014-11-18,Greece,Serbia,0.0,2.0
124,38342,2014-11-18,Hungary,Russia,1.0,2.0
125,38343,2014-11-18,Iran,South Korea,1.0,0.0
126,38347,2014-11-18,Japan,Australia,2.0,1.0
127,38349,2014-11-18,Panama,Canada,0.0,0.0
128,38350,2014-11-18,Peru,Paraguay,2.0,1.0
129,38351,2014-11-18,Poland,Switzerland,2.0,2.0
130,38352,2014-11-18,Portugal,Argentina,1.0,0.0
131,38353,2014-11-18,Romania,Denmark,2.0,0.0
132,38354,2014-11-18,Scotland,England,1.0,3.0
133,38356,2014-11-18,Slovenia,Colombia,0.0,1.0
134,38357,2014-11-18,Spain,Germany,0.0,1.0
135,38371,2014-11-19,Nigeria,South Africa,2.0,2.0
136,38372,2014-11-19,Saudi Arabia,Yemen,1.0,0.0
137,38373,2014-11-19,Senegal,Botswana,3.0,0.0
138,38375,2014-11-19,Tunisia,Egypt,2.0,1.0
139,38383,2014-11-23,Saudi Arabia,United Arab Emirates,3.0,2.0
140,38389,2014-11-26,Saudi Arabia,Qatar,1.0,2.0
141,38410,2014-12-30,Bahrain,Saudi Arabia,4.0,1.0
142,38415,2015-01-04,Iran,Iraq,1.0,0.0
143,38416,2015-01-04,South Korea,Saudi Arabia,2.0,0.0
144,38420,2015-01-09,Australia,Kuwait,4.0,1.0
145,38421,2015-01-09,Senegal,Gabon,1.0,0.0
146,38425,2015-01-10,South Korea,Oman,1.0,0.0
147,38426,2015-01-10,Saudi Arabia,China,0.0,1.0
148,38428,2015-01-11,Iran,Bahrain,2.0,0.0
149,38429,2015-01-11,Nigeria,Ivory Coast,0.0,1.0
150,38430,2015-01-11,Tunisia,Algeria,1.0,1.0
151,38432,2015-01-12,Japan,Palestine,4.0,0.0
152,38434,2015-01-13,Australia,Oman,4.0,0.0
153,38436,2015-01-13,Kuwait,South Korea,0.0,1.0
154,38437,2015-01-13,Senegal,Guinea,5.0,2.0
155,38439,2015-01-14,North Korea,Saudi Arabia,1.0,4.0
156,38442,2015-01-15,Qatar,Iran,0.0,1.0
157,38443,2015-01-15,Sweden,Ivory Coast,2.0,0.0
158,38444,2015-01-16,Canada,Iceland,1.0,2.0
159,38445,2015-01-16,Iraq,Japan,0.0,1.0
160,38447,2015-01-17,Australia,South Korea,0.0,1.0
161,38451,2015-01-17,Yemen,Nigeria,0.0,2.0
162,38453,2015-01-18,Tunisia,Cape Verde,1.0,1.0
163,38454,2015-01-18,Uzbekistan,Saudi Arabia,3.0,1.0
164,38457,2015-01-19,Canada,Iceland,1.0,1.0
165,38458,2015-01-19,Finland,Sweden,1.0,0.0
166,38459,2015-01-19,Ghana,Senegal,1.0,2.0
167,38460,2015-01-19,Iran,United Arab Emirates,1.0,0.0
168,38464,2015-01-20,Japan,Jordan,2.0,0.0
169,38468,2015-01-22,Australia,China,2.0,0.0
170,38470,2015-01-22,South Korea,Uzbekistan,2.0,0.0
171,38472,2015-01-22,Zambia,Tunisia,1.0,2.0
172,38474,2015-01-23,Iran,Iraq,3.0,3.0
173,38475,2015-01-23,Japan,United Arab Emirates,1.0,1.0
174,38476,2015-01-23,South Africa,Senegal,1.0,1.0
175,38482,2015-01-26,DR Congo,Tunisia,1.0,1.0
176,38483,2015-01-26,South Korea,Iraq,2.0,0.0
177,38484,2015-01-27,Australia,United Arab Emirates,2.0,0.0
178,38485,2015-01-27,Senegal,Algeria,0.0,2.0
179,38493,2015-01-31,Australia,South Korea,2.0,1.0
180,38495,2015-01-31,Equatorial Guinea,Tunisia,2.0,1.0
181,38507,2015-02-08,United States,Panama,2.0,0.0
182,38529,2015-03-25,Denmark,United States,3.0,2.0
183,38534,2015-03-25,Germany,Australia,2.0,2.0
184,38537,2015-03-25,Nigeria,Uganda,0.0,1.0
185,38541,2015-03-26,Bahrain,Colombia,0.0,6.0
186,38542,2015-03-26,Chile,Iran,0.0,2.0
187,38543,2015-03-26,Egypt,Equatorial Guinea,2.0,0.0
188,38544,2015-03-26,France,Brazil,1.0,3.0
189,38557,2015-03-27,England,Lithuania,4.0,0.0
