,index,date,home_team,away_team,home_score,away_score,resultado
0,19841,1994-08-17,Austria,Russia,0.0,3.0,2
1,19842,1994-08-17,Denmark,Finland,2.0,1.0,1
2,19843,1994-08-17,France,Czech Republic,2.0,2.0,0
3,19844,1994-08-17,Israel,Croatia,0.0,4.0,2
4,19866,1994-09-04,Burkina Faso,Morocco,2.0,1.0,1
5,19868,1994-09-04,Estonia,Croatia,0.0,2.0,2
6,19878,1994-09-07,Belgium,Armenia,2.0,0.0,1
7,19879,1994-09-07,Cyprus,Spain,1.0,2.0,2
8,19880,1994-09-07,England,United States,2.0,0.0,1
9,19882,1994-09-07,Finland,Scotland,0.0,2.0,2
10,19887,1994-09-07,Liechtenstein,Austria,0.0,4.0,2
11,19888,1994-09-07,Luxembourg,Netherlands,0.0,4.0,2
12,19889,1994-09-07,North Macedonia,Denmark,1.0,1.0,0
13,19891,1994-09-07,Norway,Belarus,1.0,0.0,1
14,19892,1994-09-07,Romania,Azerbaijan,3.0,0.0,1
15,19893,1994-09-07,Russia,Germany,0.0,1.0,2
16,19894,1994-09-07,Slovakia,France,0.0,0.0,0
17,19895,1994-09-07,Slovenia,Italy,1.0,1.0,0
18,19899,1994-09-11,South Korea,Ukraine,1.0,0.0,1
19,19901,1994-09-13,South Korea,Ukraine,2.0,0.0,1
20,19907,1994-09-19,South Korea,United Arab Emirates,0.0,0.0,0
21,19908,1994-09-21,Chile,Bolivia,1.0,2.0,2
22,19913,1994-09-27,Japan,Australia,0.0,0.0,0
23,19916,1994-10-01,Saudi Arabia,Uzbekistan,1.0,4.0,2
24,19918,1994-10-01,South Korea,Nepal,11.0,0.0,1
25,19921,1994-10-03,Iran,Bahrain,0.0,0.0,0
26,19926,1994-10-03,Japan,United Arab Emirates,1.0,1.0,0
27,19928,1994-10-05,Iran,Turkmenistan,1.0,1.0,0
28,19930,1994-10-05,Thailand,Saudi Arabia,2.0,4.0,2
29,19931,1994-10-05,South Korea,Oman,2.0,1.0,1
30,19933,1994-10-05,Japan,Qatar,1.0,1.0,0
31,19934,1994-10-07,Iran,China,0.0,1.0,2
32,19937,1994-10-07,Malaysia,Saudi Arabia,1.0,2.0,2
33,19938,1994-10-07,South Korea,Kuwait,0.0,1.0,2
34,19940,1994-10-08,Estonia,Italy,0.0,2.0,2
35,19941,1994-10-08,France,Romania,0.0,0.0,0
36,19942,1994-10-09,Croatia,Lithuania,2.0,0.0,1
37,19947,1994-10-09,Iran,Yemen,4.0,0.0,1
38,19948,1994-10-09,Hong Kong,Saudi Arabia,1.0,2.0,2
39,19952,1994-10-09,Japan,Myanmar,5.0,0.0,1
40,19953,1994-10-11,China,Saudi Arabia,2.0,0.0,1
41,19956,1994-10-11,Japan,South Korea,2.0,3.0,2
42,19957,1994-10-12,Austria,Northern Ireland,1.0,2.0,2
43,19959,1994-10-12,Bulgaria,Georgia,2.0,0.0,1
44,19960,1994-10-12,Denmark,Belgium,3.0,1.0,1
45,19961,1994-10-12,England,Romania,1.0,1.0,0
46,19963,1994-10-12,Hungary,Germany,0.0,0.0,0
47,19966,1994-10-12,North Macedonia,Spain,0.0,2.0,2
48,19969,1994-10-12,Norway,Netherlands,1.0,1.0,0
49,19972,1994-10-12,Scotland,Faroe Islands,5.0,1.0,1
50,19977,1994-10-13,Uzbekistan,South Korea,1.0,0.0,1
51,19983,1994-10-15,Kuwait,South Korea,2.0,1.0,1
52,19984,1994-10-16,Cameroon,DR Congo,1.0,0.0,1
53,19991,1994-10-19,Saudi Arabia,United States,2.0,1.0,1
54,19995,1994-10-26,Saudi Arabia,Trinidad and Tobago,1.0,0.0,1
55,20001,1994-11-04,Oman,Saudi Arabia,1.0,2.0,2
56,20003,1994-11-06,United Arab Emirates,Saudi Arabia,1.0,1.0,0
57,20006,1994-11-07,Morocco,Cameroon,1.0,1.0,0
58,20007,1994-11-08,Tunisia,Ivory Coast,2.0,0.0,1
59,20010,1994-11-10,Saudi Arabia,Bahrain,3.0,1.0,1
60,20013,1994-11-12,Qatar,Saudi Arabia,1.0,2.0,2
61,20014,1994-11-12,Romania,Slovakia,3.0,2.0,1
62,20020,1994-11-13,Morocco,Ivory Coast,1.0,0.0,1
63,20023,1994-11-13,Tunisia,Togo,1.0,1.0,0
64,20025,1994-11-13,Portugal,Austria,1.0,0.0,1
65,20031,1994-11-16,Albania,Germany,1.0,2.0,2
66,20033,1994-11-16,Belarus,Norway,0.0,4.0,2
67,20034,1994-11-16,Belgium,North Macedonia,1.0,1.0,0
68,20035,1994-11-16,Bulgaria,Moldova,4.0,1.0,1
69,20036,1994-11-16,Chile,Argentina,0.0,3.0,2
70,20038,1994-11-16,England,Nigeria,1.0,0.0,1
71,20042,1994-11-16,Italy,Croatia,1.0,2.0,2
72,20043,1994-11-16,Kuwait,Saudi Arabia,0.0,2.0,2
73,20044,1994-11-16,Netherlands,Czech Republic,0.0,0.0,0
74,20046,1994-11-16,Poland,France,0.0,0.0,0
75,20047,1994-11-16,Scotland,Russia,1.0,1.0,0
76,20049,1994-11-16,Spain,Denmark,3.0,0.0,1
