,index,date,home_team,away_team,home_score,away_score
0,1510,1930-08-01,Brazil,France,3.0,2.0
1,1511,1930-08-03,Argentina,Yugoslavia,3.0,1.0
2,1514,1930-08-10,Brazil,Yugoslavia,4.0,1.0
3,1517,1930-08-17,Brazil,United States,4.0,3.0
4,1519,1930-09-07,Denmark,Germany,6.0,3.0
5,1521,1930-09-21,Austria,Hungary,2.0,3.0
6,1522,1930-09-21,Belgium,Czechoslovakia,2.0,3.0
7,1524,1930-09-28,Belgium,Sweden,2.0,2.0
8,1525,1930-09-28,Finland,Sweden,4.0,4.0
9,1526,1930-09-28,Germany,Hungary,5.0,3.0
10,1527,1930-09-28,Sweden,Poland,0.0,3.0
11,1528,1930-10-12,Bulgaria,Romania,5.0,3.0
12,1531,1930-10-26,Hungary,Czechoslovakia,1.0,1.0
13,1533,1930-11-02,Germany,Norway,1.0,1.0
14,1534,1930-11-02,Switzerland,Netherlands,6.0,3.0
15,1535,1930-11-16,Austria,Sweden,4.0,1.0
16,1538,1930-11-30,Portugal,Spain,0.0,1.0
17,1539,1930-12-07,France,Belgium,2.0,2.0
18,1542,1931-01-25,Italy,France,5.0,0.0
19,1545,1931-02-15,France,Czechoslovakia,1.0,2.0
20,1547,1931-02-22,Italy,Austria,2.0,1.0
21,1555,1931-03-15,France,Germany,1.0,0.0
22,1557,1931-03-22,Czechoslovakia,Hungary,3.0,3.0
23,1559,1931-03-29,Netherlands,Belgium,3.0,2.0
24,1560,1931-03-29,Switzerland,Italy,1.0,1.0
25,1562,1931-04-12,Austria,Czechoslovakia,2.0,1.0
26,1563,1931-04-12,Hungary,Switzerland,6.0,2.0
27,1564,1931-04-12,Portugal,Italy,0.0,2.0
28,1566,1931-04-19,Paraguay,Argentina,0.0,1.0
29,1567,1931-04-19,Spain,Italy,0.0,0.0
30,1570,1931-04-25,Paraguay,Argentina,1.0,1.0
31,1571,1931-04-26,Netherlands,Germany,1.0,1.0
32,1572,1931-04-26,Spain,Republic of Ireland,1.0,1.0
33,1574,1931-05-03,Austria,Hungary,0.0,0.0
34,1575,1931-05-03,Belgium,Netherlands,4.0,2.0
35,1576,1931-05-10,Romania,Bulgaria,5.0,2.0
36,1577,1931-05-14,France,England,5.0,2.0
37,1578,1931-05-16,Austria,Scotland,5.0,0.0
38,1579,1931-05-16,Belgium,England,1.0,4.0
39,1580,1931-05-20,Italy,Scotland,3.0,0.0
40,1581,1931-05-21,Yugoslavia,Hungary,3.0,2.0
41,1582,1931-05-24,Germany,Austria,0.0,6.0
42,1583,1931-05-24,Switzerland,Scotland,2.0,3.0
43,1586,1931-05-31,Portugal,Belgium,3.0,2.0
44,1588,1931-06-13,Czechoslovakia,Switzerland,7.0,3.0
45,1589,1931-06-14,Denmark,Netherlands,0.0,2.0
46,1590,1931-06-14,Poland,Czechoslovakia,0.0,4.0
47,1591,1931-06-16,Austria,Switzerland,2.0,0.0
48,1593,1931-06-17,Sweden,Germany,0.0,0.0
49,1594,1931-06-21,Norway,Germany,2.0,2.0
50,1595,1931-06-28,Sweden,Denmark,3.0,1.0
51,1596,1931-06-28,Yugoslavia,Romania,2.0,4.0
52,1598,1931-07-03,Sweden,Finland,8.0,2.0
53,1599,1931-07-04,Argentina,Paraguay,1.0,1.0
54,1601,1931-07-08,Sweden,Estonia,3.0,1.0
55,1602,1931-07-09,Argentina,Paraguay,3.0,1.0
56,1603,1931-07-26,Sweden,Latvia,6.0,0.0
57,1604,1931-08-02,Yugoslavia,Czechoslovakia,2.0,1.0
58,1606,1931-08-23,Poland,Romania,2.0,3.0
59,1607,1931-08-26,Lithuania,Romania,2.0,4.0
60,1611,1931-09-06,Brazil,Uruguay,2.0,0.0
61,1613,1931-09-13,Austria,Germany,5.0,0.0
62,1615,1931-09-20,Hungary,Czechoslovakia,3.0,0.0
63,1617,1931-09-27,Germany,Denmark,4.0,2.0
64,1619,1931-09-27,Norway,Sweden,2.0,1.0
65,1622,1931-10-04,Hungary,Austria,2.0,2.0
66,1623,1931-10-11,Belgium,Poland,2.0,1.0
67,1630,1931-11-08,Hungary,Sweden,3.0,1.0
68,1631,1931-11-15,Italy,Czechoslovakia,2.0,2.0
69,1633,1931-11-29,France,Netherlands,3.0,4.0
70,1634,1931-11-29,Greece,Romania,2.0,4.0
71,1635,1931-11-29,Switzerland,Austria,1.0,8.0
72,1637,1931-12-06,Belgium,Switzerland,2.0,1.0
73,1638,1931-12-09,England,Spain,7.0,1.0
74,1639,1931-12-13,Republic of Ireland,Spain,0.0,5.0
75,1640,1931-12-13,Italy,Hungary,3.0,2.0
76,1641,1932-02-14,Italy,Switzerland,3.0,0.0
77,1642,1932-02-19,Egypt,Hungary,0.0,0.0
78,1643,1932-03-06,Germany,Switzerland,2.0,0.0
79,1645,1932-03-20,Austria,Italy,2.0,1.0
80,1646,1932-03-20,Belgium,Netherlands,1.0,4.0
81,1647,1932-03-20,Czechoslovakia,Hungary,1.0,3.0
82,1649,1932-03-20,Switzerland,France,3.0,3.0
83,1654,1932-04-10,France,Italy,1.0,2.0
84,1658,1932-04-17,Netherlands,Belgium,2.0,1.0
85,1659,1932-04-17,Switzerland,Czechoslovakia,5.0,1.0
86,1663,1932-04-24,Austria,Hungary,8.0,2.0
87,1664,1932-04-24,Spain,Yugoslavia,2.0,1.0
88,1667,1932-05-01,Belgium,France,5.0,2.0
89,1669,1932-05-08,France,Scotland,1.0,3.0
90,1670,1932-05-08,Hungary,Italy,1.0,1.0
91,1671,1932-05-08,Netherlands,Republic of Ireland,0.0,2.0
92,1672,1932-05-15,Argentina,Uruguay,2.0,0.0
93,1673,1932-05-16,Sweden,Finland,7.0,1.0
94,1674,1932-05-18,Uruguay,Argentina,1.0,0.0
95,1675,1932-05-22,Czechoslovakia,Austria,1.0,1.0
96,1676,1932-05-29,Netherlands,Czechoslovakia,1.0,2.0
97,1679,1932-06-05,Denmark,Belgium,3.0,4.0
98,1681,1932-06-05,Yugoslavia,France,2.0,1.0
99,1682,1932-06-09,Bulgaria,France,3.0,5.0
100,1683,1932-06-10,Finland,Sweden,1.0,3.0
101,1684,1932-06-12,Romania,France,6.0,3.0
102,1685,1932-06-12,Sweden,Belgium,3.0,1.0
103,1687,1932-06-19,Denmark,Sweden,3.0,1.0
104,1688,1932-06-19,Switzerland,Hungary,3.0,1.0
105,1689,1932-06-26,Bulgaria,Romania,2.0,0.0
106,1691,1932-06-28,Greece,Romania,0.0,3.0
107,1694,1932-07-01,Finland,Germany,1.0,4.0
108,1695,1932-07-01,Sweden,Norway,1.0,4.0
109,1697,1932-07-03,Yugoslavia,Romania,3.0,1.0
110,1698,1932-07-10,Poland,Sweden,2.0,0.0
111,1699,1932-07-13,Latvia,Sweden,0.0,0.0
112,1700,1932-07-15,Estonia,Sweden,1.0,3.0
113,1701,1932-07-17,Sweden,Austria,3.0,4.0
114,1712,1932-09-18,Hungary,Czechoslovakia,2.0,1.0
115,1713,1932-09-25,Germany,Sweden,4.0,3.0
116,1715,1932-09-25,Sweden,Lithuania,8.0,1.0
117,1716,1932-10-02,Hungary,Austria,2.0,3.0
118,1718,1932-10-02,Romania,Poland,0.0,5.0
119,1719,1932-10-09,Czechoslovakia,Yugoslavia,2.0,1.0
120,1721,1932-10-23,Austria,Switzerland,3.0,1.0
121,1723,1932-10-28,Czechoslovakia,Italy,2.0,1.0
122,1724,1932-10-30,Hungary,Germany,2.0,1.0
123,1726,1932-11-06,Switzerland,Sweden,2.0,1.0
124,1728,1932-11-27,Italy,Hungary,4.0,2.0
125,1729,1932-12-04,Germany,Netherlands,0.0,2.0
126,1730,1932-12-04,Uruguay,Brazil,1.0,2.0
127,1731,1932-12-07,England,Austria,4.0,3.0
128,1733,1932-12-11,Belgium,Austria,1.0,6.0
129,1734,1933-01-01,Italy,Germany,3.0,1.0
130,1735,1933-01-21,Uruguay,Argentina,2.0,1.0
131,1736,1933-01-22,Netherlands,Switzerland,0.0,2.0
132,1737,1933-01-29,Portugal,Hungary,1.0,0.0
133,1738,1933-02-05,Argentina,Uruguay,4.0,1.0
134,1739,1933-02-12,Belgium,Italy,2.0,3.0
135,1740,1933-02-12,France,Austria,0.0,4.0
136,1741,1933-03-05,Netherlands,Hungary,1.0,2.0
137,1742,1933-03-12,Switzerland,Belgium,3.0,3.0
138,1743,1933-03-19,Germany,France,3.0,3.0
139,1744,1933-03-19,Hungary,Czechoslovakia,2.0,0.0
140,1745,1933-03-26,France,Belgium,3.0,0.0
141,1747,1933-04-02,Spain,Portugal,3.0,0.0
142,1748,1933-04-02,Switzerland,Italy,0.0,3.0
143,1750,1933-04-09,Austria,Czechoslovakia,1.0,2.0
144,1751,1933-04-09,Belgium,Netherlands,1.0,3.0
145,1752,1933-04-23,France,Spain,1.0,0.0
146,1753,1933-04-30,Hungary,Austria,1.0,1.0
147,1754,1933-04-30,Yugoslavia,Spain,1.0,1.0
148,1756,1933-05-07,Italy,Czechoslovakia,2.0,0.0
149,1757,1933-05-07,Netherlands,Belgium,1.0,2.0
150,1758,1933-05-07,Switzerland,Yugoslavia,4.0,1.0
151,1759,1933-05-13,Italy,England,1.0,1.0
152,1760,1933-05-20,Switzerland,England,0.0,4.0
153,1761,1933-05-21,Spain,Bulgaria,13.0,0.0
154,1762,1933-05-25,France,Wales,1.0,1.0
155,1765,1933-06-04,Poland,Belgium,0.0,1.0
156,1766,1933-06-04,Romania,Bulgaria,7.0,0.0
157,1770,1933-06-10,Czechoslovakia,France,4.0,0.0
158,1771,1933-06-11,Austria,Belgium,4.0,1.0
159,1773,1933-06-11,Romania,Yugoslavia,5.0,0.0
