,index,date,home_team,away_team,home_score,away_score
0,2865,1946-09-14,Czechoslovakia,Switzerland,3.0,2.0
1,2866,1946-09-15,Finland,Sweden,0.0,7.0
2,2867,1946-09-15,Norway,Sweden,0.0,3.0
3,2870,1946-09-28,Northern Ireland,England,2.0,7.0
4,2871,1946-09-30,Republic of Ireland,England,0.0,1.0
5,2873,1946-10-06,Sweden,Denmark,3.0,3.0
6,2874,1946-10-07,Albania,Yugoslavia,2.0,3.0
7,2877,1946-10-11,Romania,Yugoslavia,2.0,1.0
8,2888,1946-11-10,Switzerland,Austria,1.0,0.0
9,2889,1946-11-13,England,Wales,3.0,0.0
10,2892,1946-11-27,England,Netherlands,8.0,2.0
11,2894,1946-12-01,Italy,Austria,3.0,2.0
12,2916,1947-01-05,Venezuela,Bolivia,2.0,2.0
13,2917,1947-01-05,Portugal,Switzerland,2.0,2.0
14,2918,1947-01-26,Portugal,Spain,4.0,1.0
15,2928,1947-03-02,Republic of Ireland,Spain,3.0,2.0
16,2931,1947-03-29,Uruguay,Brazil,0.0,0.0
17,2932,1947-04-01,Brazil,Uruguay,3.0,2.0
18,2934,1947-04-12,England,Scotland,1.0,1.0
19,2936,1947-04-27,Italy,Switzerland,5.0,2.0
20,2938,1947-05-03,England,France,3.0,0.0
21,2943,1947-05-11,Czechoslovakia,Yugoslavia,3.0,1.0
22,2944,1947-05-11,Italy,Hungary,3.0,2.0
23,2947,1947-05-18,Switzerland,England,1.0,0.0
24,2951,1947-05-25,Portugal,England,0.0,10.0
25,2957,1947-06-08,Switzerland,France,1.0,2.0
26,2961,1947-06-15,Denmark,Sweden,1.0,4.0
27,2965,1947-06-22,Romania,Yugoslavia,1.0,3.0
28,2967,1947-06-26,Sweden,Denmark,6.0,1.0
29,2969,1947-06-28,Norway,Sweden,1.0,5.0
30,2970,1947-06-29,Yugoslavia,Hungary,2.0,3.0
31,2974,1947-07-13,Mexico,United States,5.0,0.0
32,2975,1947-07-17,Cuba,Mexico,1.0,3.0
33,2978,1947-07-20,Cuba,United States,5.0,2.0
34,2982,1947-08-24,Sweden,Finland,7.0,0.0
35,2988,1947-09-14,Albania,Yugoslavia,2.0,4.0
36,2990,1947-09-14,Sweden,Poland,5.0,4.0
37,2995,1947-09-21,Belgium,England,2.0,5.0
38,2996,1947-09-21,Netherlands,Switzerland,6.0,2.0
39,3004,1947-10-05,Sweden,Norway,4.0,1.0
40,3007,1947-10-12,Yugoslavia,Bulgaria,2.0,1.0
41,3008,1947-10-18,Wales,England,0.0,3.0
42,3009,1947-10-19,Yugoslavia,Poland,7.0,1.0
43,3010,1947-10-19,Catalonia,Spain,3.0,1.0
44,3013,1947-11-02,Switzerland,Belgium,4.0,0.0
45,3014,1947-11-05,England,Northern Ireland,2.0,2.0
46,3018,1947-11-09,Austria,Italy,5.0,1.0
47,3023,1947-11-19,England,Sweden,4.0,2.0
48,3025,1947-11-30,Ecuador,Bolivia,2.0,2.0
49,3026,1947-12-02,Argentina,Paraguay,6.0,0.0
50,3027,1947-12-02,Colombia,Uruguay,0.0,2.0
51,3028,1947-12-04,Argentina,Bolivia,7.0,0.0
52,3031,1947-12-06,Chile,Uruguay,0.0,6.0
53,3033,1947-12-06,Paraguay,Peru,2.0,2.0
54,3034,1947-12-09,Bolivia,Uruguay,0.0,3.0
55,3035,1947-12-09,Chile,Peru,2.0,1.0
56,3038,1947-12-11,Ecuador,Chile,0.0,3.0
57,3039,1947-12-13,Bolivia,Colombia,0.0,0.0
58,3040,1947-12-13,Paraguay,Uruguay,4.0,2.0
59,3041,1947-12-14,Italy,Czechoslovakia,3.0,1.0
60,3042,1947-12-16,Argentina,Chile,1.0,1.0
61,3043,1947-12-16,Ecuador,Uruguay,1.0,6.0
62,3045,1947-12-18,Bolivia,Paraguay,1.0,3.0
63,3046,1947-12-20,Colombia,Paraguay,0.0,2.0
64,3048,1947-12-23,Chile,Paraguay,0.0,1.0
65,3051,1947-12-25,Peru,Uruguay,0.0,1.0
66,3052,1947-12-27,Bolivia,Peru,0.0,2.0
67,3053,1947-12-28,Argentina,Uruguay,3.0,1.0
68,3054,1947-12-29,Chile,Colombia,4.0,1.0
69,3055,1947-12-29,Ecuador,Paraguay,0.0,4.0
70,3056,1947-12-31,Bolivia,Chile,3.0,4.0
71,3081,1948-03-21,Spain,Portugal,2.0,0.0
72,3083,1948-04-04,France,Italy,1.0,3.0
73,3084,1948-04-04,Uruguay,Brazil,1.0,1.0
74,3085,1948-04-10,Scotland,England,0.0,2.0
75,3086,1948-04-11,Uruguay,Brazil,4.0,2.0
76,3088,1948-04-18,Austria,Switzerland,3.0,1.0
77,3092,1948-04-21,Hungary,Switzerland,7.0,4.0
78,3098,1948-05-16,Italy,England,0.0,4.0
79,3099,1948-05-17,Switzerland,Scotland,2.0,1.0
80,3106,1948-05-30,Spain,Republic of Ireland,2.0,1.0
81,3112,1948-06-09,Netherlands,Sweden,1.0,0.0
82,3118,1948-06-20,Switzerland,Spain,3.0,3.0
83,3120,1948-06-27,Yugoslavia,Albania,0.0,0.0
84,3122,1948-07-04,Bulgaria,Yugoslavia,1.0,3.0
85,3124,1948-07-11,Sweden,Austria,3.0,2.0
86,3128,1948-08-02,Sweden,Austria,3.0,0.0
87,3129,1948-08-06,Norway,United States,11.0,0.0
88,3130,1948-08-11,Northern Ireland,United States,5.0,0.0
