,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
37598,1.0,Brazil,BRA,1611.0,1611.0,0,CONMEBOL,2010-05-26
37599,2.0,Spain,ESP,1565.0,1565.0,0,UEFA,2010-05-26
37600,3.0,Portugal,POR,1249.0,1249.0,0,UEFA,2010-05-26
37601,4.0,Netherlands,NED,1231.0,1221.0,0,UEFA,2010-05-26
37602,5.0,Italy,ITA,1184.0,1184.0,0,UEFA,2010-05-26
37603,6.0,Germany,GER,1082.0,1107.0,0,UEFA,2010-05-26
37605,7.0,Argentina,ARG,1076.0,1084.0,0,CONMEBOL,2010-05-26
37612,8.0,England,ENG,1068.0,1068.0,0,UEFA,2010-05-26
37606,9.0,France,FRA,1044.0,1044.0,-1,UEFA,2010-05-26
37607,10.0,Croatia,CRO,1041.0,1052.0,1,UEFA,2010-05-26
37608,11.0,Russia,RUS,1015.0,1003.0,0,UEFA,2010-05-26
37609,12.0,Egypt,EGY,967.0,967.0,-1,CAF,2010-05-26
37610,13.0,Greece,GRE,964.0,968.0,1,UEFA,2010-05-26
37611,14.0,USA,USA,957.0,950.0,0,CONCACAF,2010-05-26
37597,15.0,Serbia,SRB,947.0,944.0,-1,UEFA,2010-05-26
37604,16.0,Uruguay,URU,899.0,902.0,-2,CONMEBOL,2010-05-26
37596,17.0,Mexico,MEX,895.0,936.0,0,CONCACAF,2010-05-26
37586,18.0,Chile,CHI,888.0,948.0,3,CONMEBOL,2010-05-26
37580,19.0,Cameroon,CMR,887.0,887.0,0,CAF,2010-05-26
37581,20.0,Australia,AUS,886.0,883.0,0,AFC,2010-05-26
37582,21.0,Nigeria,NGA,883.0,883.0,1,CAF,2010-05-26
37583,22.0,Norway,NOR,882.0,879.0,0,UEFA,2010-05-26
37584,23.0,Ukraine,UKR,875.0,855.0,-2,UEFA,2010-05-26
37585,24.0,Switzerland,SUI,866.0,854.0,-2,UEFA,2010-05-26
37587,25.0,Slovenia,SVN,860.0,860.0,2,UEFA,2010-05-26
37594,26.0,Israel,ISR,857.0,857.0,2,UEFA,2010-05-26
37588,27.0,Côte d'Ivoire,CIV,856.0,846.0,0,CAF,2010-05-26
37589,28.0,Romania,ROU,853.0,843.0,0,UEFA,2010-05-26
37590,29.0,Turkey,TUR,830.0,798.0,-4,UEFA,2010-05-26
37591,30.0,Algeria,ALG,821.0,821.0,-1,CAF,2010-05-26
37592,31.0,Paraguay,PAR,820.0,822.0,1,CONMEBOL,2010-05-26
37593,32.0,Ghana,GHA,800.0,802.0,0,CAF,2010-05-26
37595,33.0,Czechia,CZE,793.0,827.0,4,UEFA,2010-05-26
37614,34.0,Slovakia,SVK,777.0,742.0,-4,UEFA,2010-05-26
37631,35.0,Colombia,COL,776.0,777.0,1,CONMEBOL,2010-05-26
37615,36.0,Denmark,DEN,767.0,767.0,1,UEFA,2010-05-26
37634,37.0,Sweden,SWE,761.0,757.0,0,UEFA,2010-05-26
37635,38.0,Honduras,HON,734.0,727.0,-2,CONCACAF,2010-05-26
37636,39.0,Bulgaria,BUL,711.0,740.0,0,UEFA,2010-05-26
37637,40.0,Costa Rica,CRC,710.0,706.0,-2,CONCACAF,2010-05-26
37638,41.0,Republic of Ireland,IRL,709.0,690.0,-2,UEFA,2010-05-26
37639,42.0,Gabon,GAB,700.0,707.0,1,CAF,2010-05-26
37641,43.0,Scotland,SCO,699.0,684.0,-1,UEFA,2010-05-26
37648,44.0,Ecuador,ECU,694.0,763.0,8,CONMEBOL,2010-05-26
37642,45.0,Japan,JPN,682.0,674.0,0,AFC,2010-05-26
37643,46.0,Latvia,LVA,652.0,652.0,0,UEFA,2010-05-26
37644,47.0,Korea Republic,KOR,632.0,619.0,0,AFC,2010-05-26
37645,48.0,Burkina Faso,BFA,611.0,589.0,-4,CAF,2010-05-26
37646,49.0,Venezuela,VEN,608.0,605.0,0,CONMEBOL,2010-05-26
37647,49.0,Lithuania,LTU,608.0,616.0,1,UEFA,2010-05-26
37633,51.0,Bosnia and Herzegovina,BIH,604.0,604.0,0,UEFA,2010-05-26
37640,52.0,Finland,FIN,584.0,605.0,3,UEFA,2010-05-26
37632,53.0,Peru,PER,578.0,579.0,0,CONMEBOL,2010-05-26
37622,54.0,Mali,MLI,575.0,575.0,0,CAF,2010-05-26
37616,55.0,Tunisia,TUN,574.0,574.0,0,CAF,2010-05-26
37617,56.0,Northern Ireland,NIR,566.0,555.0,-1,UEFA,2010-05-26
37618,57.0,Hungary,HUN,565.0,567.0,1,UEFA,2010-05-26
37619,58.0,Poland,POL,561.0,552.0,0,UEFA,2010-05-26
37620,59.0,Belgium,BEL,541.0,518.0,-3,UEFA,2010-05-26
37621,60.0,Benin,BEN,531.0,531.0,1,CAF,2010-05-26
37630,61.0,North Macedonia,MKD,521.0,521.0,1,UEFA,2010-05-26
37623,61.0,IR Iran,IRN,521.0,521.0,1,AFC,2010-05-26
37624,63.0,Canada,CAN,516.0,516.0,0,CONCACAF,2010-05-26
37625,64.0,Montenegro,MNE,500.0,500.0,-1,UEFA,2010-05-26
37626,65.0,Bolivia,BOL,499.0,491.0,-2,CONMEBOL,2010-05-26
37627,66.0,Saudi Arabia,KSA,498.0,495.0,0,AFC,2010-05-26
37628,67.0,Cyprus,CYP,486.0,488.0,-1,UEFA,2010-05-26
37629,68.0,Austria,AUT,479.0,509.0,4,UEFA,2010-05-26
37579,69.0,Bahrain,BHR,475.0,475.0,0,AFC,2010-05-26
37613,70.0,Morocco,MAR,463.0,469.0,0,CAF,2010-05-26
37578,71.0,Zambia,ZAM,456.0,452.0,0,CAF,2010-05-26
37541,72.0,El Salvador,SLV,452.0,452.0,1,CONCACAF,2010-05-26
37526,73.0,Uganda,UGA,440.0,437.0,-1,CAF,2010-05-26
37527,74.0,Panama,PAN,434.0,421.0,-2,CONCACAF,2010-05-26
37528,75.0,Senegal,SEN,422.0,414.0,-2,CAF,2010-05-26
37529,76.0,Togo,TOG,418.0,438.0,3,CAF,2010-05-26
37530,77.0,Wales,WAL,415.0,429.0,2,UEFA,2010-05-26
37531,78.0,New Zealand,NZL,410.0,413.0,0,OFC,2010-05-26
37533,79.0,Albania,ALB,406.0,406.0,-1,UEFA,2010-05-26
37650,80.0,Iraq,IRQ,405.0,394.0,-2,AFC,2010-05-26
37540,81.0,Jamaica,JAM,399.0,412.0,2,CONCACAF,2010-05-26
37534,82.0,Belarus,BLR,397.0,397.0,1,UEFA,2010-05-26
37535,83.0,South Africa,RSA,392.0,369.0,-7,CAF,2010-05-26
37536,84.0,China PR,CHN,387.0,390.0,-1,AFC,2010-05-26
37537,85.0,Mozambique,MOZ,383.0,378.0,-4,CAF,2010-05-26
37538,86.0,Malawi,MWI,382.0,394.0,4,CAF,2010-05-26
37539,87.0,Guinea,GUI,381.0,381.0,0,CAF,2010-05-26
37525,88.0,Angola,ANG,379.0,390.0,3,CAF,2010-05-26
37532,89.0,Moldova,MDA,378.0,392.0,5,UEFA,2010-05-26
37524,90.0,Iceland,ISL,367.0,367.0,-1,UEFA,2010-05-26
37508,91.0,Haiti,HAI,362.0,381.0,4,CONCACAF,2010-05-26
37514,91.0,Oman,OMA,362.0,346.0,-6,AFC,2010-05-26
37509,93.0,The Gambia,GAM,361.0,361.0,0,CAF,2010-05-26
37510,94.0,Uzbekistan,UZB,354.0,354.0,0,AFC,2010-05-26
37511,95.0,Trinidad and Tobago,TRI,353.0,367.0,4,CONCACAF,2010-05-26
37512,96.0,Qatar,QAT,351.0,351.0,1,AFC,2010-05-26
37513,97.0,Kuwait,KUW,350.0,348.0,1,AFC,2010-05-26
37515,98.0,Syria,SYR,343.0,342.0,0,AFC,2010-05-26
37522,99.0,Estonia,EST,320.0,296.0,-5,UEFA,2010-05-26
37516,100.0,Armenia,ARM,311.0,311.0,1,UEFA,2010-05-26
37517,101.0,United Arab Emirates,UAE,310.0,310.0,1,AFC,2010-05-26
37518,102.0,Libya,LBY,309.0,305.0,0,CAF,2010-05-26
37519,103.0,Congo,CGO,308.0,308.0,2,CAF,2010-05-26
37520,104.0,Jordan,JOR,300.0,301.0,1,AFC,2010-05-26
37521,105.0,Korea DPR,PRK,285.0,292.0,-1,AFC,2010-05-26
37523,106.0,Thailand,THA,276.0,294.0,1,AFC,2010-05-26
37542,107.0,Rwanda,RWA,269.0,269.0,0,CAF,2010-05-26
37559,108.0,Tanzania,TAN,261.0,259.0,0,CAF,2010-05-26
37543,109.0,Azerbaijan,AZE,259.0,257.0,-1,UEFA,2010-05-26
37562,110.0,Zimbabwe,ZIM,258.0,248.0,-3,CAF,2010-05-26
37563,111.0,Namibia,NAM,251.0,251.0,-1,CAF,2010-05-26
37564,112.0,Yemen,YEM,248.0,258.0,3,AFC,2010-05-26
37565,113.0,Kenya,KEN,243.0,243.0,-1,CAF,2010-05-26
37566,114.0,Cabo Verde,CPV,241.0,236.0,-3,CAF,2010-05-26
37567,114.0,Guatemala,GUA,241.0,241.0,-1,CONCACAF,2010-05-26
37569,116.0,Botswana,BOT,236.0,237.0,0,CAF,2010-05-26
37576,117.0,Vietnam,VIE,231.0,231.0,-1,AFC,2010-05-26
37570,118.0,Sudan,SDN,219.0,211.0,-3,CAF,2010-05-26
37571,119.0,Antigua and Barbuda,ATG,218.0,217.0,0,CONCACAF,2010-05-26
37572,120.0,Georgia,GEO,217.0,217.0,1,UEFA,2010-05-26
37573,121.0,Congo DR,COD,215.0,253.0,10,CAF,2010-05-26
37574,122.0,Guyana,GUY,205.0,205.0,0,CONCACAF,2010-05-26
37575,123.0,Ethiopia,ETH,200.0,204.0,0,CAF,2010-05-26
37561,124.0,Grenada,GRN,198.0,198.0,0,CONCACAF,2010-05-26
37568,125.0,Faroe Islands,FRO,196.0,196.0,0,UEFA,2010-05-26
37560,126.0,Cuba,CUB,194.0,196.0,1,CONCACAF,2010-05-26
37544,127.0,Singapore,SGP,193.0,193.0,0,AFC,2010-05-26
37550,127.0,Luxembourg,LUX,193.0,193.0,0,UEFA,2010-05-26
37545,129.0,Kazakhstan,KAZ,183.0,180.0,0,UEFA,2010-05-26
37546,130.0,Sierra Leone,SLE,181.0,162.0,-3,CAF,2010-05-26
37547,131.0,Eswatini,SWZ,171.0,165.0,0,CAF,2010-05-26
37548,132.0,Fiji,FIJ,167.0,167.0,2,OFC,2010-05-26
37549,133.0,India,IND,163.0,164.0,1,AFC,2010-05-26
37551,134.0,Bermuda,BER,160.0,160.0,0,CONCACAF,2010-05-26
37552,135.0,Tajikistan,TJK,155.0,157.0,0,AFC,2010-05-26
37558,135.0,Barbados,BRB,155.0,157.0,0,CONCACAF,2010-05-26
37554,137.0,Indonesia,IDN,153.0,153.0,0,AFC,2010-05-26
37553,137.0,Suriname,SUR,153.0,147.0,-3,CONCACAF,2010-05-26
37555,139.0,Turkmenistan,TKM,151.0,153.0,2,AFC,2010-05-26
37556,140.0,Hong Kong,HKG,150.0,150.0,1,AFC,2010-05-26
37557,141.0,Equatorial Guinea,EQG,142.0,142.0,0,CAF,2010-05-26
37577,142.0,Maldives,MDV,129.0,129.0,-1,AFC,2010-05-26
37649,143.0,Chad,CHA,128.0,128.0,-1,CAF,2010-05-26
37680,144.0,Burundi,BDI,127.0,127.0,-1,CAF,2010-05-26
37651,145.0,New Caledonia,NCL,126.0,126.0,-1,OFC,2010-05-26
37685,146.0,Malaysia,MAS,123.0,123.0,-1,AFC,2010-05-26
37687,147.0,Myanmar,MYA,122.0,141.0,5,AFC,2010-05-26
37688,148.0,Madagascar,MAD,121.0,115.0,-1,CAF,2010-05-26
37689,149.0,Liechtenstein,LIE,117.0,117.0,1,UEFA,2010-05-26
37700,150.0,Liberia,LBR,114.0,112.0,-2,CAF,2010-05-26
37690,151.0,St Kitts and Nevis,SKN,113.0,113.0,0,CONCACAF,2010-05-26
37691,152.0,Lesotho,LES,109.0,115.0,3,CAF,2010-05-26
37692,153.0,Vanuatu,VAN,108.0,108.0,0,OFC,2010-05-26
37693,154.0,Netherlands Antilles,ANT,103.0,98.0,-3,CONCACAF,2010-05-26
37695,155.0,Nicaragua,NCA,101.0,101.0,0,CONCACAF,2010-05-26
37694,155.0,Eritrea,ERI,101.0,95.0,-4,CAF,2010-05-26
37697,157.0,Bangladesh,BAN,100.0,94.0,-3,AFC,2010-05-26
37696,157.0,Malta,MLT,100.0,103.0,3,UEFA,2010-05-26
37698,159.0,Sri Lanka,SRI,99.0,99.0,3,AFC,2010-05-26
37699,160.0,Lebanon,LBN,98.0,98.0,3,AFC,2010-05-26
37715,161.0,Nepal,NEP,96.0,92.0,0,AFC,2010-05-26
37701,162.0,Niger,NIG,92.0,92.0,1,CAF,2010-05-26
37713,163.0,St Vincent and the Grenadines,VIN,91.0,91.0,-1,CONCACAF,2010-05-26
37712,164.0,Mauritania,MTN,81.0,81.0,-1,CAF,2010-05-26
37711,165.0,Pakistan,PAK,78.0,78.0,-1,AFC,2010-05-26
37710,166.0,Puerto Rico,PUR,76.0,76.0,-2,CONCACAF,2010-05-26
37709,167.0,Chinese Taipei,TPE,75.0,78.0,1,AFC,2010-05-26
37714,168.0,Kyrgyz Republic,KGZ,74.0,92.0,7,AFC,2010-05-26
37707,169.0,Philippines,PHI,67.0,55.0,-1,AFC,2010-05-26
37708,170.0,Solomon Islands,SOL,60.0,60.0,1,OFC,2010-05-26
37706,171.0,Comoros,COM,43.0,43.0,-1,CAF,2010-05-26
37704,172.0,Mauritius,MRI,40.0,40.0,-1,CAF,2010-05-26
37703,173.0,Somalia,SOM,39.0,39.0,-1,CAF,2010-05-26
37702,173.0,Cayman Islands,CAY,39.0,39.0,-1,CONCACAF,2010-05-26
37705,173.0,Laos,LAO,39.0,39.0,-1,AFC,2010-05-26
37684,173.0,Palestine,PLE,39.0,39.0,-1,AFC,2010-05-26
37686,177.0,Samoa,SAM,38.0,38.0,-2,OFC,2010-05-26
37682,178.0,Seychelles,SEY,37.0,39.0,4,CAF,2010-05-26
37681,179.0,Mongolia,MNG,36.0,36.0,-1,AFC,2010-05-26
37652,179.0,Belize,BLZ,36.0,34.0,-2,CONCACAF,2010-05-26
37653,181.0,Bahamas,BAH,34.0,34.0,0,CONCACAF,2010-05-26
37654,181.0,Cook Islands,COK,34.0,34.0,0,OFC,2010-05-26
37655,183.0,Dominica,DMA,33.0,33.0,-1,CONCACAF,2010-05-26
37656,184.0,Turks and Caicos Islands,TCA,32.0,32.0,-1,CONCACAF,2010-05-26
37657,185.0,Cambodia,CAM,30.0,54.0,14,AFC,2010-05-26
37658,186.0,Tonga,TGA,28.0,28.0,0,OFC,2010-05-26
37659,187.0,Dominican Republic,DOM,26.0,26.0,0,CONCACAF,2010-05-26
37660,188.0,Djibouti,DJI,23.0,23.0,0,CAF,2010-05-26
37661,189.0,Brunei Darussalam,BRU,21.0,17.0,-4,AFC,2010-05-26
37662,189.0,Afghanistan,AFG,21.0,17.0,-4,AFC,2010-05-26
37663,191.0,St Lucia,LCA,19.0,19.0,2,CONCACAF,2010-05-26
37664,191.0,Guinea-Bissau,GNB,19.0,19.0,2,CAF,2010-05-26
37665,191.0,Tahiti,TAH,19.0,19.0,2,OFC,2010-05-26
37666,194.0,British Virgin Islands,VGB,18.0,18.0,2,CONCACAF,2010-05-26
37667,195.0,Guam,GUM,17.0,17.0,2,AFC,2010-05-26
37668,196.0,Bhutan,BHU,15.0,11.0,-1,AFC,2010-05-26
37669,197.0,Macau,MAC,14.0,15.0,1,AFC,2010-05-26
37670,198.0,Aruba,ARU,11.0,11.0,1,CONCACAF,2010-05-26
37671,199.0,US Virgin Islands,VIR,5.0,5.0,0,CONCACAF,2010-05-26
37672,200.0,Timor-Leste,TLS,4.0,4.0,0,AFC,2010-05-26
37683,201.0,Andorra,AND,2.0,2.0,0,UEFA,2010-05-26
37676,202.0,Anguilla,AIA,0.0,0.0,0,CONCACAF,2010-05-26
37673,202.0,Central African Republic,CTA,0.0,0.0,0,CAF,2010-05-26
37677,202.0,Montserrat,MSR,0.0,0.0,0,CONCACAF,2010-05-26
37674,202.0,Papua New Guinea,PNG,0.0,0.0,0,OFC,2010-05-26
37678,202.0,American Samoa,ASA,0.0,0.0,0,OFC,2010-05-26
37675,202.0,San Marino,SMR,0.0,0.0,0,UEFA,2010-05-26
37679,208.0,Sao Tome and Principe,STP,0.0,0.0,0,CAF,2010-05-26
