,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
57507,1.0,Germany,GER,1544.0,1533.0,0,UEFA,2018-05-17
57508,2.0,Brazil,BRA,1384.0,1384.0,0,CONMEBOL,2018-05-17
57509,3.0,Belgium,BEL,1346.0,1346.0,0,UEFA,2018-05-17
57510,4.0,Portugal,POR,1306.0,1306.0,0,UEFA,2018-05-17
57511,5.0,Argentina,ARG,1254.0,1254.0,0,CONMEBOL,2018-05-17
57512,6.0,Switzerland,SUI,1179.0,1179.0,0,UEFA,2018-05-17
57513,7.0,France,FRA,1166.0,1166.0,0,UEFA,2018-05-17
57514,8.0,Spain,ESP,1162.0,1162.0,0,UEFA,2018-05-17
57515,9.0,Chile,CHI,1146.0,1146.0,0,CONMEBOL,2018-05-17
57516,10.0,Poland,POL,1128.0,1118.0,0,UEFA,2018-05-17
57517,11.0,Peru,PER,1106.0,1106.0,0,CONMEBOL,2018-05-17
57518,12.0,Denmark,DEN,1054.0,1054.0,0,UEFA,2018-05-17
57519,13.0,England,ENG,1040.0,1040.0,0,UEFA,2018-05-17
57520,14.0,Tunisia,TUN,1012.0,1012.0,0,CAF,2018-05-17
57521,15.0,Mexico,MEX,1008.0,1008.0,0,CONCACAF,2018-05-17
57522,16.0,Colombia,COL,989.0,989.0,0,CONMEBOL,2018-05-17
57523,17.0,Uruguay,URU,976.0,976.0,0,CONMEBOL,2018-05-17
57524,18.0,Croatia,CRO,975.0,975.0,0,UEFA,2018-05-17
57525,19.0,Netherlands,NED,969.0,969.0,0,UEFA,2018-05-17
57526,20.0,Italy,ITA,947.0,947.0,0,UEFA,2018-05-17
57527,21.0,Wales,WAL,931.0,931.0,0,UEFA,2018-05-17
57528,22.0,Iceland,ISL,930.0,930.0,0,UEFA,2018-05-17
57529,23.0,Sweden,SWE,889.0,889.0,0,UEFA,2018-05-17
57506,24.0,USA,USA,880.0,880.0,0,CONCACAF,2018-05-17
57505,25.0,Costa Rica,CRC,858.0,858.0,0,CONCACAF,2018-05-17
57504,26.0,Austria,AUT,841.0,841.0,0,UEFA,2018-05-17
57491,27.0,Northern Ireland,NIR,837.0,837.0,0,UEFA,2018-05-17
57481,28.0,Senegal,SEN,825.0,825.0,0,CAF,2018-05-17
57482,29.0,Slovakia,SVK,786.0,786.0,0,UEFA,2018-05-17
57483,30.0,Ukraine,UKR,777.0,777.0,0,UEFA,2018-05-17
57484,31.0,Republic of Ireland,IRL,776.0,776.0,0,UEFA,2018-05-17
57486,32.0,Paraguay,PAR,737.0,737.0,0,CONMEBOL,2018-05-17
57485,32.0,Romania,ROU,737.0,737.0,0,UEFA,2018-05-17
57487,34.0,Scotland,SCO,735.0,735.0,0,UEFA,2018-05-17
57488,35.0,Serbia,SRB,732.0,732.0,0,UEFA,2018-05-17
57489,36.0,IR Iran,IRN,727.0,727.0,0,AFC,2018-05-17
57490,37.0,Turkey,TUR,714.0,714.0,0,UEFA,2018-05-17
57492,38.0,Congo DR,COD,711.0,711.0,0,CAF,2018-05-17
57503,39.0,Venezuela,VEN,709.0,709.0,0,CONMEBOL,2018-05-17
57493,40.0,Australia,AUS,700.0,700.0,0,AFC,2018-05-17
57494,41.0,Bosnia and Herzegovina,BIH,688.0,688.0,0,UEFA,2018-05-17
57495,42.0,Morocco,MAR,681.0,681.0,0,CAF,2018-05-17
57496,43.0,Montenegro,MNE,671.0,671.0,0,UEFA,2018-05-17
57497,44.0,Greece,GRE,657.0,657.0,0,UEFA,2018-05-17
57498,45.0,Czechia,CZE,647.0,647.0,0,UEFA,2018-05-17
57499,46.0,Egypt,EGY,636.0,636.0,0,CAF,2018-05-17
57500,47.0,Nigeria,NGA,635.0,635.0,0,CAF,2018-05-17
57501,48.0,Norway,NOR,608.0,608.0,-1,UEFA,2018-05-17
57502,49.0,Hungary,HUN,604.0,604.0,-1,UEFA,2018-05-17
57530,50.0,Ghana,GHA,603.0,603.0,-1,CAF,2018-05-17
57532,50.0,Cameroon,CMR,603.0,603.0,-1,CAF,2018-05-17
57531,52.0,Jamaica,JAM,587.0,612.0,4,CONCACAF,2018-05-17
57544,53.0,Bulgaria,BUL,583.0,583.0,-1,UEFA,2018-05-17
57533,54.0,Burkina Faso,BFA,582.0,591.0,1,CAF,2018-05-17
57560,55.0,Panama,PAN,574.0,575.0,0,CONCACAF,2018-05-17
57561,56.0,Albania,ALB,549.0,549.0,0,UEFA,2018-05-17
57562,57.0,Bolivia,BOL,548.0,548.0,0,CONMEBOL,2018-05-17
57563,58.0,Cabo Verde,CPV,545.0,545.0,0,CAF,2018-05-17
57564,59.0,Honduras,HON,530.0,530.0,0,CONCACAF,2018-05-17
57565,60.0,Japan,JPN,528.0,528.0,0,AFC,2018-05-17
57566,61.0,Korea Republic,KOR,520.0,520.0,0,AFC,2018-05-17
57567,62.0,Finland,FIN,507.0,507.0,-1,UEFA,2018-05-17
57571,63.0,Ecuador,ECU,506.0,506.0,-1,CONMEBOL,2018-05-17
57569,64.0,Algeria,ALG,499.0,516.0,2,CAF,2018-05-17
57570,65.0,Slovenia,SVN,495.0,495.0,0,UEFA,2018-05-17
57574,66.0,Russia,RUS,493.0,493.0,0,UEFA,2018-05-17
57572,67.0,Mali,MLI,462.0,462.0,0,CAF,2018-05-17
57581,67.0,Saudi Arabia,KSA,462.0,445.0,-3,AFC,2018-05-17
57580,69.0,Côte d'Ivoire,CIV,458.0,458.0,1,CAF,2018-05-17
57579,70.0,Guinea,GUI,450.0,450.0,1,CAF,2018-05-17
57578,71.0,Curacao,CUW,439.0,439.0,0,CONCACAF,2018-05-17
57582,72.0,South Africa,RSA,432.0,433.0,0,CAF,2018-05-17
57576,73.0,China PR,CHN,431.0,431.0,0,AFC,2018-05-17
57575,74.0,Uganda,UGA,426.0,426.0,0,CAF,2018-05-17
57577,75.0,Kyrgyz Republic,KGZ,424.0,424.0,0,AFC,2018-05-17
57573,76.0,Syria,SYR,423.0,423.0,0,AFC,2018-05-17
57559,77.0,North Macedonia,MKD,422.0,422.0,0,UEFA,2018-05-17
57568,78.0,Zambia,ZAM,412.0,413.0,0,CAF,2018-05-17
57557,79.0,Belarus,BLR,410.0,410.0,0,UEFA,2018-05-17
57558,80.0,Canada,CAN,407.0,407.0,0,CONCACAF,2018-05-17
57534,81.0,United Arab Emirates,UAE,405.0,405.0,0,AFC,2018-05-17
57535,82.0,Lebanon,LBN,404.0,404.0,0,AFC,2018-05-17
57536,83.0,Luxembourg,LUX,401.0,401.0,0,UEFA,2018-05-17
57537,84.0,Benin,BEN,397.0,379.0,-6,CAF,2018-05-17
57538,85.0,El Salvador,SLV,392.0,392.0,0,CONCACAF,2018-05-17
