,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
47639,1.0,Spain,ESP,1485.0,1460.0,0,UEFA,2014-06-05
47640,2.0,Germany,GER,1300.0,1340.0,0,UEFA,2014-06-05
47641,3.0,Brazil,BRA,1242.0,1210.0,-1,CONMEBOL,2014-06-05
47642,4.0,Portugal,POR,1189.0,1245.0,1,UEFA,2014-06-05
47643,5.0,Argentina,ARG,1175.0,1178.0,-2,CONMEBOL,2014-06-05
47644,6.0,Switzerland,SUI,1149.0,1161.0,-2,UEFA,2014-06-05
47645,7.0,Uruguay,URU,1147.0,1181.0,1,CONMEBOL,2014-06-05
47646,8.0,Colombia,COL,1137.0,1186.0,3,CONMEBOL,2014-06-05
47647,9.0,Italy,ITA,1104.0,1115.0,0,UEFA,2014-06-05
47648,10.0,England,ENG,1090.0,1043.0,-1,UEFA,2014-06-05
47650,11.0,Belgium,BEL,1074.0,1039.0,-1,UEFA,2014-06-05
47661,12.0,Greece,GRE,1064.0,1082.0,2,UEFA,2014-06-05
47651,13.0,USA,USA,1035.0,1015.0,-1,CONCACAF,2014-06-05
47652,14.0,Chile,CHI,1026.0,1037.0,1,CONMEBOL,2014-06-05
47653,15.0,Netherlands,NED,981.0,967.0,0,UEFA,2014-06-05
47654,16.0,Ukraine,UKR,915.0,913.0,-1,UEFA,2014-06-05
47655,17.0,France,FRA,913.0,935.0,1,UEFA,2014-06-05
47656,18.0,Croatia,CRO,903.0,871.0,-2,UEFA,2014-06-05
47657,19.0,Russia,RUS,893.0,903.0,1,UEFA,2014-06-05
47658,20.0,Mexico,MEX,882.0,877.0,1,CONCACAF,2014-06-05
47659,21.0,Bosnia and Herzegovina,BIH,873.0,795.0,-4,UEFA,2014-06-05
47660,22.0,Algeria,ALG,858.0,795.0,-3,CAF,2014-06-05
47649,23.0,Côte d'Ivoire,CIV,809.0,830.0,2,CAF,2014-06-05
47638,23.0,Denmark,DEN,809.0,819.0,0,UEFA,2014-06-05
47637,25.0,Slovenia,SVN,800.0,787.0,-4,UEFA,2014-06-05
47623,26.0,Ecuador,ECU,791.0,794.0,-2,CONMEBOL,2014-06-05
47613,27.0,Scotland,SCO,786.0,825.0,5,UEFA,2014-06-05
47614,28.0,Costa Rica,CRC,762.0,748.0,-6,CONCACAF,2014-06-05
47615,29.0,Romania,ROU,761.0,756.0,-3,UEFA,2014-06-05
47616,30.0,Serbia,SRB,745.0,759.0,0,UEFA,2014-06-05
47617,31.0,Panama,PAN,743.0,739.0,-4,CONCACAF,2014-06-05
47618,32.0,Sweden,SWE,741.0,795.0,7,UEFA,2014-06-05
47619,33.0,Honduras,HON,731.0,759.0,3,CONCACAF,2014-06-05
47620,34.0,Czechia,CZE,724.0,731.0,-2,UEFA,2014-06-05
47621,35.0,Turkey,TUR,722.0,711.0,-4,UEFA,2014-06-05
47622,36.0,Egypt,EGY,715.0,798.0,12,CAF,2014-06-05
47624,37.0,Ghana,GHA,704.0,713.0,-1,CAF,2014-06-05
47635,38.0,Armenia,ARM,682.0,750.0,5,UEFA,2014-06-05
47625,39.0,Cabo Verde,CPV,674.0,665.0,-3,CAF,2014-06-05
47626,40.0,Venezuela,VEN,672.0,666.0,-1,CONMEBOL,2014-06-05
47627,41.0,Wales,WAL,644.0,613.0,-6,UEFA,2014-06-05
47628,42.0,Austria,AUT,643.0,673.0,2,UEFA,2014-06-05
47629,43.0,IR Iran,IRN,641.0,715.0,6,AFC,2014-06-05
47630,44.0,Nigeria,NGA,640.0,631.0,0,CAF,2014-06-05
47631,45.0,Peru,PER,627.0,665.0,3,CONMEBOL,2014-06-05
47632,46.0,Japan,JPN,626.0,613.0,-1,AFC,2014-06-05
47633,47.0,Hungary,HUN,624.0,623.0,2,UEFA,2014-06-05
47634,48.0,Tunisia,TUN,612.0,597.0,-1,CAF,2014-06-05
47636,49.0,Slovakia,SVK,591.0,616.0,3,UEFA,2014-06-05
47662,50.0,Paraguay,PAR,575.0,551.0,-5,CONMEBOL,2014-06-05
47663,51.0,Montenegro,MNE,574.0,555.0,-3,UEFA,2014-06-05
47664,52.0,Iceland,ISL,566.0,546.0,-6,UEFA,2014-06-05
47691,52.0,Guinea,GUI,566.0,580.0,1,CAF,2014-06-05
47692,54.0,Sierra Leone,SLE,565.0,484.0,-17,CAF,2014-06-05
47693,55.0,Norway,NOR,562.0,551.0,0,UEFA,2014-06-05
47694,56.0,Cameroon,CMR,558.0,583.0,6,CAF,2014-06-05
47696,57.0,Korea Republic,KOR,547.0,551.0,2,AFC,2014-06-05
47695,57.0,Mali,MLI,547.0,545.0,-2,CAF,2014-06-05
47697,59.0,Uzbekistan,UZB,539.0,577.0,6,AFC,2014-06-05
47698,60.0,Burkina Faso,BFA,538.0,528.0,-1,CAF,2014-06-05
