,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
1778,1.0,Germany,GER,60.0,59.0,-1,UEFA,1994-06-14
1779,2.0,Netherlands,NED,59.0,53.0,-9,UEFA,1994-06-14
1780,3.0,Brazil,BRA,59.0,59.0,2,CONMEBOL,1994-06-14
1781,4.0,Italy,ITA,57.0,50.0,-12,UEFA,1994-06-14
1782,5.0,Spain,ESP,56.0,54.0,-4,UEFA,1994-06-14
1783,6.0,Norway,NOR,56.0,56.0,2,UEFA,1994-06-14
1784,7.0,Romania,ROU,55.0,54.0,-3,UEFA,1994-06-14
1785,8.0,Argentina,ARG,55.0,55.0,2,CONMEBOL,1994-06-14
1786,9.0,Denmark,DEN,55.0,55.0,4,UEFA,1994-06-14
1788,10.0,Sweden,SWE,55.0,57.0,7,UEFA,1994-06-14
1798,11.0,Nigeria,NGA,54.0,55.0,4,CAF,1994-06-14
1789,12.0,Switzerland,SUI,54.0,54.0,4,UEFA,1994-06-14
1790,13.0,France,FRA,53.0,50.0,-4,UEFA,1994-06-14
1791,14.0,Republic of Ireland,IRL,53.0,52.0,2,UEFA,1994-06-14
1792,15.0,England,ENG,52.0,50.0,0,UEFA,1994-06-14
1793,16.0,Mexico,MEX,51.0,51.0,3,CONCACAF,1994-06-14
1794,17.0,Colombia,COL,51.0,50.0,-1,CONMEBOL,1994-06-14
1795,18.0,Uruguay,URU,50.0,50.0,4,CONMEBOL,1994-06-14
1796,19.0,Russia,RUS,50.0,49.0,-1,UEFA,1994-06-14
1797,20.0,Zambia,ZAM,49.0,49.0,1,CAF,1994-06-14
1777,21.0,Côte d'Ivoire,CIV,47.0,47.0,0,CAF,1994-06-14
1776,22.0,Portugal,POR,47.0,47.0,0,UEFA,1994-06-14
1775,23.0,USA,USA,47.0,46.0,0,CONCACAF,1994-06-14
1774,24.0,Cameroon,CMR,46.0,46.0,0,CAF,1994-06-14
1755,25.0,Egypt,EGY,45.0,45.0,0,CAF,1994-06-14
1756,26.0,Ghana,GHA,44.0,44.0,-2,CAF,1994-06-14
1757,27.0,Belgium,BEL,44.0,40.0,-7,UEFA,1994-06-14
1758,28.0,Morocco,MAR,44.0,44.0,-2,CAF,1994-06-14
1759,29.0,Bulgaria,BUL,44.0,44.0,0,UEFA,1994-06-14
1760,30.0,Tunisia,TUN,42.0,42.0,-1,CAF,1994-06-14
1761,31.0,Greece,GRE,41.0,41.0,-1,UEFA,1994-06-14
1762,32.0,Poland,POL,41.0,44.0,5,UEFA,1994-06-14
1763,33.0,Scotland,SCO,40.0,44.0,7,UEFA,1994-06-14
1764,34.0,Saudi Arabia,KSA,40.0,39.0,-1,AFC,1994-06-14
1765,35.0,Wales,WAL,39.0,39.0,-1,UEFA,1994-06-14
1766,36.0,Austria,AUT,38.0,36.0,-5,UEFA,1994-06-14
1767,37.0,Korea Republic,KOR,38.0,37.0,0,AFC,1994-06-14
1768,38.0,Iceland,ISL,38.0,37.0,-1,UEFA,1994-06-14
1769,39.0,Ecuador,ECU,37.0,34.0,-8,CONMEBOL,1994-06-14
1770,40.0,Chile,CHI,37.0,37.0,0,CONMEBOL,1994-06-14
1771,41.0,Northern Ireland,NIR,37.0,41.0,8,UEFA,1994-06-14
1800,42.0,Zimbabwe,ZIM,35.0,36.0,0,CAF,1994-06-14
1773,43.0,Bolivia,BOL,35.0,35.0,0,CONMEBOL,1994-06-14
1787,44.0,Slovakia,SVK,35.0,34.0,-1,UEFA,1994-06-14
1799,45.0,Czechia,CZE,35.0,28.0,-14,UEFA,1994-06-14
1804,46.0,Finland,FIN,35.0,37.0,8,UEFA,1994-06-14
1801,47.0,Australia,AUS,34.0,35.0,3,AFC,1994-06-14
1838,48.0,Algeria,ALG,34.0,34.0,2,CAF,1994-06-14
1833,49.0,Mali,MLI,34.0,34.0,1,CAF,1994-06-14
