team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
Austria,20,7,4,67,31,103,43,60,1.94,2.16
Sweden,15,5,11,50,31,85,56,29,0.94,1.61
Italy,15,5,3,50,23,54,24,30,1.3,2.17
Hungary,13,9,12,48,34,70,68,2,0.06,1.41
Czechoslovakia,12,6,9,42,27,52,48,4,0.15,1.56
Germany,10,6,7,36,23,56,46,10,0.43,1.57
Romania,10,1,4,31,15,49,31,18,1.2,2.07
Netherlands,10,1,9,31,20,51,42,9,0.45,1.55
France,8,4,14,28,26,54,68,-14,-0.54,1.08
Spain,8,3,2,27,13,40,12,28,2.15,2.08
Belgium,7,5,16,26,28,56,88,-32,-1.14,0.93
Switzerland,7,5,15,26,27,48,74,-26,-0.96,0.96
Argentina,6,2,2,20,10,17,8,9,0.9,2.0
Brazil,5,0,0,15,5,15,7,8,1.6,3.0
Egypt,2,1,0,7,3,11,2,9,3.0,2.33
United States,1,0,1,3,2,7,6,1,0.5,1.5
