team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
Mexico,36,17,11,125,64,106,65,41,0.64,1.95
South Korea,32,10,12,106,54,89,46,43,0.8,1.96
Portugal,32,7,10,103,49,95,34,61,1.24,2.1
Brazil,31,8,4,101,43,90,22,68,1.58,2.35
France,31,7,8,100,46,90,43,47,1.02,2.17
Germany,29,10,9,97,48,108,43,65,1.35,2.02
Iran,29,9,3,96,41,82,20,62,1.51,2.34
Japan,27,11,10,92,48,103,44,59,1.23,1.92
Spain,28,7,7,91,42,101,28,73,1.74,2.17
Belgium,28,7,5,91,40,109,37,72,1.8,2.28
England,27,10,5,91,42,75,27,48,1.14,2.17
Argentina,26,12,8,90,46,91,40,51,1.11,1.96
Senegal,26,12,4,90,42,67,23,44,1.05,2.14
Saudi Arabia,25,8,15,83,48,95,59,36,0.75,1.73
Peru,24,11,12,83,47,71,47,24,0.51,1.77
Croatia,24,10,7,82,41,76,26,50,1.22,2.0
Iceland,24,8,17,80,49,81,59,22,0.45,1.63
Morocco,24,7,8,79,39,65,17,48,1.23,2.03
Switzerland,24,6,8,78,38,72,30,42,1.11,2.05
Tunisia,21,12,9,75,42,62,39,23,0.55,1.79
Egypt,23,6,12,75,41,50,24,26,0.63,1.83
Australia,21,12,11,75,44,79,47,32,0.73,1.7
Poland,21,12,5,75,38,85,38,47,1.24,1.97
Sweden,20,13,13,73,46,71,40,31,0.67,1.59
Costa Rica,20,13,13,73,46,66,53,13,0.28,1.59
Colombia,19,12,11,69,42,57,37,20,0.48,1.64
Uruguay,20,8,12,68,40,64,42,22,0.55,1.7
Panama,17,16,17,67,50,58,61,-3,-0.06,1.34
Denmark,16,11,11,59,38,59,36,23,0.61,1.55
Nigeria,16,9,9,57,34,46,29,17,0.5,1.68
Russia,15,10,15,55,40,64,52,12,0.3,1.38
Serbia,15,8,12,53,35,50,43,7,0.2,1.51
