team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
Hungary,18,5,1,59,24,96,25,71,2.96,2.46
Yugoslavia,18,3,5,57,26,66,37,29,1.12,2.19
England,15,8,6,53,29,74,53,21,0.72,1.83
France,13,5,8,44,26,63,41,22,0.85,1.69
Scotland,13,4,7,43,24,52,33,19,0.79,1.79
Belgium,12,6,9,42,27,59,60,-1,-0.04,1.56
Brazil,12,1,3,37,16,39,12,27,1.69,2.31
Austria,9,8,8,35,25,64,38,26,1.04,1.4
Italy,7,5,3,26,15,27,16,11,0.73,1.73
Czechoslovakia,7,4,6,25,17,28,29,-1,-0.06,1.47
Uruguay,7,3,5,24,15,38,25,13,0.87,1.6
South Korea,6,4,4,22,14,37,32,5,0.36,1.57
Germany,7,1,2,22,10,23,13,10,1.0,2.2
Switzerland,5,4,14,19,23,48,70,-22,-0.96,0.83
Turkey,5,3,5,18,13,17,27,-10,-0.77,1.38
Mexico,5,0,4,15,9,24,15,9,1.0,1.67
