team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
Saudi Arabia,48,13,17,157,78,156,73,83,1.06,2.01
Mexico,41,16,25,139,82,132,90,42,0.51,1.7
Brazil,38,12,13,126,63,144,53,91,1.44,2.0
France,33,10,6,109,49,101,39,62,1.27,2.22
South Africa,30,17,14,107,61,72,50,22,0.36,1.75
South Korea,28,23,14,107,65,95,60,35,0.54,1.65
United States,30,13,16,103,59,91,46,45,0.76,1.75
Costa Rica,27,13,16,94,56,103,61,42,0.75,1.68
Senegal,24,21,12,93,57,75,45,30,0.53,1.63
Portugal,28,9,5,93,42,109,33,76,1.81,2.21
Nigeria,26,12,7,90,45,71,36,35,0.78,2.0
Sweden,24,16,8,88,48,64,29,35,0.73,1.83
Japan,24,15,13,87,52,86,49,37,0.71,1.67
Tunisia,23,16,11,85,50,85,44,41,0.82,1.7
Spain,25,7,8,82,40,97,35,62,1.55,2.05
Germany,24,10,13,82,47,100,58,42,0.89,1.74
Cameroon,23,13,5,82,41,65,25,40,0.98,2.0
Argentina,23,10,5,79,38,70,34,36,0.95,2.08
Paraguay,21,14,14,77,49,66,58,8,0.16,1.57
Italy,21,11,7,74,39,53,26,27,0.69,1.9
Ecuador,20,13,18,73,51,59,56,3,0.06,1.43
Poland,20,12,10,72,42,61,40,21,0.5,1.71
Ireland,21,9,7,72,37,66,28,38,1.03,1.95
Denmark,20,11,10,71,41,62,38,24,0.59,1.73
Slovenia,18,16,10,70,44,64,53,11,0.25,1.59
Uruguay,18,12,15,66,45,56,50,6,0.13,1.47
England,17,14,9,65,40,65,34,31,0.78,1.62
Russian Federation,18,10,10,64,38,59,40,19,0.5,1.68
Belgium,17,12,11,63,40,66,43,23,0.57,1.58
Croatia,14,17,7,59,38,50,37,13,0.34,1.55
Turkey,15,11,10,56,36,46,33,13,0.36,1.56
China,0,6,8,6,14,7,20,-13,-0.93,0.43
