team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
Brazil,25,8,4,83,37,83,29,54,1.46,2.24
New Zealand,22,11,10,77,43,87,41,46,1.07,1.79
Kuwait,23,6,12,75,41,76,44,32,0.78,1.83
Poland,22,7,14,73,43,71,40,31,0.72,1.7
England,22,7,9,73,38,66,32,34,0.89,1.92
Czechoslovakia,18,10,16,64,44,75,48,27,0.61,1.45
Algeria,18,8,9,62,35,59,36,23,0.66,1.77
Italy,16,9,6,57,31,38,27,11,0.35,1.84
Belgium,16,7,6,55,29,45,26,19,0.66,1.9
Austria,16,6,5,54,27,49,28,21,0.78,2.0
Hungary,15,8,12,53,35,56,47,9,0.26,1.51
Yugoslavia,17,1,4,52,22,57,24,33,1.5,2.36
Chile,14,10,8,52,32,39,23,16,0.5,1.62
Spain,13,11,13,50,37,46,39,7,0.19,1.35
Cameroon,13,10,5,49,28,46,23,23,0.82,1.75
Honduras,13,10,4,49,27,38,20,18,0.67,1.81
France,15,2,9,47,26,56,26,30,1.15,1.81
Argentina,12,11,6,47,29,47,32,15,0.52,1.62
Scotland,13,6,14,45,33,37,41,-4,-0.12,1.36
El Salvador,10,10,4,40,24,28,17,11,0.46,1.67
Northern Ireland,10,8,10,38,28,22,35,-13,-0.46,1.36
Germany,11,2,4,35,17,30,19,11,0.65,2.06
Peru,9,7,10,34,26,28,29,-1,-0.04,1.31
Soviet Union,0,0,0,0,0,0,0,0,,
