team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
Argentina,14,7,4,49,25,72,23,49,1.96,1.96
Uruguay,14,6,7,48,27,60,31,29,1.07,1.78
Belgium,9,3,15,30,27,50,76,-26,-0.96,1.11
Yugoslavia,8,1,9,25,18,39,41,-2,-0.11,1.39
Romania,6,1,4,19,11,30,22,8,0.73,1.73
France,4,3,17,15,24,36,85,-49,-2.04,0.62
Paraguay,4,1,4,13,9,21,26,-5,-0.56,1.44
Chile,3,2,3,11,8,23,16,7,0.88,1.38
United States,1,1,1,4,3,11,16,-5,-1.67,1.33
Peru,1,0,5,3,6,5,23,-18,-3.0,0.5
Bolivia,0,0,7,0,7,5,43,-38,-5.43,0.0
Mexico,0,0,2,0,2,2,10,-8,-4.0,0.0
Brazil,0,0,0,0,0,0,0,0,,
