team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
Brazil,21,9,2,72,32,55,20,35,1.09,2.25
Haiti,20,11,10,71,41,78,39,39,0.95,1.73
Bulgaria,19,9,9,66,37,75,44,31,0.84,1.78
Poland,19,8,7,65,34,63,30,33,0.97,1.91
Argentina,17,13,7,64,37,61,48,13,0.35,1.73
Yugoslavia,16,12,7,60,35,59,37,22,0.63,1.71
Sweden,17,8,6,59,31,51,32,19,0.61,1.9
Australia,16,8,4,56,28,62,28,34,1.21,2.0
Italy,14,9,3,51,26,44,16,28,1.08,1.96
Chile,15,5,14,50,34,58,51,7,0.21,1.47
Netherlands,14,5,6,47,25,66,26,40,1.6,1.88
Scotland,12,4,17,40,33,30,35,-5,-0.15,1.21
Uruguay,9,9,9,36,27,27,26,1,0.04,1.33
East Germany,5,3,3,18,11,16,8,8,0.73,1.64
Germany,4,3,5,15,12,13,11,2,0.17,1.25
Angola,0,0,0,0,0,0,0,0,,
