team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
Morocco,39,10,2,127,51,110,19,91,1.78,2.49
Algeria,34,11,4,113,49,109,34,75,1.53,2.31
Mexico,30,15,12,105,57,88,53,35,0.61,1.84
Senegal,31,10,4,103,45,90,25,65,1.44,2.29
Spain,30,9,2,99,41,108,34,74,1.8,2.41
Argentina,32,3,4,99,39,85,14,71,1.82,2.54
Panama,28,12,15,96,55,89,69,20,0.36,1.75
Egypt,26,15,6,93,47,77,35,42,0.89,1.98
Ivory Coast,28,8,8,92,44,81,30,51,1.16,2.09
Portugal,28,7,5,91,40,102,33,69,1.72,2.28
England,28,7,6,91,41,86,23,63,1.54,2.22
Iraq,27,10,12,91,49,70,45,25,0.51,1.86
United States,27,9,18,90,54,105,64,41,0.76,1.67
Iran,27,8,4,89,39,88,29,59,1.51,2.28
Japan,28,5,5,89,38,111,26,85,2.24,2.34
France,26,7,7,85,40,89,35,54,1.35,2.12
South Africa,21,21,7,84,49,70,41,29,0.59,1.71
Colombia,24,11,7,83,42,78,36,42,1.0,1.98
Congo,23,14,12,83,49,55,39,16,0.33,1.69
Saudi Arabia,23,13,21,82,57,68,61,7,0.12,1.44
South Korea,23,12,6,81,41,82,36,46,1.12,1.98
Tunisia,22,14,10,80,46,63,36,27,0.59,1.74
Uzbekistan,22,14,6,80,42,65,33,32,0.76,1.9
Austria,24,7,6,79,37,82,30,52,1.41,2.14
Jordan,22,12,17,78,51,86,69,17,0.33,1.53
Germany,23,7,10,76,40,86,48,38,0.95,1.9
Turkey,23,6,10,75,39,71,52,19,0.49,1.92
Netherlands,22,9,9,75,40,94,43,51,1.27,1.88
Australia,22,7,9,73,38,70,28,42,1.11,1.92
Canada,19,16,8,73,43,62,41,21,0.49,1.7
Belgium,21,10,7,73,38,87,32,55,1.45,1.92
Qatar,19,14,17,71,50,74,71,3,0.06,1.42
Croatia,21,8,8,71,37,70,36,34,0.92,1.92
Czechia,20,11,6,71,37,73,40,33,0.89,1.92
Ecuador,18,15,6,69,39,44,24,20,0.51,1.77
Norway,20,7,7,67,34,87,35,52,1.53,1.97
Switzerland,16,17,6,65,39,76,42,34,0.87,1.67
Uruguay,16,16,7,64,39,54,30,24,0.62,1.64
Cape Verde,17,12,11,63,40,49,42,7,0.18,1.58
Sweden,19,5,13,62,37,74,55,19,0.51,1.68
Brazil,17,10,10,61,37,66,42,24,0.65,1.65
Haiti,17,8,9,59,34,76,39,37,1.09,1.74
Scotland,16,6,15,54,37,59,53,6,0.16,1.46
Ghana,12,10,14,46,36,47,45,2,0.06,1.28
Paraguay,12,9,12,45,33,33,33,0,0.0,1.36
New Zealand,13,6,14,45,33,63,37,26,0.79,1.36
Bosnia and Herzegovina,9,8,16,35,33,39,56,-17,-0.52,1.06
Curacao,1,1,5,4,7,9,22,-13,-1.86,0.57
