team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
Brazil,27,11,8,92,46,96,46,50,1.09,2.0
Argentina,27,8,8,89,43,90,36,54,1.26,2.07
Hungary,26,7,6,85,39,119,50,69,1.77,2.18
England,20,6,5,66,31,84,37,47,1.52,2.13
Yugoslavia,14,9,8,51,31,72,38,34,1.1,1.65
Sweden,14,8,8,50,30,72,56,16,0.53,1.67
Czechoslovakia,13,3,8,42,24,46,38,8,0.33,1.75
Austria,11,7,10,40,28,58,55,3,0.11,1.43
Scotland,10,8,7,38,25,44,44,0,0.0,1.52
France,10,7,5,37,22,45,30,15,0.68,1.68
Paraguay,7,7,15,28,29,41,58,-17,-0.59,0.97
Wales,6,5,9,23,20,25,31,-6,-0.3,1.15
Northern Ireland,4,8,5,20,17,21,23,-2,-0.12,1.18
Mexico,5,3,2,18,10,23,8,15,1.5,1.8
Germany,3,1,7,10,11,15,27,-12,-1.09,0.91
Soviet Union,0,0,0,0,0,0,0,0,,
