team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
United States,30,28,34,118,92,112,104,8,0.09,1.28
Mexico,31,23,14,116,68,131,63,68,1.0,1.71
Cameroon,23,24,12,93,59,65,43,22,0.37,1.58
South Korea,25,17,9,92,51,90,33,57,1.12,1.8
Brazil,25,16,9,91,50,93,45,48,0.96,1.82
Russia,24,19,9,91,52,79,48,31,0.6,1.75
Saudi Arabia,26,12,11,90,49,89,43,46,0.94,1.84
Nigeria,24,12,10,84,46,80,32,48,1.04,1.83
Argentina,22,16,4,82,42,64,38,26,0.62,1.95
Germany,23,9,6,78,38,74,37,37,0.97,2.05
Romania,23,5,11,74,39,69,39,30,0.77,1.9
Colombia,18,18,5,72,41,51,26,25,0.61,1.76
Sweden,21,9,12,72,42,75,46,29,0.69,1.71
Switzerland,21,8,6,71,35,77,32,45,1.29,2.03
Norway,19,13,9,70,41,75,30,45,1.1,1.71
Morocco,19,12,8,69,39,56,26,30,0.77,1.77
Ireland,18,11,5,65,34,55,28,27,0.79,1.91
Netherlands,18,9,6,63,33,68,27,41,1.24,1.91
Italy,17,10,5,61,32,53,21,32,1.0,1.91
Spain,16,9,8,57,33,62,31,31,0.94,1.73
Greece,14,9,10,51,33,44,35,9,0.27,1.55
Bulgaria,12,11,10,47,33,50,40,10,0.3,1.42
Bolivia,9,14,17,41,40,43,50,-7,-0.18,1.02
Belgium,11,4,8,37,23,31,20,11,0.48,1.61
