team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
Mexico,37,15,13,126,65,125,51,74,1.14,1.94
United States,37,13,10,124,60,107,38,69,1.15,2.07
Japan,35,14,17,119,66,108,61,47,0.71,1.8
Saudi Arabia,31,18,15,111,64,109,58,51,0.8,1.73
South Korea,30,16,16,106,62,102,42,60,0.97,1.71
Trinidad and Tobago,32,10,26,106,68,96,85,11,0.16,1.56
Brazil,29,17,9,104,55,113,47,66,1.2,1.89
France,30,13,3,103,46,94,22,72,1.57,2.24
Iran,31,9,8,102,48,106,40,66,1.38,2.12
Argentina,30,10,10,100,50,95,55,40,0.8,2.0
Poland,31,7,13,100,51,100,52,48,0.94,1.96
Czechia,31,5,7,98,43,109,37,72,1.67,2.28
Spain,27,13,2,94,42,84,22,62,1.48,2.24
Portugal,27,12,6,93,45,97,34,63,1.4,2.07
Netherlands,26,11,7,89,44,84,28,56,1.27,2.02
Costa Rica,26,11,23,89,60,89,79,10,0.17,1.48
Tunisia,25,13,9,88,47,73,44,29,0.62,1.87
Italy,25,13,5,88,43,70,32,38,0.88,2.05
Germany,24,13,12,85,49,95,64,31,0.63,1.73
Sweden,22,17,12,83,51,102,51,51,1.0,1.63
England,25,8,7,83,40,74,41,33,0.82,2.08
Croatia,22,13,8,79,43,69,40,29,0.67,1.84
Angola,19,14,11,71,44,59,44,15,0.34,1.61
Paraguay,17,16,12,67,45,51,48,3,0.07,1.49
Ivory Coast,20,6,8,66,34,62,32,30,0.88,1.94
Ecuador,17,12,21,63,50,58,71,-13,-0.26,1.26
Switzerland,16,11,9,59,36,58,43,15,0.42,1.64
Australia,18,4,7,58,29,74,30,44,1.52,2.0
Togo,16,5,12,53,33,43,37,6,0.18,1.61
Ukraine,12,15,9,51,36,36,30,6,0.17,1.42
Ghana,13,12,13,51,38,51,37,14,0.37,1.34
Serbia and Montenegro,0,0,0,0,0,0,0,0,,
