team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
Spain,38,8,6,122,52,121,39,82,1.58,2.35
Brazil,35,10,8,115,53,120,38,82,1.55,2.17
Mexico,33,13,15,112,61,106,55,51,0.84,1.84
United States,32,11,16,107,59,89,62,27,0.46,1.81
Iran,31,13,8,106,52,97,35,62,1.19,2.04
Germany,31,10,6,103,47,119,57,62,1.32,2.19
Japan,29,11,11,98,51,94,53,41,0.8,1.92
Argentina,27,15,7,96,49,93,46,47,0.96,1.96
Ivory Coast,27,10,4,91,41,85,37,48,1.17,2.22
Costa Rica,24,19,22,91,65,77,65,12,0.18,1.4
Nigeria,24,18,10,90,52,84,48,36,0.69,1.73
Ghana,26,11,12,89,49,82,40,42,0.86,1.82
Australia,25,11,13,86,49,93,56,37,0.76,1.76
Netherlands,25,11,8,86,44,103,39,64,1.45,1.95
France,25,11,10,86,46,69,33,36,0.78,1.87
Greece,24,13,5,85,42,51,30,21,0.5,2.02
Italy,22,18,11,84,51,78,54,24,0.47,1.65
Uruguay,23,14,11,83,48,90,56,34,0.71,1.73
South Korea,24,11,14,83,49,76,57,19,0.39,1.69
Russian Federation,23,13,6,82,42,64,24,40,0.95,1.95
Chile,24,9,15,81,48,84,58,26,0.54,1.69
England,23,12,5,81,40,78,34,44,1.1,2.02
Portugal,23,11,8,80,42,85,45,40,0.95,1.9
Honduras,21,17,21,80,59,72,73,-1,-0.02,1.36
Croatia,21,11,9,74,41,64,38,26,0.63,1.8
Colombia,21,10,8,73,39,53,23,30,0.77,1.87
Cameroon,19,13,7,70,39,57,33,24,0.62,1.79
Ecuador,18,15,12,69,45,71,52,19,0.42,1.53
Belgium,19,12,8,69,39,68,41,27,0.69,1.77
Switzerland,17,11,6,62,34,51,33,18,0.53,1.82
Bosnia and Herzegovina,18,7,11,61,36,66,40,26,0.72,1.69
Algeria,17,6,8,57,31,44,27,17,0.55,1.84
