team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
South Korea,29,14,5,101,48,87,29,58,1.21,2.1
Egypt,26,22,13,100,61,64,42,22,0.36,1.64
Brazil,27,10,6,91,43,78,30,48,1.12,2.12
Cameroon,26,9,8,87,43,61,33,28,0.65,2.02
United Arab Emirates,22,17,13,83,52,67,54,13,0.25,1.6
Sweden,22,11,6,77,39,62,33,29,0.74,1.97
Italy,22,9,5,75,36,52,15,37,1.03,2.08
Netherlands,20,10,6,70,36,55,19,36,1.0,1.94
England,18,14,6,68,38,58,26,32,0.84,1.79
Uruguay,20,8,9,68,37,56,29,27,0.73,1.84
Czechoslovakia,19,9,10,66,38,50,33,17,0.45,1.74
Ireland,18,11,4,65,33,43,13,30,0.91,1.97
Romania,18,11,8,65,37,67,42,25,0.68,1.76
Colombia,18,10,6,64,34,42,23,19,0.56,1.88
Spain,18,7,10,61,35,60,37,23,0.66,1.74
Yugoslavia,16,7,8,55,31,51,30,21,0.68,1.77
United States,15,7,16,52,38,38,40,-2,-0.05,1.37
Belgium,12,10,6,46,28,47,25,22,0.79,1.64
Austria,12,10,13,46,35,47,51,-4,-0.11,1.31
Scotland,10,11,10,41,31,29,32,-3,-0.1,1.32
Costa Rica,10,4,10,34,24,27,27,0,0.0,1.42
Argentina,6,12,12,30,30,24,34,-10,-0.33,1.0
Germany,4,11,3,23,18,21,20,1,0.06,1.28
Soviet Union,0,0,0,0,0,0,0,0,,
