team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
Brazil,47,10,4,151,61,151,44,107,1.75,2.48
Jamaica,39,24,20,141,83,113,75,38,0.46,1.7
Saudi Arabia,41,15,20,138,76,125,82,43,0.57,1.82
South Korea,38,17,17,131,72,140,77,63,0.88,1.82
Japan,33,18,18,117,69,154,86,68,0.99,1.7
Mexico,32,20,20,116,72,128,86,42,0.58,1.61
Germany,32,11,3,107,46,95,30,65,1.41,2.33
Tunisia,29,11,13,98,53,74,41,33,0.62,1.85
United States,27,15,21,96,63,88,68,20,0.32,1.52
Iran,26,15,9,93,50,119,36,83,1.66,1.86
Argentina,26,12,9,90,47,80,37,43,0.91,1.91
Norway,23,11,6,80,40,80,28,52,1.3,2.0
Morocco,24,7,6,79,37,74,21,53,1.43,2.14
France,21,14,3,77,38,62,19,43,1.13,2.03
England,21,13,5,76,39,57,21,36,0.92,1.95
Colombia,20,16,15,76,51,64,54,10,0.2,1.49
Paraguay,21,12,13,75,46,60,46,14,0.3,1.63
Spain,21,11,1,74,33,67,18,49,1.48,2.24
Chile,20,12,16,72,48,78,62,16,0.33,1.5
Croatia,20,11,5,71,36,75,36,39,1.08,1.97
Italy,20,10,5,70,35,58,26,32,0.91,2.0
Denmark,21,7,5,70,33,51,25,26,0.79,2.12
Cameroon,18,15,16,69,49,57,62,-5,-0.1,1.41
South Africa,19,11,13,68,43,58,44,14,0.33,1.58
Romania,19,8,8,65,35,73,28,45,1.29,1.86
Netherlands,19,6,8,63,33,69,23,46,1.39,1.91
Scotland,18,7,10,61,35,44,23,21,0.6,1.74
Bulgaria,18,5,10,59,33,60,35,25,0.76,1.79
Austria,16,2,9,50,27,52,29,23,0.85,1.85
Belgium,13,8,8,47,29,49,38,11,0.38,1.62
Nigeria,9,5,11,32,25,27,29,-2,-0.08,1.28
Yugoslavia,0,0,0,0,0,0,0,0,,
