team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
Mexico,26,15,8,93,49,74,41,33,0.67,1.9
South Korea,26,7,13,85,46,88,33,55,1.2,1.85
England,24,11,9,83,44,80,24,56,1.27,1.89
Uruguay,21,13,9,76,43,61,37,24,0.56,1.77
Iraq,21,9,7,72,37,63,36,27,0.73,1.95
Spain,19,9,6,66,34,59,27,32,0.94,1.94
France,20,6,4,66,30,53,19,34,1.13,2.2
Algeria,17,13,13,64,43,68,51,17,0.4,1.49
Hungary,19,6,10,63,35,66,34,32,0.91,1.8
Denmark,19,6,13,63,38,63,44,19,0.5,1.66
Bulgaria,16,12,14,60,42,67,51,16,0.38,1.43
Paraguay,15,14,10,59,39,51,38,13,0.33,1.51
Brazil,16,11,8,59,35,53,31,22,0.63,1.69
Poland,14,13,13,55,40,47,47,0,0.0,1.38
Scotland,14,8,9,50,31,42,25,17,0.55,1.61
Argentina,11,14,9,47,34,37,29,8,0.24,1.38
Portugal,14,4,11,46,29,38,40,-2,-0.07,1.59
Morocco,11,12,9,45,32,33,22,11,0.34,1.41
Northern Ireland,12,9,6,45,27,25,15,10,0.37,1.67
Canada,12,8,16,44,36,31,49,-18,-0.5,1.22
Italy,12,8,9,44,29,36,26,10,0.34,1.52
Belgium,11,7,9,40,27,33,34,-1,-0.04,1.48
Germany,8,3,10,27,21,19,22,-3,-0.14,1.29
Soviet Union,0,0,0,0,0,0,0,0,,
