team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
Brazil,32,3,6,99,41,108,46,62,1.51,2.41
Argentina,20,7,8,67,35,77,49,28,0.8,1.91
Hungary,19,8,6,65,33,78,47,31,0.94,1.97
Yugoslavia,18,6,5,60,29,83,46,37,1.28,2.07
England,16,9,8,57,33,95,51,44,1.33,1.73
Czechoslovakia,16,3,9,51,28,65,36,29,1.04,1.82
Spain,14,3,4,45,21,54,29,25,1.19,2.14
Mexico,12,6,7,42,25,43,34,9,0.36,1.68
Bulgaria,12,3,7,39,22,28,31,-3,-0.14,1.77
Uruguay,11,6,10,39,27,51,49,2,0.07,1.44
Chile,8,4,17,28,29,45,69,-24,-0.83,0.97
Italy,7,5,4,26,16,37,24,13,0.81,1.62
Switzerland,8,0,9,24,17,32,48,-16,-0.94,1.41
Germany,4,1,3,13,8,18,11,7,0.88,1.62
Colombia,2,2,2,8,6,6,5,1,0.17,1.33
Soviet Union,0,0,0,0,0,0,0,0,,
