team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
Mexico,39,13,16,130,68,115,64,51,0.75,1.91
Japan,39,8,11,125,58,127,40,87,1.5,2.16
Qatar,38,11,18,125,67,113,70,43,0.64,1.87
United States,37,11,14,122,62,119,47,72,1.16,1.97
Brazil,37,10,3,121,50,111,19,92,1.84,2.42
South Korea,34,12,7,114,53,95,38,57,1.08,2.15
Senegal,33,13,6,112,52,82,33,49,0.94,2.15
Argentina,33,13,4,112,50,98,27,71,1.42,2.24
Belgium,35,7,8,112,50,129,45,84,1.68,2.24
England,33,10,8,109,51,122,34,88,1.73,2.14
Tunisia,33,10,14,109,57,84,39,45,0.79,1.91
Morocco,32,12,6,108,50,89,30,59,1.18,2.16
Spain,31,14,6,107,51,115,38,77,1.51,2.1
France,31,12,6,105,49,101,40,61,1.24,2.14
Portugal,30,12,7,102,49,108,34,74,1.51,2.08
Denmark,31,9,10,102,50,108,39,69,1.38,2.04
Netherlands,30,11,7,101,48,111,44,67,1.4,2.1
Canada,31,5,10,98,46,126,34,92,2.0,2.13
Germany,26,15,8,93,49,120,57,63,1.29,1.9
Iran,28,6,6,90,40,86,22,64,1.6,2.25
Serbia,25,15,7,90,47,88,51,37,0.79,1.91
Saudi Arabia,24,17,15,89,56,68,44,24,0.43,1.59
Croatia,24,11,14,83,49,82,64,18,0.37,1.69
Switzerland,22,13,15,79,50,90,57,33,0.66,1.58
Poland,22,12,14,78,48,83,53,30,0.62,1.62
Wales,21,12,16,75,49,54,51,3,0.06,1.53
Costa Rica,20,14,20,74,54,55,58,-3,-0.06,1.37
Cameroon,19,16,8,73,43,52,30,22,0.51,1.7
Uruguay,20,12,12,72,44,63,42,21,0.48,1.64
Ecuador,18,17,15,71,50,64,56,8,0.16,1.42
Australia,21,6,6,69,33,69,19,50,1.52,2.09
Ghana,16,12,10,60,38,44,33,11,0.29,1.58
