team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
Spain,43,5,4,134,52,112,30,82,1.58,2.58
Mexico,40,10,19,130,69,126,65,61,0.88,1.88
Japan,36,17,11,125,64,116,49,67,1.05,1.95
Brazil,36,11,5,119,52,106,36,70,1.35,2.29
Honduras,37,6,18,117,61,108,58,50,0.82,1.92
United States,34,6,19,108,59,107,72,35,0.59,1.83
Germany,32,8,7,104,47,113,35,78,1.66,2.21
Netherlands,31,10,5,103,46,85,29,56,1.22,2.24
South Africa,28,17,22,101,67,72,53,19,0.28,1.51
Chile,29,11,17,98,57,75,65,10,0.18,1.72
South Korea,26,18,9,96,53,81,41,40,0.75,1.81
Argentina,29,8,12,95,49,84,50,34,0.69,1.94
France,26,10,10,88,46,66,35,31,0.67,1.91
Ivory Coast,25,12,9,87,46,92,39,53,1.15,1.89
Italy,24,13,8,85,45,67,42,25,0.56,1.89
Ghana,25,9,14,84,48,71,48,23,0.48,1.75
England,26,6,9,84,41,91,31,60,1.46,2.05
North Korea,21,19,14,82,54,88,41,47,0.87,1.52
Portugal,23,13,8,82,44,74,37,37,0.84,1.86
Nigeria,23,11,10,80,44,55,32,23,0.52,1.82
Australia,22,12,9,78,43,57,30,27,0.63,1.81
Serbia,22,10,10,76,42,73,37,36,0.86,1.81
Cameroon,22,9,9,75,40,71,37,34,0.85,1.88
Greece,21,8,13,71,42,63,47,16,0.38,1.69
Uruguay,19,13,11,70,43,71,47,24,0.56,1.63
Denmark,18,11,10,65,39,59,38,21,0.54,1.67
Paraguay,16,13,18,61,47,48,52,-4,-0.09,1.3
Switzerland,18,6,14,60,38,57,43,14,0.37,1.58
Algeria,17,7,13,58,37,42,43,-1,-0.03,1.57
Slovakia,17,5,19,56,41,78,63,15,0.37,1.37
Slovenia,13,6,16,45,35,44,39,5,0.14,1.29
New Zealand,7,4,10,25,21,26,37,-11,-0.52,1.19
