team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
England,22,3,4,69,29,100,31,69,2.38,2.38
Sweden,16,4,5,52,25,85,42,43,1.72,2.08
Paraguay,12,3,5,39,20,45,37,8,0.4,1.95
Yugoslavia,11,3,4,36,18,48,28,20,1.11,2.0
Uruguay,10,3,10,33,23,56,46,10,0.43,1.43
Brazil,10,3,3,33,16,63,23,40,2.5,2.06
Switzerland,8,4,11,28,23,46,58,-12,-0.52,1.22
Italy,9,1,4,28,14,32,25,7,0.5,2.0
Chile,8,2,8,26,18,32,35,-3,-0.17,1.44
Spain,5,4,4,19,13,30,24,6,0.46,1.46
Mexico,6,0,0,18,6,25,3,22,3.67,3.0
"Bolivia, Plurinational State of",5,3,9,18,17,23,52,-29,-1.71,1.06
United States,2,1,7,7,10,13,46,-33,-3.3,0.7
