team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
England,21,9,6,72,36,89,49,40,1.11,2.0
Brazil,20,7,10,67,37,76,49,27,0.73,1.81
Argentina,16,8,5,56,29,63,31,32,1.1,1.93
Hungary,16,7,8,55,31,57,39,18,0.58,1.77
Italy,13,6,3,45,22,46,15,31,1.41,2.05
Mexico,13,4,1,43,18,50,8,42,2.33,2.39
Bulgaria,11,7,6,40,24,35,28,7,0.29,1.67
France,11,6,12,39,29,43,37,6,0.21,1.34
North Korea,10,1,0,31,11,45,4,41,3.73,2.82
Portugal,9,3,6,30,18,26,24,2,0.11,1.67
Chile,7,8,9,29,24,30,30,0,0.0,1.21
Uruguay,8,4,8,28,20,30,27,3,0.15,1.4
Spain,8,4,6,28,18,30,22,8,0.44,1.56
Switzerland,5,5,11,20,21,22,39,-17,-0.81,0.95
Germany,2,2,4,8,8,10,10,0,0.0,1.0
Soviet Union,0,0,0,0,0,0,0,0,,
