,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
25401,1.0,Brazil,BRA,831.0,834.0,0,CONMEBOL,2005-05-18
25329,2.0,Czechia,CZE,784.0,783.0,0,UEFA,2005-05-18
25482,3.0,Argentina,ARG,778.0,780.0,0,CONMEBOL,2005-05-18
25459,4.0,France,FRA,769.0,777.0,0,UEFA,2005-05-18
25460,5.0,Netherlands,NED,759.0,763.0,0,UEFA,2005-05-18
25461,6.0,England,ENG,754.0,757.0,0,UEFA,2005-05-18
25462,7.0,Mexico,MEX,753.0,754.0,-1,CONCACAF,2005-05-18
25463,8.0,Spain,ESP,752.0,755.0,1,UEFA,2005-05-18
25464,9.0,Portugal,POR,740.0,741.0,0,UEFA,2005-05-18
25465,10.0,Italy,ITA,734.0,735.0,0,UEFA,2005-05-18
25466,10.0,USA,USA,734.0,735.0,0,CONCACAF,2005-05-18
25467,12.0,Greece,GRE,727.0,726.0,0,UEFA,2005-05-18
25469,13.0,Sweden,SWE,722.0,723.0,0,UEFA,2005-05-18
25480,14.0,Turkey,TUR,712.0,719.0,0,UEFA,2005-05-18
25470,15.0,Republic of Ireland,IRL,709.0,710.0,0,UEFA,2005-05-18
25471,16.0,Uruguay,URU,706.0,709.0,0,CONMEBOL,2005-05-18
25472,17.0,Japan,JPN,703.0,703.0,0,AFC,2005-05-18
25473,18.0,IR Iran,IRN,699.0,701.0,-1,AFC,2005-05-18
25475,19.0,Germany,GER,697.0,698.0,-1,UEFA,2005-05-18
25474,19.0,Denmark,DEN,697.0,702.0,1,UEFA,2005-05-18
25477,21.0,Croatia,CRO,686.0,688.0,0,UEFA,2005-05-18
25476,21.0,Costa Rica,CRC,686.0,687.0,-1,CONCACAF,2005-05-18
25478,21.0,Korea Republic,KOR,686.0,687.0,-1,AFC,2005-05-18
25479,24.0,Poland,POL,675.0,677.0,-1,UEFA,2005-05-18
25457,25.0,Nigeria,NGA,671.0,678.0,1,CAF,2005-05-18
25468,26.0,Cameroon,CMR,666.0,666.0,0,CAF,2005-05-18
25456,27.0,Egypt,EGY,660.0,660.0,-1,CAF,2005-05-18
25442,28.0,Colombia,COL,657.0,661.0,1,CONMEBOL,2005-05-18
25432,29.0,Paraguay,PAR,656.0,660.0,1,CONMEBOL,2005-05-18
25433,30.0,Russia,RUS,653.0,653.0,-1,UEFA,2005-05-18
25434,31.0,Saudi Arabia,KSA,652.0,653.0,0,AFC,2005-05-18
25435,32.0,Romania,ROU,647.0,654.0,2,UEFA,2005-05-18
25436,33.0,Senegal,SEN,646.0,648.0,0,CAF,2005-05-18
25437,34.0,Ecuador,ECU,642.0,639.0,0,CONMEBOL,2005-05-18
25438,35.0,Morocco,MAR,633.0,637.0,0,CAF,2005-05-18
25439,36.0,Norway,NOR,627.0,626.0,0,UEFA,2005-05-18
25440,37.0,Finland,FIN,626.0,625.0,0,UEFA,2005-05-18
25441,38.0,South Africa,RSA,624.0,625.0,1,CAF,2005-05-18
25443,39.0,Ukraine,UKR,617.0,614.0,-3,UEFA,2005-05-18
25454,40.0,Tunisia,TUN,616.0,622.0,1,CAF,2005-05-18
25444,41.0,Jamaica,JAM,614.0,614.0,-1,CONCACAF,2005-05-18
25445,42.0,Belgium,BEL,611.0,615.0,1,UEFA,2005-05-18
25446,43.0,Bulgaria,BUL,608.0,620.0,3,UEFA,2005-05-18
25447,44.0,Côte d'Ivoire,CIV,607.0,610.0,0,CAF,2005-05-18
25448,45.0,Switzerland,SUI,603.0,608.0,0,UEFA,2005-05-18
25450,46.0,Slovenia,SVN,601.0,602.0,0,UEFA,2005-05-18
25449,46.0,Serbia and Montenegro,SCG,601.0,600.0,-1,UEFA,2005-05-18
25451,48.0,Slovakia,SVK,598.0,599.0,0,UEFA,2005-05-18
25452,49.0,Bahrain,BHR,596.0,597.0,-1,AFC,2005-05-18
25453,50.0,Honduras,HON,595.0,594.0,-1,CONCACAF,2005-05-18
25481,50.0,Jordan,JOR,595.0,599.0,2,AFC,2005-05-18
25455,50.0,Israel,ISR,595.0,594.0,-1,UEFA,2005-05-18
25492,53.0,Iraq,IRQ,591.0,593.0,0,AFC,2005-05-18
25509,54.0,Uzbekistan,UZB,586.0,588.0,0,AFC,2005-05-18
25510,55.0,Kuwait,KUW,584.0,585.0,0,AFC,2005-05-18
25511,56.0,Australia,AUS,578.0,580.0,0,AFC,2005-05-18
25512,57.0,Zimbabwe,ZIM,576.0,567.0,-5,CAF,2005-05-18
25513,58.0,China PR,CHN,575.0,577.0,0,AFC,2005-05-18
25514,59.0,Oman,OMA,573.0,576.0,0,AFC,2005-05-18
25520,60.0,Guatemala,GUA,572.0,573.0,0,CONCACAF,2005-05-18
