,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
9353,1.0,Brazil,BRA,74.0,74.0,0,CONMEBOL,1998-08-19
9352,2.0,France,FRA,70.0,70.0,0,UEFA,1998-08-19
9351,3.0,Germany,GER,69.0,69.0,0,UEFA,1998-08-19
9350,4.0,Croatia,CRO,67.0,67.0,0,UEFA,1998-08-19
9349,5.0,Argentina,ARG,65.0,65.0,0,CONMEBOL,1998-08-19
9348,6.0,Czechia,CZE,65.0,65.0,0,UEFA,1998-08-19
9347,7.0,Yugoslavia,YUG,64.0,64.0,0,UEFA,1998-08-19
9346,8.0,Italy,ITA,64.0,64.0,0,UEFA,1998-08-19
9345,9.0,Netherlands,NED,64.0,64.0,1,UEFA,1998-08-19
9357,10.0,England,ENG,63.0,63.0,0,UEFA,1998-08-19
9344,11.0,Norway,NOR,62.0,62.0,0,UEFA,1998-08-19
9343,12.0,Mexico,MEX,62.0,62.0,0,CONCACAF,1998-08-19
9342,13.0,Romania,ROU,60.0,60.0,0,UEFA,1998-08-19
9341,14.0,Spain,ESP,60.0,60.0,0,UEFA,1998-08-19
9340,15.0,Chile,CHI,59.0,59.0,0,CONMEBOL,1998-08-19
9339,16.0,Morocco,MAR,58.0,59.0,0,CAF,1998-08-19
9338,17.0,Denmark,DEN,58.0,58.0,-1,UEFA,1998-08-19
9337,18.0,USA,USA,57.0,57.0,-1,CONCACAF,1998-08-19
9336,19.0,Colombia,COL,57.0,58.0,2,CONMEBOL,1998-08-19
9335,20.0,Egypt,EGY,56.0,57.0,0,CAF,1998-08-19
9334,21.0,Korea Republic,KOR,55.0,55.0,0,AFC,1998-08-19
9333,22.0,Japan,JPN,55.0,55.0,0,AFC,1998-08-19
9332,23.0,Zambia,ZAM,55.0,55.0,-1,CAF,1998-08-19
9331,24.0,Austria,AUT,55.0,55.0,1,UEFA,1998-08-19
9330,25.0,Paraguay,PAR,55.0,54.0,-1,CONMEBOL,1998-08-19
9355,26.0,Tunisia,TUN,54.0,55.0,1,CAF,1998-08-19
9356,27.0,Jamaica,JAM,53.0,53.0,-2,CONCACAF,1998-08-19
9360,28.0,South Africa,RSA,53.0,53.0,1,CAF,1998-08-19
9358,29.0,Russia,RUS,53.0,53.0,1,UEFA,1998-08-19
9378,30.0,Belgium,BEL,52.0,52.0,-1,UEFA,1998-08-19
9374,31.0,Sweden,SWE,51.0,53.0,1,UEFA,1998-08-19
9376,32.0,Saudi Arabia,KSA,51.0,51.0,-1,AFC,1998-08-19
9377,33.0,Slovakia,SVK,50.0,51.0,1,UEFA,1998-08-19
9380,34.0,Uruguay,URU,50.0,50.0,-1,CONMEBOL,1998-08-19
9379,35.0,Bulgaria,BUL,50.0,50.0,1,UEFA,1998-08-19
9381,36.0,Scotland,SCO,49.0,49.0,0,UEFA,1998-08-19
9382,37.0,Cameroon,CMR,48.0,48.0,-3,CAF,1998-08-19
9383,38.0,IR Iran,IRN,48.0,48.0,1,AFC,1998-08-19
9384,39.0,Australia,AUS,48.0,48.0,1,AFC,1998-08-19
9385,40.0,Poland,POL,46.0,45.0,-8,UEFA,1998-08-19
9373,41.0,Peru,PER,46.0,46.0,-2,CONMEBOL,1998-08-19
9375,42.0,Israel,ISR,46.0,48.0,3,UEFA,1998-08-19
9371,43.0,Portugal,POR,46.0,46.0,1,UEFA,1998-08-19
9328,44.0,Ecuador,ECU,45.0,47.0,3,CONMEBOL,1998-08-19
9327,45.0,Thailand,THA,45.0,45.0,-1,AFC,1998-08-19
9291,46.0,Georgia,GEO,45.0,46.0,2,UEFA,1998-08-19
9290,47.0,Trinidad and Tobago,TRI,45.0,42.0,-12,CONCACAF,1998-08-19
9289,48.0,Republic of Ireland,IRL,45.0,45.0,1,UEFA,1998-08-19
9288,49.0,Côte d'Ivoire,CIV,45.0,46.0,4,CAF,1998-08-19
9287,50.0,China PR,CHN,44.0,44.0,1,AFC,1998-08-19
9286,51.0,Greece,GRE,44.0,44.0,1,UEFA,1998-08-19
9285,52.0,Costa Rica,CRC,44.0,44.0,1,CONCACAF,1998-08-19
9284,53.0,Kuwait,KUW,43.0,44.0,1,AFC,1998-08-19
9283,54.0,Turkey,TUR,43.0,43.0,1,UEFA,1998-08-19
9282,55.0,Lithuania,LTU,43.0,43.0,0,UEFA,1998-08-19
9281,56.0,Angola,ANG,42.0,42.0,-1,CAF,1998-08-19
9280,57.0,United Arab Emirates,UAE,42.0,42.0,-1,AFC,1998-08-19
9279,58.0,Mali,MLI,42.0,39.0,-9,CAF,1998-08-19
9278,59.0,Guinea,GUI,42.0,42.0,-2,CAF,1998-08-19
9277,60.0,Hungary,HUN,42.0,43.0,4,UEFA,1998-08-19
9276,61.0,Bolivia,BOL,41.0,43.0,7,CONMEBOL,1998-08-19
9275,62.0,Burkina Faso,BFA,40.0,39.0,-6,CAF,1998-08-19
9274,63.0,Finland,FIN,40.0,41.0,1,UEFA,1998-08-19
9273,64.0,Algeria,ALG,40.0,41.0,1,CAF,1998-08-19
9272,65.0,Nigeria,NGA,40.0,40.0,1,CAF,1998-08-19
9271,66.0,Zaire,ZAI,40.0,42.0,6,CAF,1998-08-19
9270,67.0,Ghana,GHA,40.0,40.0,2,CAF,1998-08-19
9269,68.0,Ukraine,UKR,39.0,39.0,2,UEFA,1998-08-19
9268,69.0,Zimbabwe,ZIM,39.0,38.0,-2,CAF,1998-08-19
9267,70.0,Iceland,ISL,38.0,39.0,1,UEFA,1998-08-19
9266,71.0,El Salvador,SLV,38.0,39.0,1,CONCACAF,1998-08-19
9265,72.0,Qatar,QAT,38.0,38.0,0,AFC,1998-08-19
9264,73.0,Senegal,SEN,37.0,33.0,-12,CAF,1998-08-19
9309,74.0,Namibia,NAM,37.0,34.0,-7,CAF,1998-08-19
9194,75.0,Guatemala,GUA,37.0,37.0,1,CONCACAF,1998-08-19
9193,76.0,Switzerland,SUI,37.0,37.0,3,UEFA,1998-08-19
9370,77.0,North Macedonia,MKD,36.0,36.0,1,UEFA,1998-08-19
9369,78.0,Mozambique,MOZ,36.0,36.0,3,CAF,1998-08-19
9368,79.0,Togo,TOG,36.0,36.0,2,CAF,1998-08-19
9367,80.0,Cyprus,CYP,35.0,35.0,2,UEFA,1998-08-19
9366,81.0,Cuba,CUB,35.0,35.0,2,CONCACAF,1998-08-19
9365,82.0,Canada,CAN,35.0,35.0,2,CONCACAF,1998-08-19
9372,83.0,Malawi,MWI,34.0,28.0,-17,CAF,1998-08-19
9364,84.0,Kenya,KEN,34.0,31.0,-8,CAF,1998-08-19
9363,85.0,Uzbekistan,UZB,33.0,33.0,1,AFC,1998-08-19
9362,86.0,Indonesia,IDN,33.0,33.0,3,AFC,1998-08-19
9361,87.0,Gabon,GAB,32.0,34.0,5,CAF,1998-08-19
9359,88.0,Honduras,HON,32.0,33.0,2,CONCACAF,1998-08-19
9329,89.0,Sierra Leone,SLE,32.0,32.0,2,CAF,1998-08-19
9354,90.0,Northern Ireland,NIR,32.0,32.0,2,UEFA,1998-08-19
9196,91.0,Iraq,IRQ,31.0,31.0,2,AFC,1998-08-19
9310,92.0,Singapore,SGP,31.0,31.0,3,AFC,1998-08-19
9230,93.0,Haiti,HAI,31.0,25.0,-19,CONCACAF,1998-08-19
9231,94.0,Latvia,LVA,31.0,31.0,3,UEFA,1998-08-19
9232,95.0,Slovenia,SVN,30.0,30.0,2,UEFA,1998-08-19
9233,96.0,Estonia,EST,30.0,26.0,-11,UEFA,1998-08-19
9234,97.0,Bosnia and Herzegovina,BIH,30.0,30.0,3,UEFA,1998-08-19
9235,98.0,Vietnam,VIE,29.0,29.0,3,AFC,1998-08-19
9236,99.0,Malaysia,MAS,29.0,29.0,3,AFC,1998-08-19
9237,100.0,Albania,ALB,29.0,29.0,3,UEFA,1998-08-19
9238,101.0,Uganda,UGA,29.0,22.0,-17,CAF,1998-08-19
9239,102.0,Azerbaijan,AZE,28.0,25.0,-7,UEFA,1998-08-19
9240,103.0,Wales,WAL,28.0,28.0,2,UEFA,1998-08-19
9241,104.0,Oman,OMA,28.0,29.0,6,AFC,1998-08-19
9242,105.0,Myanmar,MYA,27.0,28.0,2,AFC,1998-08-19
9243,106.0,Belarus,BLR,27.0,28.0,4,UEFA,1998-08-19
9244,107.0,Lebanon,LBN,26.0,28.0,8,AFC,1998-08-19
9245,108.0,Liberia,LBR,26.0,27.0,4,CAF,1998-08-19
9246,109.0,Tanzania,TAN,25.0,27.0,4,CAF,1998-08-19
9247,110.0,Grenada,GRN,25.0,26.0,2,CONCACAF,1998-08-19
9248,111.0,Armenia,ARM,25.0,25.0,1,UEFA,1998-08-19
9249,112.0,Kazakhstan,KAZ,25.0,25.0,1,UEFA,1998-08-19
9250,113.0,Barbados,BRB,25.0,25.0,0,CONCACAF,1998-08-19
9251,114.0,Syria,SYR,24.0,27.0,8,AFC,1998-08-19
9252,115.0,India,IND,24.0,24.0,1,AFC,1998-08-19
9253,116.0,Congo,CGO,24.0,23.0,0,CAF,1998-08-19
9254,117.0,Sudan,SDN,23.0,23.0,2,CAF,1998-08-19
9255,118.0,The Gambia,GAM,22.0,22.0,1,CAF,1998-08-19
9256,119.0,Venezuela,VEN,20.0,21.0,-1,CONMEBOL,1998-08-19
9257,120.0,Faroe Islands,FRO,20.0,21.0,1,UEFA,1998-08-19
9258,121.0,Tajikistan,TJK,20.0,20.0,-1,AFC,1998-08-19
9229,122.0,Sri Lanka,SRI,19.0,19.0,-4,AFC,1998-08-19
9259,123.0,Panama,PAN,19.0,19.0,0,CONCACAF,1998-08-19
9228,124.0,Malta,MLT,19.0,19.0,0,UEFA,1998-08-19
9226,125.0,Mauritania,MTN,19.0,19.0,-2,CAF,1998-08-19
