,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
20799,1.0,Brazil,BRA,834.0,843.0,0,CONMEBOL,2003-06-25
20648,2.0,France,FRA,814.0,784.0,0,UEFA,2003-06-25
20720,3.0,Spain,ESP,762.0,784.0,1,UEFA,2003-06-25
20719,4.0,Argentina,ARG,754.0,753.0,-1,CONMEBOL,2003-06-25
20718,5.0,Netherlands,NED,752.0,746.0,-1,UEFA,2003-06-25
20717,6.0,Germany,GER,745.0,757.0,2,UEFA,2003-06-25
20716,7.0,Turkey,TUR,733.0,722.0,-1,UEFA,2003-06-25
20715,8.0,England,ENG,727.0,739.0,1,UEFA,2003-06-25
20714,9.0,USA,USA,717.0,715.0,-1,CONCACAF,2003-06-25
20713,10.0,Czechia,CZE,712.0,707.0,-3,UEFA,2003-06-25
20712,11.0,Italy,ITA,711.0,709.0,-1,UEFA,2003-06-25
20711,11.0,Mexico,MEX,711.0,720.0,2,CONCACAF,2003-06-25
20710,13.0,Denmark,DEN,710.0,715.0,3,UEFA,2003-06-25
20709,14.0,Republic of Ireland,IRL,703.0,704.0,-1,UEFA,2003-06-25
20850,15.0,Portugal,POR,692.0,706.0,1,UEFA,2003-06-25
20708,16.0,Cameroon,CMR,691.0,666.0,-2,CAF,2003-06-25
20707,17.0,Belgium,BEL,672.0,681.0,1,UEFA,2003-06-25
20705,18.0,Sweden,SWE,663.0,660.0,-2,UEFA,2003-06-25
20706,18.0,Costa Rica,CRC,663.0,671.0,1,CONCACAF,2003-06-25
20704,20.0,Paraguay,PAR,657.0,664.0,1,CONMEBOL,2003-06-25
20703,21.0,Romania,ROU,652.0,631.0,-6,UEFA,2003-06-25
20702,22.0,Colombia,COL,651.0,601.0,-17,CONMEBOL,2003-06-25
20701,23.0,Norway,NOR,648.0,643.0,-1,UEFA,2003-06-25
20700,24.0,Japan,JPN,643.0,645.0,1,AFC,2003-06-25
20721,24.0,Korea Republic,KOR,643.0,656.0,3,AFC,2003-06-25
20722,26.0,Croatia,CRO,640.0,640.0,0,UEFA,2003-06-25
20723,27.0,Serbia and Montenegro,SCG,636.0,650.0,5,UEFA,2003-06-25
20724,28.0,Senegal,SEN,633.0,627.0,-1,CAF,2003-06-25
20746,29.0,Slovenia,SVN,628.0,610.0,-7,UEFA,2003-06-25
20745,30.0,Russia,RUS,627.0,641.0,5,UEFA,2003-06-25
20743,31.0,Uruguay,URU,626.0,629.0,3,CONMEBOL,2003-06-25
20744,31.0,Nigeria,NGA,626.0,621.0,-1,CAF,2003-06-25
20742,33.0,Greece,GRE,619.0,577.0,-12,UEFA,2003-06-25
20741,33.0,Poland,POL,619.0,627.0,4,UEFA,2003-06-25
20740,33.0,South Africa,RSA,619.0,624.0,2,CAF,2003-06-25
20739,36.0,Ecuador,ECU,616.0,620.0,3,CONMEBOL,2003-06-25
20738,37.0,Morocco,MAR,613.0,604.0,-1,CAF,2003-06-25
20737,38.0,Bulgaria,BUL,612.0,611.0,3,UEFA,2003-06-25
20747,39.0,Egypt,EGY,606.0,587.0,-5,CAF,2003-06-25
20736,40.0,Switzerland,SUI,605.0,588.0,-3,UEFA,2003-06-25
20734,41.0,IR Iran,IRN,600.0,614.0,7,AFC,2003-06-25
20733,42.0,Honduras,HON,596.0,608.0,5,CONCACAF,2003-06-25
20732,42.0,Tunisia,TUN,596.0,596.0,2,CAF,2003-06-25
20731,44.0,Israel,ISR,593.0,596.0,4,UEFA,2003-06-25
20730,45.0,Finland,FIN,585.0,577.0,0,UEFA,2003-06-25
20729,46.0,Saudi Arabia,KSA,581.0,594.0,4,AFC,2003-06-25
20728,47.0,Ukraine,UKR,579.0,570.0,0,UEFA,2003-06-25
20727,48.0,Jamaica,JAM,571.0,570.0,0,CONCACAF,2003-06-25
20726,49.0,Hungary,HUN,570.0,544.0,-5,UEFA,2003-06-25
20725,50.0,Australia,AUS,562.0,568.0,1,AFC,2003-06-25
20699,51.0,Wales,WAL,558.0,558.0,1,UEFA,2003-06-25
20698,52.0,Côte d'Ivoire,CIV,555.0,533.0,-7,CAF,2003-06-25
20697,53.0,New Zealand,NZL,550.0,557.0,2,OFC,2003-06-25
20672,54.0,Trinidad and Tobago,TRI,549.0,553.0,2,CONCACAF,2003-06-25
20669,55.0,Slovakia,SVK,544.0,548.0,2,UEFA,2003-06-25
20670,55.0,Austria,AUT,544.0,528.0,-6,UEFA,2003-06-25
20668,55.0,Venezuela,VEN,544.0,527.0,-8,CONMEBOL,2003-06-25
20667,58.0,Congo DR,COD,541.0,520.0,-7,CAF,2003-06-25
20666,59.0,Iceland,ISL,538.0,509.0,-11,UEFA,2003-06-25
20665,59.0,Scotland,SCO,538.0,524.0,-5,UEFA,2003-06-25
20664,61.0,Zimbabwe,ZIM,536.0,538.0,6,CAF,2003-06-25
