,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
22272,1.0,Brazil,BRA,846.0,848.0,0,CONMEBOL,2004-02-18
22474,2.0,France,FRA,828.0,826.0,0,UEFA,2004-02-18
22345,3.0,Spain,ESP,795.0,798.0,0,UEFA,2004-02-18
22344,4.0,Netherlands,NED,749.0,752.0,0,UEFA,2004-02-18
22343,5.0,Mexico,MEX,742.0,740.0,-2,CONCACAF,2004-02-18
22342,6.0,Argentina,ARG,741.0,744.0,1,CONMEBOL,2004-02-18
22341,7.0,England,ENG,740.0,738.0,-1,UEFA,2004-02-18
22340,8.0,Czechia,CZE,739.0,742.0,2,UEFA,2004-02-18
22339,9.0,Turkey,TUR,737.0,738.0,1,UEFA,2004-02-18
22338,10.0,Italy,ITA,731.0,733.0,0,UEFA,2004-02-18
22337,11.0,USA,USA,729.0,732.0,0,CONCACAF,2004-02-18
22336,12.0,Germany,GER,727.0,729.0,0,UEFA,2004-02-18
22335,13.0,Cameroon,CMR,720.0,712.0,-1,CAF,2004-02-18
22334,14.0,Denmark,DEN,712.0,714.0,1,UEFA,2004-02-18
22333,15.0,Republic of Ireland,IRL,709.0,712.0,1,UEFA,2004-02-18
22332,16.0,Belgium,BEL,693.0,696.0,0,UEFA,2004-02-18
22331,17.0,Portugal,POR,681.0,682.0,0,UEFA,2004-02-18
22330,18.0,Costa Rica,CRC,679.0,682.0,1,CONCACAF,2004-02-18
22329,19.0,Croatia,CRO,676.0,673.0,-1,UEFA,2004-02-18
22328,20.0,Sweden,SWE,674.0,677.0,1,UEFA,2004-02-18
22327,21.0,Nigeria,NGA,672.0,623.0,-14,CAF,2004-02-18
22326,22.0,Uruguay,URU,669.0,671.0,1,CONMEBOL,2004-02-18
22325,23.0,Korea Republic,KOR,665.0,664.0,1,AFC,2004-02-18
22346,24.0,Paraguay,PAR,661.0,664.0,2,CONMEBOL,2004-02-18
22347,25.0,Russia,RUS,657.0,659.0,1,UEFA,2004-02-18
22348,26.0,Poland,POL,654.0,656.0,1,UEFA,2004-02-18
22349,27.0,Senegal,SEN,651.0,628.0,-6,CAF,2004-02-18
22371,28.0,Japan,JPN,650.0,646.0,-1,AFC,2004-02-18
22370,28.0,Romania,ROU,650.0,652.0,1,UEFA,2004-02-18
22369,30.0,Saudi Arabia,KSA,648.0,654.0,4,AFC,2004-02-18
22367,31.0,Tunisia,TUN,646.0,580.0,-14,CAF,2004-02-18
22368,31.0,IR Iran,IRN,646.0,649.0,3,AFC,2004-02-18
22366,33.0,Morocco,MAR,644.0,614.0,-5,CAF,2004-02-18
22365,34.0,Egypt,EGY,641.0,635.0,2,CAF,2004-02-18
22364,35.0,Slovenia,SVN,640.0,637.0,4,UEFA,2004-02-18
22363,36.0,Greece,GRE,639.0,641.0,6,UEFA,2004-02-18
22362,37.0,Bulgaria,BUL,625.0,627.0,3,UEFA,2004-02-18
22372,38.0,South Africa,RSA,620.0,618.0,2,CAF,2004-02-18
22361,39.0,Norway,NOR,619.0,604.0,-3,UEFA,2004-02-18
22359,40.0,Ecuador,ECU,613.0,615.0,3,CONMEBOL,2004-02-18
22358,41.0,Colombia,COL,609.0,612.0,2,CONMEBOL,2004-02-18
22357,42.0,Finland,FIN,607.0,610.0,2,UEFA,2004-02-18
22356,43.0,Serbia and Montenegro,SCG,602.0,605.0,2,UEFA,2004-02-18
22355,44.0,Iraq,IRQ,592.0,594.0,1,AFC,2004-02-18
22354,45.0,Switzerland,SUI,590.0,592.0,1,UEFA,2004-02-18
22353,46.0,Mali,MLI,586.0,552.0,-5,CAF,2004-02-18
22352,47.0,Jordan,JOR,573.0,546.0,-12,AFC,2004-02-18
22351,48.0,Jamaica,JAM,570.0,569.0,2,CONCACAF,2004-02-18
22350,49.0,Zimbabwe,ZIM,567.0,560.0,0,CAF,2004-02-18
22323,50.0,Slovakia,SVK,562.0,564.0,3,UEFA,2004-02-18
22324,50.0,Honduras,HON,562.0,564.0,3,CONCACAF,2004-02-18
22322,52.0,Algeria,ALG,555.0,541.0,-11,CAF,2004-02-18
22297,53.0,Israel,ISR,553.0,556.0,3,UEFA,2004-02-18
22295,53.0,Scotland,SCO,553.0,552.0,2,UEFA,2004-02-18
22294,55.0,Latvia,LVA,549.0,551.0,2,UEFA,2004-02-18
22292,56.0,Venezuela,VEN,548.0,549.0,1,CONMEBOL,2004-02-18
22293,56.0,Congo DR,COD,548.0,550.0,2,CAF,2004-02-18
22291,58.0,Qatar,QAT,547.0,544.0,-3,AFC,2004-02-18
22289,59.0,Kuwait,KUW,546.0,548.0,3,AFC,2004-02-18
22290,59.0,Iceland,ISL,546.0,548.0,3,UEFA,2004-02-18
22288,61.0,Bosnia and Herzegovina,BIH,545.0,547.0,3,UEFA,2004-02-18
22287,62.0,Thailand,THA,543.0,545.0,2,AFC,2004-02-18
22286,63.0,Ukraine,UKR,542.0,544.0,2,UEFA,2004-02-18
22285,64.0,Bahrain,BHR,537.0,541.0,1,AFC,2004-02-18
22284,65.0,Estonia,EST,534.0,528.0,-2,UEFA,2004-02-18
22283,66.0,Oman,OMA,531.0,532.0,1,AFC,2004-02-18
22282,67.0,Wales,WAL,530.0,532.0,2,UEFA,2004-02-18
22281,68.0,Austria,AUT,524.0,526.0,0,UEFA,2004-02-18
22280,68.0,Trinidad and Tobago,TRI,524.0,522.0,-2,CONCACAF,2004-02-18
22279,70.0,Kenya,KEN,523.0,514.0,-6,CAF,2004-02-18
22278,71.0,Zambia,ZAM,522.0,524.0,2,CAF,2004-02-18
22277,72.0,Côte d'Ivoire,CIV,519.0,522.0,2,CAF,2004-02-18
22276,73.0,Burkina Faso,BFA,517.0,516.0,1,CAF,2004-02-18
22275,74.0,Cuba,CUB,514.0,515.0,0,CONCACAF,2004-02-18
22296,74.0,Hungary,HUN,514.0,516.0,2,UEFA,2004-02-18
22298,74.0,Peru,PER,514.0,515.0,0,CONMEBOL,2004-02-18
22321,77.0,United Arab Emirates,UAE,511.0,513.0,0,AFC,2004-02-18
22299,78.0,China PR,CHN,509.0,484.0,-7,AFC,2004-02-18
22320,79.0,Guatemala,GUA,508.0,510.0,1,CONCACAF,2004-02-18
22319,80.0,Ghana,GHA,506.0,508.0,1,CAF,2004-02-18
22318,81.0,Chile,CHI,504.0,506.0,1,CONMEBOL,2004-02-18
22317,82.0,Libya,LBY,503.0,490.0,-1,CAF,2004-02-18
22316,83.0,Australia,AUS,496.0,498.0,2,AFC,2004-02-18
22315,84.0,Uzbekistan,UZB,495.0,496.0,2,AFC,2004-02-18
22314,85.0,Angola,ANG,488.0,490.0,2,CAF,2004-02-18
22313,86.0,Syria,SYR,481.0,482.0,0,AFC,2004-02-18
22312,87.0,Canada,CAN,480.0,481.0,0,CONCACAF,2004-02-18
22311,87.0,Guinea,GUI,480.0,443.0,-15,CAF,2004-02-18
22310,89.0,New Zealand,NZL,478.0,480.0,1,OFC,2004-02-18
22309,90.0,Albania,ALB,477.0,479.0,1,UEFA,2004-02-18
22308,91.0,Belarus,BLR,474.0,476.0,1,UEFA,2004-02-18
22307,92.0,Indonesia,IDN,473.0,475.0,1,AFC,2004-02-18
22306,93.0,North Macedonia,MKD,470.0,472.0,1,UEFA,2004-02-18
22305,94.0,Georgia,GEO,467.0,469.0,1,UEFA,2004-02-18
22304,94.0,Haiti,HAI,467.0,469.0,1,CONCACAF,2004-02-18
22303,96.0,Togo,TOG,461.0,463.0,1,CAF,2004-02-18
22373,97.0,Turkmenistan,TKM,459.0,460.0,1,AFC,2004-02-18
22274,97.0,El Salvador,SLV,459.0,460.0,1,CONCACAF,2004-02-18
22273,99.0,Cyprus,CYP,456.0,454.0,1,UEFA,2004-02-18
22401,100.0,Rwanda,RWA,452.0,430.0,-9,CAF,2004-02-18
22402,101.0,Vietnam,VIE,451.0,452.0,2,AFC,2004-02-18
22403,102.0,Uganda,UGA,450.0,450.0,2,CAF,2004-02-18
22404,103.0,Bolivia,BOL,446.0,448.0,2,CONMEBOL,2004-02-18
22405,104.0,Lithuania,LTU,442.0,440.0,1,UEFA,2004-02-18
22406,105.0,Congo,CGO,438.0,440.0,2,CAF,2004-02-18
22407,106.0,Malawi,MWI,436.0,437.0,0,CAF,2004-02-18
22408,106.0,Sudan,SDN,436.0,438.0,1,CAF,2004-02-18
22409,108.0,Singapore,SGP,433.0,434.0,1,AFC,2004-02-18
22410,109.0,Moldova,MDA,432.0,433.0,1,UEFA,2004-02-18
22411,110.0,Liberia,LBR,416.0,417.0,0,CAF,2004-02-18
22412,111.0,Barbados,BRB,411.0,410.0,0,CONCACAF,2004-02-18
