,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
27406,1.0,Brazil,BRA,835.0,837.0,0,CONMEBOL,2006-03-15
27389,2.0,Czechia,CZE,789.0,793.0,0,UEFA,2006-03-15
27388,3.0,Netherlands,NED,788.0,791.0,0,UEFA,2006-03-15
27387,4.0,Argentina,ARG,765.0,769.0,0,CONMEBOL,2006-03-15
27386,5.0,USA,USA,764.0,765.0,-1,CONCACAF,2006-03-15
27385,6.0,Spain,ESP,763.0,765.0,0,UEFA,2006-03-15
27384,7.0,Mexico,MEX,762.0,765.0,1,CONCACAF,2006-03-15
27383,8.0,France,FRA,760.0,766.0,3,UEFA,2006-03-15
27382,9.0,England,ENG,756.0,758.0,0,UEFA,2006-03-15
27381,10.0,Portugal,POR,755.0,756.0,0,UEFA,2006-03-15
27380,11.0,Turkey,TUR,743.0,746.0,0,UEFA,2006-03-15
27379,12.0,Italy,ITA,738.0,738.0,0,UEFA,2006-03-15
27378,12.0,Nigeria,NGA,738.0,738.0,0,CAF,2006-03-15
27394,14.0,Denmark,DEN,736.0,735.0,0,UEFA,2006-03-15
27395,15.0,Cameroon,CMR,726.0,727.0,-1,CAF,2006-03-15
27396,16.0,Sweden,SWE,725.0,729.0,1,UEFA,2006-03-15
27397,17.0,Egypt,EGY,714.0,714.0,0,CAF,2006-03-15
27398,18.0,Japan,JPN,712.0,712.0,0,AFC,2006-03-15
27399,19.0,IR Iran,IRN,705.0,702.0,-3,AFC,2006-03-15
27400,19.0,Croatia,CRO,705.0,701.0,-4,UEFA,2006-03-15
27401,21.0,Greece,GRE,704.0,706.0,2,UEFA,2006-03-15
27402,22.0,Germany,GER,700.0,706.0,3,UEFA,2006-03-15
27403,23.0,Uruguay,URU,699.0,703.0,2,CONMEBOL,2006-03-15
27404,24.0,Tunisia,TUN,698.0,701.0,1,CAF,2006-03-15
27405,25.0,Costa Rica,CRC,694.0,700.0,0,CONCACAF,2006-03-15
27407,26.0,Romania,ROU,691.0,685.0,-4,UEFA,2006-03-15
27392,26.0,Poland,POL,691.0,697.0,0,UEFA,2006-03-15
27408,28.0,Senegal,SEN,689.0,686.0,-1,CAF,2006-03-15
27409,29.0,Republic of Ireland,IRL,687.0,689.0,2,UEFA,2006-03-15
27410,30.0,Colombia,COL,686.0,689.0,3,CONMEBOL,2006-03-15
27411,31.0,Korea Republic,KOR,683.0,679.0,0,AFC,2006-03-15
27412,32.0,Côte d'Ivoire,CIV,671.0,674.0,0,CAF,2006-03-15
27413,33.0,Paraguay,PAR,666.0,669.0,0,CONMEBOL,2006-03-15
27414,34.0,Saudi Arabia,KSA,660.0,661.0,-1,AFC,2006-03-15
27431,35.0,Russia,RUS,657.0,664.0,1,UEFA,2006-03-15
27436,35.0,Switzerland,SUI,657.0,653.0,-2,UEFA,2006-03-15
27437,37.0,Morocco,MAR,653.0,654.0,1,CAF,2006-03-15
27438,38.0,Ecuador,ECU,644.0,650.0,0,CONMEBOL,2006-03-15
27455,39.0,Bulgaria,BUL,643.0,638.0,-1,UEFA,2006-03-15
27454,39.0,Norway,NOR,643.0,647.0,0,UEFA,2006-03-15
27453,41.0,Slovakia,SVK,627.0,620.0,-4,UEFA,2006-03-15
27452,42.0,Ukraine,UKR,624.0,627.0,1,UEFA,2006-03-15
27451,43.0,Honduras,HON,623.0,626.0,1,CONCACAF,2006-03-15
27450,44.0,Australia,AUS,621.0,609.0,-4,AFC,2006-03-15
27449,45.0,Jamaica,JAM,620.0,624.0,2,CONCACAF,2006-03-15
27448,46.0,Serbia and Montenegro,SCG,616.0,611.0,-1,UEFA,2006-03-15
27447,47.0,Israel,ISR,615.0,622.0,3,UEFA,2006-03-15
27446,48.0,Finland,FIN,610.0,612.0,2,UEFA,2006-03-15
27445,49.0,Trinidad and Tobago,TRI,607.0,607.0,-2,CONCACAF,2006-03-15
27444,50.0,Ghana,GHA,605.0,609.0,2,CAF,2006-03-15
27443,50.0,Belgium,BEL,605.0,599.0,-4,UEFA,2006-03-15
27442,52.0,South Africa,RSA,604.0,608.0,2,CAF,2006-03-15
27441,53.0,Zimbabwe,ZIM,602.0,601.0,1,CAF,2006-03-15
27440,54.0,Bahrain,BHR,599.0,601.0,2,AFC,2006-03-15
27439,55.0,Iraq,IRQ,596.0,596.0,0,AFC,2006-03-15
